step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	4412	29	0	0	-1	30235.10336	184888.5631	215123.6665	1	1234.48139	h
1	4285	28	1	2	-1	419.8411039	183234.2406	183654.0817	1	1232.606859	h
2	4268	26	0	0	-1	18303.76967	163697.8641	182001.6337	1	1233.77393	h
3	4141	25	1	2	-1	1584.633492	160879.4566	162464.0901	1	1232.606859	h
4	4136	24	0	0	-1	18303.76967	141343.0801	159646.8498	1	1234.48139	h
5	3881	23	1	2	-1	1496.684749	137115.2292	140108.5987	2	0	q
6	3625	23	1	2	-1	1496.684749	134121.8597	137115.2292	2	1234.466317	h
7	3112	21	0	0	-1	233.9436664	132422.1658	132890.0532	2	0	q
8	3368	22	0	0	-1	233.9436664	131954.2785	132422.1658	2	0	q
9	2856	20	0	0	-1	237.1487946	131479.9809	131954.2785	2	0	q
10	2600	19	0	0	-1	237.1487946	131005.6833	131479.9809	2	0	q
11	2344	19	0	0	-1	237.1487946	130531.3857	131005.6833	2	1229.533948	h
12	2337	16	1	2	-1	18303.76967	110998.0821	129301.8518	1	1234.141593	h
13	2208	15	0	0	-1	1584.633492	108179.307	109763.9405	1	1232.606859	h
14	2205	14	1	2	-1	30235.10336	76711.5968	106946.7002	1	1234.48139	h
15	2076	13	0	0	-1	419.8411039	75057.2743	75477.11541	1	1232.606859	h
16	2061	11	1	2	-1	18303.76967	55520.89777	73824.66744	1	1233.77393	h
17	1932	10	0	0	-1	1584.633492	52702.49035	54287.12384	1	1232.606859	h
18	1929	9	1	2	-1	18303.76967	33166.11382	51469.88349	1	1234.48139	h
19	1672	8	0	0	-1	1496.684749	28938.26293	31931.63243	2	0	q
20	1416	8	0	0	-1	1496.684749	25944.89343	28938.26293	2	1231.806577	h
21	905	6	1	2	-1	233.9436664	24245.19952	24713.08686	2	0	q
22	1161	7	1	2	-1	233.9436664	23777.31219	24245.19952	2	0	q
23	649	5	1	2	-1	237.1487946	23303.0146	23777.31219	2	0	q
24	393	4	1	2	-1	237.1487946	22828.71701	23303.0146	2	0	q
25	137	4	1	2	-1	237.1487946	22354.41942	22828.71701	2	1231.806577	h
26	128	1	0	0	-1	18303.76967	2818.843175	21122.61285	1	1234.209683	h
27	1	0	1	2	-1	1584.633492	0	1584.633492	1	0	-
