step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	2768	59	0	-1	0	485456.7466	3996329.623	4481786.369	1	1233.408271	h
1	2765	58	1	-1	1	6546.930886	3988549.284	3995096.214	1	144488.149	h
2	2544	56	83	-1	-1	143253.6676	3844061.135	3987314.802	1	0	q
3	2724	57	83	-1	-1	143253.6676	3557553.799	3844061.135	2	151080.8135	h
4	2536	55	0	-1	0	3291.274528	3553030.241	3556321.516	1	1234.48139	h
5	2505	54	1	-1	1	143253.6676	3408542.093	3551795.76	1	1233.408271	h
6	2376	53	0	-1	0	835.6983641	3405637.288	3407308.684	2	1232.606859	h
7	2313	51	1	-1	1	254.5414229	3404147.305	3404404.681	1.011133259	0	s
8	2281	50	1	-1	1	262.8959903	3403624.347	3404147.305	1.989220545	1229.772983	h
9	2136	47	0	-1	0	143253.6676	3259140.907	3402394.574	1	1233.173873	h
10	2101	45	1	-1	1	3291.274528	3254616.458	3257907.733	1	1234.48139	h
11	2068	44	0	-1	0	485456.7466	2767925.23	3253381.977	1	1233.408271	h
12	2065	43	1	-1	1	6546.930886	2760144.891	2766691.822	1	1234.48139	h
13	1840	41	0	-1	0	143253.6676	2472403.075	2758910.41	2	1232.283347	h
14	1837	40	1	-1	1	3291.274528	2467879.517	2471170.791	1	1234.48139	h
15	1804	39	0	-1	0	143253.6676	2323391.368	2466645.035	1	1233.408271	h
16	1677	38	1	-1	1	835.6983641	2320486.563	2322157.959	2	1232.606859	h
17	1612	36	0	-1	0	254.5414229	2318996.581	2319253.956	1.011133259	0	s
18	1580	35	0	-1	0	262.8959903	2318473.622	2318996.581	1.989220545	1229.772983	h
19	1437	32	1	-1	1	143253.6676	2173990.182	2317243.849	1	1233.173873	h
20	1400	30	0	-1	0	3291.274528	2169465.733	2172757.008	1	1234.48139	h
21	1369	29	1	-1	1	485456.7466	1682774.505	2168231.252	1	1233.408271	h
22	1364	28	0	-1	0	6546.930886	1674994.166	1681541.097	1	1234.48139	h
23	1141	26	1	-1	1	143253.6676	1387252.35	1673759.685	2	1232.283347	h
24	1136	25	0	-1	0	3291.274528	1382728.792	1386020.066	1	1234.48139	h
25	1105	24	1	-1	1	143253.6676	1238240.643	1381494.31	1	1233.408271	h
26	976	23	0	-1	0	835.6983641	1235335.838	1237007.235	2	1232.606859	h
27	913	21	1	-1	1	254.5414229	1233845.856	1234103.231	1.011133259	0	s
28	881	20	1	-1	1	262.8959903	1233322.898	1233845.856	1.989220545	1229.772983	h
29	736	17	0	-1	0	143253.6676	1088839.457	1232093.125	1	1233.173873	h
30	701	15	1	-1	1	3291.274528	1084315.009	1087606.283	1	1234.48139	h
31	668	14	0	-1	0	485456.7466	597623.7807	1083080.527	1	1233.408271	h
32	665	13	1	-1	1	6546.930886	589843.4415	596390.3724	1	1234.48139	h
33	440	11	0	-1	0	143253.6676	302101.6249	588608.9601	2	1232.283347	h
34	437	10	1	-1	1	3291.274528	297578.0671	300869.3416	1	1234.48139	h
35	404	9	0	-1	0	143253.6676	153089.9181	296343.5857	1	1233.390482	h
36	277	8	1	-1	1	835.6983641	151020.8292	151856.5276	1	1232.606859	h
37	212	6	0	-1	0	254.5414229	149530.8471	149788.2224	1.011133259	0	s
38	180	5	0	-1	0	262.8959903	149007.889	149530.8471	1.989220545	1229.772983	h
39	37	2	1	-1	1	143253.6676	4524.448402	147778.116	1	1233.173873	h
40	0	0	0	-1	0	3291.274528	0	3291.274528	1	0	-
