stop_ratio	cell	candidate	chain_count	graph_nodes	cp_hops	cp_queue_edges	cp_same_worker_edges	cp_len	makespan_ns	max_queue_ns	spine_length_ns	cp_nodes_fill	cp_nodes_chain	cp_nodes_spine
1.0	gqa2_s4	chain	84	200	17	0	2	19	200796	179817	179817	0	20	10
1.0	mha4_s4	chain	228	512	35	0	3	38	403305	359634	359634	0	39	19
1.0	gqa2_s128	chain	36	4416	18	10	7	35	229487	181407	181407	23	13	7
1.0	mha4_s128	chain	4	11920	39	28	20	87	530126	362813	362813	63	25	14
0.5	gqa2_s4	chain	84	200	17	0	2	19	200796	179817	179817	0	20	10
0.5	mha4_s4	chain	228	512	35	0	3	38	403305	359634	359634	0	39	19
0.5	gqa2_s128	chain	36	4416	18	10	7	35	229487	181407	181407	23	13	7
0.5	mha4_s128	chain	84	11920	38	31	18	87	464575	362813	362813	58	30	12
0.25	gqa2_s4	chain	84	200	17	0	2	19	200796	179817	179817	0	20	10
0.25	mha4_s4	chain	228	512	35	0	3	38	403305	359634	359634	0	39	19
0.25	gqa2_s128	chain	36	4416	18	10	7	35	229487	181407	181407	23	13	7
0.25	mha4_s128	chain	84	11920	38	31	18	87	464575	362813	362813	58	30	12
0.05	gqa2_s4	chain	84	200	17	0	2	19	200796	179817	179817	0	20	10
0.05	mha4_s4	chain	228	512	35	0	3	38	403305	359634	359634	0	39	19
0.05	gqa2_s128	chain	256	4416	22	27	14	63	250880	181407	181407	43	21	7
0.05	mha4_s128	chain	256	11920	38	38	19	95	466535	362813	362813	64	32	12
-	gqa2_s4	rotate			19	0	0	19	203269	30235	0	20	0	0
-	mha4_s4	rotate			39	0	0	39	407769	60470	0	40	0	0
-	gqa2_s128	rotate			17	10	0	27	215127	42170	0	28	0	0
-	mha4_s128	rotate			35	32	0	67	437124	73643	0	68	0	0
