step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	11916	59	3	6	-1	30235.10336	567438.819	597673.9223	1	1234.48139	h
1	11788	58	127	127	-1	419.8411039	565784.4965	566204.3376	1	20770.15046	h
2	11772	56	15	30	-1	18303.76967	546248.12	564551.8896	1	1233.77393	h
3	11644	55	127	127	-1	1584.633492	543429.7125	545014.346	1	20770.85792	h
4	11640	54	3	6	-1	18303.76967	523893.336	542197.1057	1	1234.48139	h
5	11128	53	255	127	-1	1496.684749	519665.4851	522658.8546	2	0	s
6	9080	49	255	127	-1	237.1487946	519191.1875	519665.4851	2	0	q
7	11384	53	255	127	-1	1496.684749	516197.818	519191.1875	2	0	s
8	9336	49	255	127	-1	237.1487946	515723.5204	516197.818	2	15009.51388	h
9	9069	46	0	0	0	18303.76967	496187.9442	514491.7139	1	0	q
10	10137	51	0	0	-1	233.9436664	495954.0005	496187.9442	1	0	s
11	9625	50	0	0	-1	237.1487946	495716.8517	495954.0005	1	45876.676	h
12	9072	47	250	117	-1	18303.76967	475947.3261	494485.0395	1.012781174	0	q
13	10775	52	250	117	-1	233.9436664	475479.4388	475947.3261	2	0	q
14	10954	52	250	117	-1	233.9436664	475011.5515	475479.4388	2	105658.5762	h
15	9076	48	212	41	-1	18303.76967	455475.9741	473779.7438	1	1233.929013	h
16	8940	45	228	73	-1	1584.633492	451072.7781	454242.0451	2	78252.13572	h
17	8936	44	3	6	-1	30235.10336	419605.0724	449840.1757	1	124721.1909	h
18	8808	43	204	25	-1	419.8411039	417530.9088	418370.591	2	20770.15046	h
19	8792	41	155	54	-1	18303.76967	397994.5322	416298.3019	1	2818.407422	h
20	8664	40	208	33	-1	1584.633492	393591.4913	396760.7583	2	20770.84896	h
21	8660	39	135	14	-1	18303.76967	374055.1238	392358.8934	1	6435.98202	h
22	8148	38	230	77	-1	1496.684749	369827.2729	372820.6424	2	0	s
23	6100	34	230	77	-1	237.1487946	369352.9753	369827.2729	2	0	q
24	8327	38	230	77	-1	1496.684749	366359.6058	369352.9753	2	0	s
25	6279	34	230	77	-1	237.1487946	365885.3082	366359.6058	2	0	q
26	8506	38	230	77	-1	1496.684749	362891.9387	365885.3082	2	0	s
27	6458	34	230	77	-1	237.1487946	362417.6411	362891.9387	2	20006.66984	h
28	6088	31	204	25	-1	18303.76967	342410.9713	361185.8334	1.025737456	0	q
29	7298	36	204	25	-1	233.9436664	341943.0839	342410.9713	2	0	s
30	6786	35	204	25	-1	237.1487946	341468.7863	341943.0839	2	0	q
31	7476	36	204	25	-1	233.9436664	341000.899	341468.7863	2	0	s
32	6964	35	204	25	-1	237.1487946	340526.6014	341000.899	2	19535.57512	h
33	6092	32	72	17	-1	18303.76967	320991.0263	339294.796	1	0	q
34	7831	37	72	17	-1	233.9436664	320523.139	320991.0263	2	0	q
35	8079	37	72	17	-1	233.9436664	320055.2516	320523.139	2	22354.13875	h
36	6096	33	68	9	-1	18303.76967	300519.6754	318823.4451	1	2818.562505	h
37	5960	30	139	22	-1	1584.633492	296116.4794	299285.7464	2	77744.34587	h
38	5956	29	3	6	-1	30235.10336	264648.7781	294883.8815	1	1234.48139	h
39	5828	28	127	127	-1	419.8411039	262994.4556	263414.2967	1	20770.15046	h
40	5812	26	64	1	-1	18303.76967	243458.0791	261761.8488	1	1233.77393	h
41	5684	25	127	127	-1	1584.633492	240639.6717	242224.3052	1	22030.38938	h
42	5680	24	48	96	-1	18303.76967	221103.2997	239407.0693	1	2494.017344	h
43	5168	23	7	14	-1	1496.684749	217778.6159	219868.8183	1.396554866	0	s
44	3120	19	7	14	-1	237.1487946	217304.3183	217778.6159	2	0	q
45	5420	23	7	14	-1	1496.684749	214310.9488	217304.3183	2	857.7390784	h
46	3372	19	131	6	-1	237.1487946	212622.5433	213096.8409	2	0	q
47	3376	19	131	6	-1	237.1487946	212148.2457	212622.5433	2	0	q
48	3500	19	131	6	-1	237.1487946	211673.9481	212148.2457	2	19535.57625	h
49	3108	16	44	88	-1	18303.76967	192138.3719	210442.1416	1	0	q
50	4355	21	44	88	-1	233.9436664	191670.4846	192138.3719	2	0	s
51	3843	20	44	88	-1	237.1487946	191196.187	191670.4846	2	0	q
52	4611	21	44	88	-1	233.9436664	190728.2996	191196.187	2	0	s
53	4099	20	44	88	-1	237.1487946	190254.002	190728.2996	2	19535.57625	h
54	3112	17	40	80	-1	18303.76967	170718.4258	189022.1955	1	0	q
55	4871	22	40	80	-1	233.9436664	170250.5385	170718.4258	2	0	q
56	5127	22	40	80	-1	233.9436664	169782.6511	170250.5385	2	20769.50526	h
57	3116	18	36	72	-1	18303.76967	150247.0749	168550.8446	1	1233.929013	h
58	2980	15	127	127	-1	1584.633492	147428.5124	149013.1459	1	32702.18265	h
59	2976	14	131	6	-1	30235.10336	115960.8111	146195.9145	1	44779.99492	h
60	2848	13	127	127	-1	419.8411039	114306.4886	114726.3297	1	20770.18551	h
61	2832	11	32	64	-1	18303.76967	94770.1121	113073.8818	1	1233.808977	h
62	2704	10	127	127	-1	1584.633492	91951.66963	93536.30312	1	20770.85342	h
63	2700	9	16	32	-1	18303.76967	72415.2976	90719.06727	1	1234.48139	h
64	2188	8	255	127	-1	1496.684749	68187.44671	71180.8162	2	0	s
65	140	4	255	127	-1	237.1487946	67713.14912	68187.44671	2	0	q
66	2444	8	255	127	-1	1496.684749	64719.77962	67713.14912	2	0	s
67	396	4	255	127	-1	237.1487946	64245.48203	64719.77962	2	19535.57625	h
68	128	1	12	24	-1	18303.76967	44709.90578	63013.67545	1	0	q
69	1407	6	12	24	-1	233.9436664	44242.01845	44709.90578	2	0	s
70	895	5	12	24	-1	237.1487946	43767.72086	44242.01845	2	0	q
71	1663	6	12	24	-1	233.9436664	43299.83353	43767.72086	2	0	s
72	1151	5	12	24	-1	237.1487946	42825.53594	43299.83353	2	19535.57625	h
73	132	2	8	16	-1	18303.76967	23289.95969	41593.72936	1	0	q
74	1923	7	8	16	-1	233.9436664	22822.07236	23289.95969	2	0	q
75	2179	7	8	16	-1	233.9436664	22354.18503	22822.07236	2	20769.55153	h
76	136	3	4	8	-1	18303.76967	2818.608777	21122.37845	1	1233.975285	h
77	0	0	127	127	-1	1584.633492	0	1584.633492	1	0	-
