step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	11916	59	140	24	-1	30235.10336	406888.6034	437123.7068	1	22424.46846	h
1	11788	58	12	24	-1	419.8411039	405234.281	405654.1221	1	43125.62841	h
2	11772	56	252	121	-1	18303.76967	385697.9089	404001.6786	1	23589.25638	h
3	11644	55	124	121	-1	1584.633492	382879.5015	384464.135	1	20770.84896	h
4	11640	54	120	113	-1	18303.76967	363343.1339	381646.9036	1	1234.48139	h
5	11385	53	121	115	-1	1496.684749	359115.283	362108.6525	2	0	q
6	11129	53	121	115	-1	1496.684749	356121.9135	359115.283	2	1231.806577	h
7	10360	51	120	113	-1	233.9436664	354422.2196	354890.107	2	0	q
8	10104	51	120	113	-1	233.9436664	353954.3323	354422.2196	2	0	q
9	10872	52	120	113	-1	233.9436664	353486.445	353954.3323	2	0	q
10	10616	52	120	113	-1	233.9436664	353018.5576	353486.445	2	0	q
11	9336	49	120	113	-1	237.1487946	352544.26	353018.5576	2	0	q
12	9080	49	120	113	-1	237.1487946	352069.9625	352544.26	2	0	q
13	9848	50	120	113	-1	237.1487946	351595.6649	352069.9625	2	0	q
14	9592	50	120	113	-1	237.1487946	351121.3673	351595.6649	2	55056.3214	h
15	9072	47	108	89	-1	18303.76967	331585.791	349889.5607	1	35520.74515	h
16	8940	45	236	89	-1	1584.633492	328767.2285	330351.862	1	53892.16971	h
17	8936	44	232	81	-1	30235.10336	297299.5273	327534.6306	1	22424.46846	h
18	8808	43	104	81	-1	419.8411039	295645.2048	296065.0459	1	43125.62841	h
19	8792	41	88	49	-1	18303.76967	276108.8327	294412.6024	1	23589.25638	h
20	8664	40	216	49	-1	1584.633492	273290.4253	274875.0588	1	20770.84896	h
21	8660	39	212	41	-1	18303.76967	253754.0578	272057.8274	1	1234.48139	h
22	8405	38	213	43	-1	1496.684749	249526.2069	252519.5764	2	0	q
23	8149	38	213	43	-1	1496.684749	246532.8374	249526.2069	2	1231.806577	h
24	7380	36	212	41	-1	233.9436664	244833.1435	245301.0308	2	0	q
25	7124	36	212	41	-1	233.9436664	244365.2561	244833.1435	2	0	q
26	7892	37	212	41	-1	233.9436664	243897.3688	244365.2561	2	0	q
27	7636	37	212	41	-1	233.9436664	243429.4815	243897.3688	2	0	q
28	6356	34	212	41	-1	237.1487946	242955.1839	243429.4815	2	0	q
29	6100	34	212	41	-1	237.1487946	242480.8863	242955.1839	2	0	q
30	6868	35	212	41	-1	237.1487946	242006.5887	242480.8863	2	0	q
31	6612	35	212	41	-1	237.1487946	241532.2911	242006.5887	2	55056.3214	h
32	6092	32	200	17	-1	18303.76967	221996.7149	240300.4845	1	35520.74515	h
33	5960	30	72	17	-1	1584.633492	219178.1524	220762.7858	1	53892.16971	h
34	5956	29	68	9	-1	30235.10336	187710.4511	217945.5545	1	22424.46846	h
35	5828	28	196	9	-1	419.8411039	186056.1286	186475.9697	1	43125.62841	h
36	5812	26	180	104	-1	18303.76967	166519.7566	184823.5262	1	23589.25638	h
37	5684	25	52	104	-1	1584.633492	163701.3491	165285.9826	1	20770.84896	h
38	5680	24	48	96	-1	18303.76967	144164.9816	162468.7513	1	1234.48139	h
39	5425	23	49	98	-1	1496.684749	139937.1307	142930.5002	2	0	q
40	5169	23	49	98	-1	1496.684749	136943.7612	139937.1307	2	1231.806577	h
41	4400	21	48	96	-1	233.9436664	135244.0673	135711.9546	2	0	q
42	4144	21	48	96	-1	233.9436664	134776.18	135244.0673	2	0	q
43	4912	22	48	96	-1	233.9436664	134308.2926	134776.18	2	0	q
44	4656	22	48	96	-1	233.9436664	133840.4053	134308.2926	2	0	q
45	3376	19	48	96	-1	237.1487946	133366.1077	133840.4053	2	0	q
46	3120	19	48	96	-1	237.1487946	132891.8101	133366.1077	2	0	q
47	3888	20	48	96	-1	237.1487946	132417.5125	132891.8101	2	0	q
48	3632	20	48	96	-1	237.1487946	131943.2149	132417.5125	2	55056.3214	h
49	3112	17	36	72	-1	18303.76967	112407.6387	130711.4084	1	35520.74515	h
50	2980	15	164	72	-1	1584.633492	109589.0762	111173.7097	1	53892.16971	h
51	2976	14	160	64	-1	30235.10336	78121.37492	108356.4783	1	22424.46846	h
52	2848	13	32	64	-1	419.8411039	76467.05242	76886.89353	1	43125.62841	h
53	2832	11	16	32	-1	18303.76967	56930.68039	75234.45006	1	23589.25638	h
54	2704	10	144	32	-1	1584.633492	54112.27297	55696.90646	1	20770.84896	h
55	2700	9	140	24	-1	18303.76967	34575.9054	52879.67507	1	1234.48139	h
56	2445	8	141	26	-1	1496.684749	30348.05452	33341.42401	2	0	q
57	2189	8	141	26	-1	1496.684749	27354.68502	30348.05452	2	1231.806577	h
58	1420	6	140	24	-1	233.9436664	25654.99111	26122.87844	2	0	q
59	1164	6	140	24	-1	233.9436664	25187.10378	25654.99111	2	0	q
60	1932	7	140	24	-1	233.9436664	24719.21644	25187.10378	2	0	q
61	1676	7	140	24	-1	233.9436664	24251.32911	24719.21644	2	0	q
62	396	4	140	24	-1	237.1487946	23777.03152	24251.32911	2	0	q
63	140	4	140	24	-1	237.1487946	23302.73393	23777.03152	2	0	q
64	908	5	140	24	-1	237.1487946	22828.43634	23302.73393	2	0	q
65	652	5	140	24	-1	237.1487946	22354.13875	22828.43634	2	22354.13875	h
66	132	2	128	0	-1	18303.76967	2818.562505	21122.33218	1	2818.562505	h
67	0	0	0	0	-1	1584.633492	0	1584.633492	1	0	-
