model	seq	arm	l2_ms	ratio	ci_low	ci_high
gqa2	4	rotate	0.290816	1.0	1.0	1.0
gqa2	4	chain	0.291616	1.0001096731739418	1.0	1.0033006931455606
gqa2	4	chain_control	0.29264	1.003631161971831	1.0029611756964247	1.0067121478873238
gqa2	4	original	0.292864	1.0067121478873238	1.004059243006034	1.007485689123734
gqa2	128	rotate	0.45568	1.0	1.0	1.0
gqa2	128	chain	0.500896	1.099297752808989	1.098876404494382	1.101123595505618
gqa2	128	chain_control	0.514912	1.1298637449079927	1.1281691129995084	1.1303370786516853
gqa2	128	original	0.518144	1.1370786516853935	1.1368679775280899	1.1370786516853935
mha4	4	rotate	0.576512	1.0	1.0	1.0
mha4	4	chain	0.575488	0.9997230377222623	0.9976773765415032	1.0081340293796286
mha4	4	chain_control	0.581632	1.0137655417406748	1.011010900237924	1.015929203539823
mha4	4	original	0.549856	1.01222702110834	1.0103959301039593	1.0139910413095174
mha4	128	rotate	0.85504	1.0	1.0	1.0
mha4	128	chain	0.96768	1.1311884573304158	1.1304250308399686	1.1329066546897224
mha4	128	chain_control	1.077248	1.259880239520958	1.2585431654676258	1.261274207897078
mha4	128	original	1.076224	1.2579558217895919	1.2562521027251317	1.26005321740434
real	4	rotate	4.407232	1.0	1.0	1.0
real	4	chain	5.107776	1.1599627993489887	1.158806950255695	1.16874730951356
real	4	chain_control	4.50048	1.0213854021385402	1.02045084824541	1.0236678833343416
real	4	original	4.50048	1.0211480362537764	1.0205323746232342	1.0232458028411537
real	128	rotate	6.499328	1.0	1.0	1.0
real	128	chain	7.163776	1.1021330877319135	1.1019379234283913	1.1024192793866365
real	128	chain_control	7.364608	1.1329269733732472	1.1326294546170506	1.1334544541439564
real	128	original	7.363584	1.132797731568998	1.1323514934336174	1.1331547431452884
