model	seq	source	nodes	observed	solo_work_ns	spine_length_ns	max_queue_ns	chain_count	chain_interleaves	split_count	makespan_ns	fill_overflows	worker_diff	solve_us
gqa2	4	cost_model	200	200	1336932.147	19239.52628	30235.10336	32	0	0	200798.5302	0	0	2890.123
gqa2	4	trace	200	200	1646592	37888	37888	168	0	0	244213.6784	0	196	3178.509
mha4	4	cost_model	512	512	2989285.765	19242.73141	30235.10336	48	0	0	404064.1264	0	0	7707.58
mha4	4	trace	512	512	3682304	38912	58368	256	0	0	491707.4118	80	504	8571.032
real	4	cost_model	2800	2800	237206288.6	144352.2619	1356432.989	1	0	0	4769543.83	58	0	80455.274
gqa2	128	cost_model	4416	4416	4322127.644	30235.10336	35700.83479	64	0	0	211381.2589	844	0	486957.019
gqa2	128	trace	4416	4416	25300344.71	24576	252375.0925	1	0	0	414391.7825	162	4404	423294.525
mha4	128	cost_model	11920	11920	9659072.598	18537.71334	170461.3253	1	0	0	431348.2084	948	0	2289449.35
mha4	128	trace	11920	11920	52825960.33	18432	364926.8671	1	0	0	880764.165	365	11559	1823566.546
real	128	cost_model	47936	47936	298164759.4	143770.9036	2153620.199	1	0	0	4612494.092	4000	0	30524923.05
