step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	196	29	3	-1	11	30235.10336	170563.6239	200798.7272	1	170563.6239	h
1	192	28	12	-1	12	419.8411039	168909.3014	169329.1425	1	1234.610389	h
2	176	26	27	-1	27	18303.76967	149370.9213	167674.691	1	149370.9213	h
3	172	25	96	-1	-1	1584.633492	146552.5139	148137.1474	1	20772.62705	h
4	168	24	31	-1	31	18303.76967	127014.3682	145318.1379	1	127014.3682	h
5	152	23	5	-1	3	701.8129468	125078.0739	125779.8868	1	1233.77393	h
6	136	21	60	-1	-1	233.9436664	123610.3563	123844.3	1	0	s
7	128	20	60	-1	-1	237.1487946	123373.2075	123610.3563	1	100782.0446	h
8	108	17	5	-1	3	18303.76967	103835.2282	122138.9978	1	103835.2282	h
9	100	15	56	-1	-1	1584.633492	101016.4531	102601.0866	1	76253.08738	h
10	96	14	92	-1	-1	30235.10336	69546.97372	99782.07708	1	69546.97372	h
11	92	13	52	-1	-1	419.8411039	67892.65122	68312.49233	1	43129.28554	h
12	76	11	76	-1	-1	18303.76967	48354.40016	66658.16983	1	48354.40016	h
13	72	10	48	-1	-1	1584.633492	45535.99274	47120.62623	1	20772.62705	h
14	68	9	72	-1	-1	18303.76967	25997.84708	44301.61675	1	25997.84708	h
15	52	8	44	-1	-1	701.8129468	24061.55274	24763.36569	1	1233.77393	h
16	36	6	32	-1	-1	233.9436664	22593.83514	22827.77881	1	0	s
17	28	5	32	-1	-1	237.1487946	22356.68635	22593.83514	1	20772.05286	h
18	8	2	36	-1	-1	18303.76967	2818.775085	21122.54476	1	2818.775085	h
19	0	0	32	-1	-1	1584.633492	0	1584.633492	1	0	-
