step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	508	59	0	0	-1	30235.10336	592215.0874	622450.1908	1	1234.610389	h
1	505	58	1	2	-1	419.8411039	590560.636	590980.4771	1	1234.48139	h
2	496	57	0	0	-1	18303.76967	571022.3849	589326.1546	1	0	q
3	488	56	0	0	-1	18303.76967	552718.6152	571022.3849	1	1233.846286	h
4	485	55	1	2	-1	1584.633492	549900.1354	551484.7689	1	1234.610389	h
5	480	54	0	0	-1	18303.76967	530361.7554	548665.525	1	1234.48139	h
6	465	53	1	2	-1	701.8129468	528425.461	529127.274	1	1233.808977	h
7	432	51	0	0	-1	233.9436664	526957.7084	527191.6521	1	0	q
8	448	52	0	0	-1	233.9436664	526723.7647	526957.7084	1	755.843057	h
9	397	48	1	2	-1	18303.76967	507189.8544	525493.6241	1	0	q
10	389	46	1	2	-1	18303.76967	488886.0847	507189.8544	1	0	q
11	393	47	1	2	-1	18303.76967	470582.3151	488886.0847	1	1234.080684	h
12	384	45	0	0	-1	1584.633492	467763.6009	469348.2344	1	1234.610389	h
13	381	44	1	2	-1	30235.10336	436293.8871	466528.9905	1	1234.610389	h
14	376	43	0	0	-1	419.8411039	434639.4357	435059.2768	1	1234.48139	h
15	369	42	1	2	-1	18303.76967	415101.1846	433404.9543	1	0	q
16	361	41	1	2	-1	18303.76967	396797.4149	415101.1846	1	1233.846286	h
17	356	40	0	0	-1	1584.633492	393978.9351	395563.5686	1	1234.610389	h
18	353	39	1	2	-1	18303.76967	374440.5551	392744.3248	1	1234.48139	h
19	336	38	0	0	-1	701.8129468	372504.2607	373206.0737	1	1233.808977	h
20	305	36	1	2	-1	233.9436664	371036.5081	371270.4518	1	0	q
21	321	37	1	2	-1	233.9436664	370802.5644	371036.5081	1	755.843057	h
22	268	33	0	0	-1	18303.76967	351268.6541	369572.4238	1	0	q
23	260	31	0	0	-1	18303.76967	332964.8844	351268.6541	1	0	q
24	264	32	0	0	-1	18303.76967	314661.1148	332964.8844	1	1234.080684	h
25	257	30	1	2	-1	1584.633492	311842.4006	313427.0341	1	1234.610389	h
26	252	29	0	0	-1	30235.10336	280372.6868	310607.7902	1	1234.610389	h
27	249	28	1	2	-1	419.8411039	278718.2354	279138.0765	1	1234.48139	h
28	240	27	0	0	-1	18303.76967	259179.9843	277483.754	1	0	q
29	232	26	0	0	-1	18303.76967	240876.2146	259179.9843	1	1233.846286	h
30	229	25	1	2	-1	1584.633492	238057.7348	239642.3683	1	1234.610389	h
31	224	24	0	0	-1	18303.76967	218519.3548	236823.1245	1	1234.48139	h
32	209	23	1	2	-1	701.8129468	216583.0604	217284.8734	1	1233.808977	h
33	176	21	0	0	-1	233.9436664	215115.3078	215349.2515	1	0	q
34	192	22	0	0	-1	233.9436664	214881.3641	215115.3078	1	755.843057	h
35	141	18	1	2	-1	18303.76967	195347.4538	213651.2235	1	0	q
36	133	16	1	2	-1	18303.76967	177043.6841	195347.4538	1	0	q
37	137	17	1	2	-1	18303.76967	158739.9145	177043.6841	1	1234.080684	h
38	128	15	0	0	-1	1584.633492	155921.2003	157505.8338	1	1234.610389	h
39	125	14	1	2	-1	30235.10336	124451.4865	154686.5899	1	1234.610389	h
40	120	13	0	0	-1	419.8411039	122797.0351	123216.8762	1	1234.48139	h
41	113	12	1	2	-1	18303.76967	103258.784	121562.5537	1	0	q
42	105	11	1	2	-1	18303.76967	84955.01432	103258.784	1	1233.846286	h
43	100	10	0	0	-1	1584.633492	82136.53454	83721.16804	1	1234.610389	h
44	97	9	1	2	-1	18303.76967	62598.15448	80901.92415	1	1234.48139	h
45	80	8	0	0	-1	701.8129468	60661.86015	61363.67309	1	1233.808977	h
46	49	6	1	2	-1	233.9436664	59194.1075	59428.05117	1	0	q
47	65	7	1	2	-1	233.9436664	58960.16384	59194.1075	1	755.843057	h
48	12	3	0	0	-1	18303.76967	39426.25352	57730.02319	1	0	q
49	4	1	0	0	-1	18303.76967	21122.48385	39426.25352	1	0	q
50	8	2	0	0	-1	18303.76967	2818.714177	21122.48385	1	1234.080684	h
51	1	0	1	2	-1	1584.633492	0	1584.633492	1	0	-
