step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	508	59	0	0	-1	30235.10336	372596.7744	402831.8778	1	1234.610389	h
1	505	58	1	2	-1	419.8411039	370942.3229	371362.164	1	1234.48139	h
2	488	56	0	0	-1	18303.76967	351404.0718	369707.8415	1	1233.808977	h
3	485	55	1	2	-1	1584.633492	348585.6294	350170.2629	1	1234.610389	h
4	480	54	0	0	-1	18303.76967	329047.2493	347351.019	1	1234.48139	h
5	465	53	1	2	-1	701.8129468	327110.955	327812.7679	1	1233.808977	h
6	432	51	0	0	-1	233.9436664	325643.2023	325877.146	1	0	s
7	416	50	0	0	-1	237.1487946	325406.0535	325643.2023	1	1233.808977	h
8	393	47	1	2	-1	18303.76967	305868.4749	324172.2446	1	1233.975285	h
9	384	45	0	0	-1	1584.633492	303049.8661	304634.4996	1	1234.610389	h
10	381	44	1	2	-1	30235.10336	271580.1524	301815.2557	1	1234.610389	h
11	376	43	0	0	-1	419.8411039	269925.7009	270345.542	1	1234.48139	h
12	361	41	1	2	-1	18303.76967	250387.4498	268691.2195	1	1233.808977	h
13	356	40	0	0	-1	1584.633492	247569.0073	249153.6408	1	1234.610389	h
14	353	39	1	2	-1	18303.76967	228030.6273	246334.3969	1	1234.48139	h
15	336	38	0	0	-1	701.8129468	226094.3329	226796.1459	1	1233.808977	h
16	305	36	1	2	-1	233.9436664	224626.5803	224860.524	1	0	s
17	289	35	1	2	-1	237.1487946	224389.4315	224626.5803	1	1233.808977	h
18	264	32	0	0	-1	18303.76967	204851.8528	223155.6225	1	1233.975285	h
19	257	30	1	2	-1	1584.633492	202033.2441	203617.8776	1	1234.610389	h
20	252	29	0	0	-1	30235.10336	170563.5303	200798.6337	1	1234.610389	h
21	249	28	1	2	-1	419.8411039	168909.0788	169328.9199	1	1234.48139	h
22	232	26	0	0	-1	18303.76967	149370.8278	167674.5974	1	1233.808977	h
23	229	25	1	2	-1	1584.633492	146552.3853	148137.0188	1	1234.610389	h
24	224	24	0	0	-1	18303.76967	127014.0052	145317.7749	1	1234.48139	h
25	209	23	1	2	-1	701.8129468	125077.7109	125779.5238	1	1233.808977	h
26	176	21	0	0	-1	233.9436664	123609.9583	123843.9019	1	0	s
27	160	20	0	0	-1	237.1487946	123372.8095	123609.9583	1	1233.808977	h
28	137	17	1	2	-1	18303.76967	103835.2308	122139.0005	1	1233.975285	h
29	128	15	0	0	-1	1584.633492	101016.622	102601.2555	1	1234.610389	h
30	125	14	1	2	-1	30235.10336	69546.90828	99782.01165	1	1234.610389	h
31	120	13	0	0	-1	419.8411039	67892.45679	68312.2979	1	1234.48139	h
32	105	11	1	2	-1	18303.76967	48354.20573	66657.9754	1	1233.808977	h
33	100	10	0	0	-1	1584.633492	45535.76326	47120.39675	1	1234.610389	h
34	97	9	1	2	-1	18303.76967	25997.3832	44301.15287	1	1234.48139	h
35	80	8	0	0	-1	701.8129468	24061.08886	24762.90181	1	1233.808977	h
36	49	6	1	2	-1	233.9436664	22593.33622	22827.27989	1	0	s
37	33	5	1	2	-1	237.1487946	22356.18743	22593.33622	1	1233.808977	h
38	8	2	0	0	-1	18303.76967	2818.608777	21122.37845	1	1233.975285	h
39	1	0	1	2	-1	1584.633492	0	1584.633492	1	0	-
