step	node	stage	worker	sm	chain	task_ns	start_ns	end_ns	stretch	block_ns	edge_to_next
0	2768	59	0	-1	-1	485456.7466	3855445.469	4340902.216	1	1233.408271	h
1	2765	58	1	-1	-1	6546.930886	3847665.13	3854212.061	1	1234.48139	h
2	2540	56	0	-1	-1	143253.6676	3559923.313	3846430.648	2	1232.283347	h
3	2537	55	1	-1	-1	3291.274528	3555399.755	3558691.03	1	1234.48139	h
4	2504	54	0	-1	-1	143253.6676	3410911.606	3554165.274	1	1233.390482	h
5	2377	53	1	-1	-1	835.6983641	3408842.518	3409678.216	1	1235.209666	h
6	2339	51	27	-1	-1	254.5414229	3407355.369	3407609.911	1	1219.182354	h
7	2307	50	155	-1	-1	262.8959903	3405610.395	3406133.336	1.989156802	644713.9208	h
8	2136	47	32	-1	-1	143253.6676	3261126.971	3404380.639	1	500230.4969	h
9	2100	45	0	-1	-1	3291.274528	3256602.523	3259893.797	1	1234.48139	h
10	2069	44	1	-1	-1	485456.7466	2769911.295	3255368.041	1	1233.408271	h
11	2064	43	0	-1	-1	6546.930886	2762130.956	2768677.886	1	1234.48139	h
12	1841	41	1	-1	-1	143253.6676	2474389.139	2760896.474	2	1232.283347	h
13	1836	40	0	-1	-1	3291.274528	2469865.581	2473156.856	1	1234.48139	h
14	1805	39	1	-1	-1	143253.6676	2325377.432	2468631.1	1	1233.390482	h
15	1676	38	0	-1	-1	835.6983641	2323308.343	2324144.042	1	1233.829757	h
16	1639	36	27	-1	-1	254.5414229	2321821.195	2322075.736	1	1219.182354	h
17	1607	35	155	-1	-1	262.8959903	2320076.221	2320599.162	1.989156802	644713.9208	h
18	1436	32	32	-1	-1	143253.6676	2175592.797	2318846.464	1	500230.4969	h
19	1400	30	0	-1	-1	3291.274528	2171068.349	2174359.623	1	1234.48139	h
20	1369	29	1	-1	-1	485456.7466	1684377.121	2169833.867	1	1233.408271	h
21	1364	28	0	-1	-1	6546.930886	1676596.781	1683143.712	1	1234.48139	h
22	1141	26	1	-1	-1	143253.6676	1388854.965	1675362.3	2	1232.283347	h
23	1136	25	0	-1	-1	3291.274528	1384331.407	1387622.681	1	1234.48139	h
24	1105	24	1	-1	-1	143253.6676	1239843.258	1383096.926	1	1233.390482	h
25	976	23	0	-1	-1	835.6983641	1237774.169	1238609.867	1	1233.829757	h
26	939	21	27	-1	-1	254.5414229	1236287.021	1236541.562	1	1219.182354	h
27	907	20	155	-1	-1	262.8959903	1234542.046	1235064.988	1.989156802	644713.9208	h
28	736	17	32	-1	-1	143253.6676	1090058.623	1233312.29	1	500230.4969	h
29	700	15	0	-1	-1	3291.274528	1085534.174	1088825.449	1	1234.48139	h
30	669	14	1	-1	-1	485456.7466	598842.9463	1084299.693	1	1233.408271	h
31	664	13	0	-1	-1	6546.930886	591062.6071	597609.538	1	1234.48139	h
32	441	11	1	-1	-1	143253.6676	303320.7905	589828.1257	2	1232.283347	h
33	436	10	0	-1	-1	3291.274528	298797.2327	302088.5072	1	1234.48139	h
34	405	9	1	-1	-1	143253.6676	154309.0837	297562.7513	1	1233.390482	h
35	276	8	0	-1	-1	835.6983641	152239.9948	153075.6932	1	1233.829757	h
36	239	6	27	-1	-1	254.5414229	150752.8466	151007.388	1	1219.182354	h
37	207	5	155	-1	-1	262.8959903	149007.8722	149530.8136	1.989156802	149007.8722	h
38	36	2	32	-1	-1	143253.6676	4524.448402	147778.116	1	4524.448402	h
39	0	0	0	-1	-1	3291.274528	0	3291.274528	1	0	-
