cell	runtime_stage	logical_stage	task_kind	combine	tasks	measured_p50_ns	predicted_p50_ns	measured_predicted_p50	measured_total_ns	predicted_total_ns	dump
mha4_s4	0	0	kRMSNorm	0	4	2048.0	2437.426445310427	0.8402304832378931	8192	9749.705781241708	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	1	1	kGemm	0	256	3072.0	2867.5326732902677	1.0713042709553933	803840	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	2	1	kGemm	1	32	2048.0	1057.8904654653522	1.9359282145520722	52224	33852.49489489127	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	3	2	kGemm	0	256	4096.0	2867.5326732902677	1.428405694607191	995328	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	4	2	kGemm	1	32	1024.0	1057.8904654653522	0.9679641072760361	46080	33852.49489489127	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	5	3	kGemm	0	256	3072.0	2867.5326732902677	1.0713042709553933	659456	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	6	3	kGemm	1	32	1024.0	1057.8904654653522	0.9679641072760361	38912	33852.49489489127	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	7	4	kRoPE	0	16	1024.0	907.2494385276806	1.128686286829548	17408	14515.99101644289	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	8	5	kRoPE	0	16	1024.0	907.2494385276806	1.128686286829548	15360	14515.99101644289	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	9	6	kKVAppend	0	16	1024.0	894.4289255968149	1.1448645842001675	11264	14310.862809549035	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	10	7	kKVAppend	0	16	512.0	894.4289255968149	0.5724322921000837	8192	14310.862809549035	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	11	8	kAttention	0	16	4096.0	1612.2982081684568	2.5406336022961966	63488	25796.771330695316	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	12	9	kGemm	0	256	3072.0	2867.5326732902677	1.0713042709553933	760832	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	13	9	kGemm	1	32	2048.0	1070.7109783962178	1.9127477361515717	56320	34262.751308678984	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	14	10	kRMSNorm	0	4	2048.0	2437.426445310427	0.8402304832378931	8192	9749.705781241708	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	15	11	kGemm	0	512	4096.0	2867.5326732902677	1.428405694607191	1823744	1468176.728724607	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	16	11	kGemm	1	64	1024.0	1057.8904654653522	0.9679641072760361	92160	67704.98978978253	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	17	12	kGemm	0	512	3072.0	2867.5326732902677	1.0713042709553933	1471488	1468176.728724607	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	18	12	kGemm	1	64	1024.0	1057.8904654653522	0.9679641072760361	86016	67704.98978978253	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	19	13	kElementwise	0	4	3072.0	1503.4032898129342	2.0433638936510796	12288	6013.613159251737	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	20	14	kGemm	0	512	4096.0	2867.5326732902677	1.428405694607191	2100224	1468176.728724607	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	21	14	kGemm	1	32	2048.0	1275.8391852900686	1.6052179801440858	52224	40826.85392928217	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	22	15	kRMSNorm	0	4	2048.0	2437.426445310427	0.8402304832378931	8192	9749.705781241708	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	23	16	kGemm	0	256	3072.0	2867.5326732902677	1.0713042709553933	808960	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	24	16	kGemm	1	32	1024.0	1057.8904654653522	0.9679641072760361	40960	33852.49489489127	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	25	17	kGemm	0	256	4096.0	2867.5326732902677	1.428405694607191	1001472	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	26	17	kGemm	1	32	1536.0	1057.8904654653522	1.451946160914054	49152	33852.49489489127	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	27	18	kGemm	0	256	3072.0	2867.5326732902677	1.0713042709553933	679936	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	28	18	kGemm	1	32	1024.0	1057.8904654653522	0.9679641072760361	47104	33852.49489489127	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	29	19	kRoPE	0	16	1024.0	907.2494385276806	1.128686286829548	16384	14515.99101644289	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	30	20	kRoPE	0	16	1024.0	907.2494385276806	1.128686286829548	16384	14515.99101644289	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	31	21	kKVAppend	0	16	1024.0	894.4289255968149	1.1448645842001675	13312	14310.862809549035	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	32	22	kKVAppend	0	16	1024.0	894.4289255968149	1.1448645842001675	13312	14310.862809549035	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
