dump	window	measured_ns	predicted_ns	error_ns	relative_error	evaluate_us
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_chain	1	523264	536636.375364	13372.3753638	0.025555695335	3787.98
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s128_rotate	1	461824	475151.199919	13327.1999195	0.0288577464997	2534.83
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_chain	1	299904	314092.699854	14188.6998542	0.0473108056385	63.426
docs/experiments/PLACE_EFT2/raw/final/trace_a_gqa2_s4_rotate	1	293888	320092.259878	26204.2598782	0.0891641029173	57.356
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_chain	1	1204224	1150759.02985	-53464.970149	-0.044397861319	7240.157
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s128_rotate	1	956416	989793.849086	33377.8490856	0.0348988819568	6999.125
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_chain	1	596992	635331.308123	38339.3081231	0.0642208071852	146.269
docs/experiments/PLACE_EFT2/raw/final/trace_a_mha4_s4_rotate	1	578560	647330.428171	68770.428171	0.118864816391	141.896
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_chain	1	562720	586099.638942	23379.6389418	0.0415475528537	1940.422
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s128_rotate	1	448512	481295.199919	32783.1999195	0.0730932503912	1793.307
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s4_chain	1	288544	316140.699854	27596.6998542	0.0956412188582	55.71
docs/experiments/PLACE_EFT2/raw/final/trace_b_gqa2_s4_rotate	1	288768	320092.259878	31324.2598782	0.108475523182	56.354
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s128_chain	1	1154048	1236775.02985	82727.029851	0.0716842192448	6892.088
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s128_rotate	1	914400	986721.849086	72321.8490856	0.0790921359204	6853.898
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s4_chain	1	567584	640451.308123	72867.3081231	0.128381540218	110.592
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s4_rotate	1	571392	650402.428171	79010.428171	0.138277099034	106.4
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_chain	2	529408	553265.699985	23857.6999847	0.0450648648768	1793.577
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_rotate	2	470016	495520.672763	25504.6727633	0.0542634139334	1811.118
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_chain	2	302080	325356.699854	23276.6998542	0.077054753225	57.43
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_rotate	2	294912	328284.259878	33372.2598782	0.113160060893	50.14
