slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789575900284309504	1789575900284309504	1789575900284309504	1789575900284311552	1789575900284312576	0	0	0	0	53012772293078	53012772298291
1	0	30	0	0	1789575900284312576	1789575900284594176	1789575900284594176	1789575900284596224	1789575900284597248	0	4	38	1	53012773009898	53012773015482
2	1	0	1	2	1789575900284309504	1789575900284309504	1789575900284309504	1789575900284311552	1789575900284312576	4	0	0	0	53033677166222	53033677171569
3	1	30	1	2	1789575900284312576	1789575900284594176	1789575900284594176	1789575900284596224	1789575900284597248	4	4	38	1	53033677883047	53033677888591
4	2	0	2	4	1789575900284309504	1789575900284309504	1789575900284309504	1789575900284311552	1789575900284312576	8	0	0	0	53014702455719	53014702460859
5	2	30	2	4	1789575900284312576	1789575900284594176	1789575900284594176	1789575900284596224	1789575900284597248	8	4	38	1	53014703172613	53014703177982
6	3	0	3	6	1789575900284309504	1789575900284309504	1789575900284309504	1789575900284311552	1789575900284312576	12	0	0	0	53018664673626	53018664678598
7	3	30	3	6	1789575900284312576	1789575900284594176	1789575900284594176	1789575900284596224	1789575900284597248	12	4	38	1	53018665390521	53018665395680
8	4	2	0	8	1789575900284309504	1789575900284313600	1789575900284313600	1789575900284334080	1789575900284335104	16	4	1	1	53029629575614	53029629628709
9	4	32	0	8	1789575900284335104	1789575900284598272	1789575900284598272	1789575900284619776	1789575900284620800	20	4	40	1	53029630293650	53029630347221
10	5	2	1	10	1789575900284309504	1789575900284313600	1789575900284313600	1789575900284334080	1789575900284335104	24	4	1	1	52978270339004	52978270391791
11	5	32	1	10	1789575900284335104	1789575900284598272	1789575900284598272	1789575900284619776	1789575900284620800	28	4	40	1	52978271057317	52978271110962
12	6	2	2	12	1789575900284309504	1789575900284313600	1789575900284313600	1789575900284334080	1789575900284335104	32	4	1	1	53007475752952	53007475805205
13	6	32	2	12	1789575900284335104	1789575900284598272	1789575900284598272	1789575900284619776	1789575900284620800	36	4	40	1	53007476471179	53007476524616
14	7	2	3	14	1789575900284309504	1789575900284313600	1789575900284313600	1789575900284334080	1789575900284335104	40	4	1	1	53020356339256	53020356392418
15	7	32	3	14	1789575900284335104	1789575900284598272	1789575900284598272	1789575900284619776	1789575900284620800	44	4	40	1	53020357057190	53020357111032
16	8	1	0	16	1789575900284309504	1789575900284313600	1789575900284313600	1789575900284334080	1789575900284335104	48	4	0	1	52957395973873	52957396026733
17	8	31	0	16	1789575900284335104	1789575900284598272	1789575900284598272	1789575900284619776	1789575900284620800	52	4	39	1	52957396692248	52957396745970
18	9	1	1	18	1789575900284309504	1789575900284313600	1789575900284313600	1789575900284334080	1789575900284335104	56	4	0	1	53004468939061	53004468991964
19	9	31	1	18	1789575900284335104	1789575900284598272	1789575900284598272	1789575900284619776	1789575900284620800	60	4	39	1	53004469657157	53004469710660
20	10	1	2	20	1789575900284309504	1789575900284313600	1789575900284313600	1789575900284334080	1789575900284335104	64	4	0	1	53019910820046	53019910873055
21	10	31	2	20	1789575900284335104	1789575900284598272	1789575900284598272	1789575900284619776	1789575900284620800	68	4	39	1	53019911538375	53019911591925
