slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations
0	1	0	0	0	1	0	1789572712656071680	52837259815293	1789572712656072704	52837259816460	1789572712656072704	52837259816460	1789572712656073728	52837259818973	1789572712656073728	52837259821001	1789572712656073728	52837259821134	0	0	0	0
1	0	32	16	32	1	3072	1789572712656075776	52837259826160	1789572712656076800	52837259828380	1789572712656077824	52837259829324	1789572712656084992	52837259847911	1789572712656086016	52837259850516	1789572712656086016	52837259850647	52837259829412	52837259847800	5909	16
2	2	0	0	0	1	0	1789572712656088064	52837259856940	1789572712656089088	52837259858350	1789572712656089088	52837259858350	1789572712656090112	52837259860304	1789572712656090112	52837259860334	1789572712656090112	52837259861005	0	0	0	0
3	3	0	0	0	1	0	1789572712656091136	52837259864271	1789572712656092160	52837259865398	1789572712656092160	52837259865398	1789572712656092160	52837259866616	1789572712656092160	52837259866646	1789572712656092160	52837259867026	0	0	0	0
4	5	0	0	0	1	0	1789572712656096256	52837259875910	1789572712656097280	52837259877810	1789572712656097280	52837259877810	1789572712656122880	52837259942527	1789572712656122880	52837259942559	1789572712656122880	52837259942708	0	0	0	0
5	0	32	16	32	1	3072	1789572712656129024	52837259957805	1789572712656129024	52837259959812	1789572712656130048	52837259961479	1789572712656141312	52837259989345	1789572712656142336	52837259993135	1789572712656142336	52837259993267	52837259961592	52837259989084	12144	16
6	1	0	0	0	1	0	1789572712656147456	52837260004327	1789572712656147456	52837260005396	1789572712656147456	52837260005396	1789572712656148480	52837260008335	1789572712656148480	52837260009081	1789572712656149504	52837260009243	0	0	0	0
7	0	32	16	32	1	3072	1789572712656151552	52837260016307	1789572712656152576	52837260018546	1789572712656152576	52837260019316	1789572712656161792	52837260040694	1789572712656162816	52837260043245	1789572712656162816	52837260043485	52837260020071	52837260040408	6639	16
8	4	0	0	0	1	0	1789572712656169984	52837260063171	1789572712656171008	52837260064449	1789572712656171008	52837260064449	1789572712656174080	52837260071305	1789572712656174080	52837260071336	1789572712656174080	52837260071474	0	0	0	0
9	0	32	16	32	1	3072	1789572712656176128	52837260076871	1789572712656177152	52837260079074	1789572712656177152	52837260079967	1789572712656191488	52837260115469	1789572712656192512	52837260119441	1789572712656192512	52837260119703	52837260080036	52837260115342	14627	32
10	1	0	0	0	1	0	1789572712656195584	52837260127363	1789572712656196608	52837260128854	1789572712656196608	52837260128854	1789572712656197632	52837260131382	1789572712656198656	52837260133251	1789572712656198656	52837260133387	0	0	0	0
11	0	32	16	32	1	3072	1789572712656200704	52837260138428	1789572712656200704	52837260140634	1789572712656201728	52837260141549	1789572712656208896	52837260159265	1789572712656209920	52837260161573	1789572712656209920	52837260161909	52837260141854	52837260159085	7518	16
12	2	0	0	0	1	0	1789572712656215040	52837260174813	1789572712656215040	52837260176214	1789572712656215040	52837260176214	1789572712656216064	52837260178144	1789572712656216064	52837260178180	1789572712656216064	52837260178543	0	0	0	0
13	3	0	0	0	1	0	1789572712656218112	52837260182958	1789572712656218112	52837260184127	1789572712656218112	52837260184127	1789572712656219136	52837260185412	1789572712656219136	52837260185444	1789572712656219136	52837260185574	0	0	0	0
14	5	0	0	0	1	0	1789572712656223232	52837260195397	1789572712656223232	52837260197353	1789572712656223232	52837260197353	1789572712656248832	52837260261090	1789572712656248832	52837260261121	1789572712656248832	52837260261252	0	0	0	0
15	0	32	16	32	1	3072	1789572712656254976	52837260275556	1789572712656256000	52837260277579	1789572712656256000	52837260278465	1789572712656265216	52837260300877	1789572712656266240	52837260304334	1789572712656266240	52837260304586	52837260278921	52837260300711	11565	16
16	1	0	0	0	1	0	1789572712656269312	52837260312903	1789572712656270336	52837260314483	1789572712656270336	52837260314483	1789572712656271360	52837260316781	1789572712656272384	52837260318578	1789572712656272384	52837260318715	0	0	0	0
17	0	32	16	32	1	3072	1789572712656274432	52837260325512	1789572712656275456	52837260327774	1789572712656275456	52837260328633	1789572712656283648	52837260347421	1789572712656284672	52837260350591	1789572712656284672	52837260350770	52837260329008	52837260347233	8094	16
18	4	0	0	0	1	0	1789572712656291840	52837260368516	1789572712656291840	52837260369660	1789572712656291840	52837260369660	1789572712656294912	52837260376323	1789572712656294912	52837260376353	1789572712656294912	52837260376489	0	0	0	0
19	0	32	16	32	1	3072	1789572712656296960	52837260381395	1789572712656297984	52837260383615	1789572712656297984	52837260384506	1789572712656312320	52837260419285	1789572712656313344	52837260422838	1789572712656313344	52837260423054	52837260384583	52837260419128	15483	32
