wait_index	producer	group	event_index
0	0	1	61
1	0	2	62
2	0	3	63
3	0	4	64
4	0	5	65
5	0	6	66
6	0	7	67
7	0	8	68
8	0	9	69
9	0	10	70
10	0	11	71
11	0	12	72
12	0	13	73
13	0	14	74
14	0	15	75
15	0	16	76
16	0	17	77
17	0	18	78
18	0	19	79
19	0	20	80
20	0	21	81
21	0	22	82
22	0	23	83
23	0	24	84
24	0	25	85
25	0	26	86
26	0	27	87
27	0	28	88
28	0	29	89
29	0	30	90
30	0	31	91
31	2	4294967295	189
32	1	4294967295	188
33	3	4294967295	190
34	4	0	191
35	6	4294967295	1215
36	7	4294967295	1216
37	8	1	1218
38	8	2	1219
39	8	3	1220
40	8	4	1221
41	8	5	1222
42	8	6	1223
43	8	7	1224
44	8	8	1225
45	8	9	1226
46	8	10	1227
47	8	11	1228
48	8	12	1229
49	8	13	1230
50	8	14	1231
51	8	15	1232
52	8	16	1233
53	8	17	1234
54	8	18	1235
55	8	19	1236
56	8	20	1237
57	8	21	1238
58	8	22	1239
59	8	23	1240
60	8	24	1241
61	8	25	1242
62	8	26	1243
63	8	27	1244
64	8	28	1245
65	8	29	1246
66	8	30	1247
67	8	31	1248
68	8	32	1249
69	8	33	1250
70	8	34	1251
71	8	35	1252
72	8	36	1253
73	8	37	1254
74	8	38	1255
75	8	39	1256
76	8	40	1257
77	8	41	1258
78	8	42	1259
79	8	43	1260
80	8	44	1261
81	8	45	1262
82	8	46	1263
83	8	47	1264
84	8	48	1265
85	8	49	1266
86	8	50	1267
87	8	51	1268
88	8	52	1269
89	8	53	1270
90	8	54	1271
91	8	55	1272
92	8	56	1273
93	8	57	1274
94	8	58	1275
95	8	59	1276
96	8	60	1277
97	8	61	1278
98	8	62	1279
99	8	63	1280
100	8	64	1281
101	8	65	1282
102	8	66	1283
103	8	67	1284
104	8	68	1285
105	8	69	1286
106	8	70	1287
107	8	71	1288
108	8	72	1289
109	8	73	1290
110	8	74	1291
111	8	75	1292
112	8	76	1293
113	8	77	1294
114	8	78	1295
115	8	79	1296
116	8	80	1297
117	8	81	1298
118	8	82	1299
119	8	83	1300
120	8	84	1301
121	8	85	1302
122	8	86	1303
123	8	87	1304
124	8	88	1305
125	8	89	1306
126	8	90	1307
127	8	91	1308
128	8	92	1309
129	8	93	1310
130	8	94	1311
131	8	95	1312
132	8	96	1313
133	8	97	1314
134	8	98	1315
135	8	99	1316
136	8	100	1317
137	8	101	1318
138	8	102	1319
139	8	103	1320
140	8	104	1321
141	8	105	1322
142	8	106	1323
143	8	107	1324
144	8	108	1325
145	8	109	1326
146	8	110	1327
147	8	111	1328
148	8	112	1329
149	8	113	1330
150	8	114	1331
151	8	115	1332
152	8	116	1333
153	8	117	1334
154	8	118	1335
155	8	119	1336
156	8	120	1337
157	8	121	1338
158	8	122	1339
159	8	123	1340
160	8	124	1341
161	8	125	1342
162	8	126	1343
163	8	127	1344
164	9	1	1730
165	9	2	1731
166	9	3	1732
167	9	4	1733
168	9	5	1734
169	9	6	1735
170	9	7	1736
171	9	8	1737
172	9	9	1738
173	9	10	1739
174	9	11	1740
175	9	12	1741
176	9	13	1742
177	9	14	1743
178	9	15	1744
179	9	16	1745
180	9	17	1746
181	9	18	1747
182	9	19	1748
183	9	20	1749
184	9	21	1750
185	9	22	1751
186	9	23	1752
187	9	24	1753
188	9	25	1754
189	9	26	1755
190	9	27	1756
191	9	28	1757
192	9	29	1758
193	9	30	1759
194	9	31	1760
195	10	1	1858
196	10	2	1859
197	10	3	1860
198	10	4	1861
199	10	5	1862
200	10	6	1863
201	10	7	1864
202	10	8	1865
203	10	9	1866
204	10	10	1867
205	10	11	1868
206	10	12	1869
207	10	13	1870
208	10	14	1871
209	10	15	1872
210	10	16	1873
211	10	17	1874
212	10	18	1875
213	10	19	1876
214	10	20	1877
215	10	21	1878
216	10	22	1879
217	10	23	1880
218	10	24	1881
219	10	25	1882
220	10	26	1883
221	10	27	1884
222	10	28	1885
223	10	29	1886
224	10	30	1887
225	10	31	1888
226	11	1	1986
227	11	2	1987
228	11	3	1988
229	11	4	1989
230	11	5	1990
231	11	6	1991
232	11	7	1992
233	11	8	1993
234	11	9	1994
235	11	10	1995
236	11	11	1996
237	11	12	1997
238	11	13	1998
239	11	14	1999
240	11	15	2000
241	11	16	2001
242	11	17	2002
243	11	18	2003
244	11	19	2004
245	11	20	2005
246	11	21	2006
247	11	22	2007
248	11	23	2008
249	11	24	2009
250	11	25	2010
251	11	26	2011
252	11	27	2012
253	11	28	2013
254	11	29	2014
255	11	30	2015
256	11	31	2016
257	11	32	2017
258	11	33	2018
259	11	34	2019
260	11	35	2020
261	11	36	2021
262	11	37	2022
263	11	38	2023
264	11	39	2024
265	11	40	2025
266	11	41	2026
267	11	42	2027
268	11	43	2028
269	11	44	2029
270	11	45	2030
271	11	46	2031
272	11	47	2032
273	11	48	2033
274	11	49	2034
275	11	50	2035
276	11	51	2036
277	11	52	2037
278	11	53	2038
279	11	54	2039
280	11	55	2040
281	11	56	2041
282	11	57	2042
283	11	58	2043
284	11	59	2044
285	11	60	2045
286	11	61	2046
287	11	62	2047
288	11	63	2048
289	12	0	2241
290	12	1	2242
291	12	2	2243
292	12	3	2244
293	12	4	2245
294	12	5	2246
295	12	6	2247
296	12	7	2248
297	12	8	2249
298	12	9	2250
299	12	10	2251
300	12	11	2252
301	12	12	2253
302	12	13	2254
303	12	14	2255
304	12	15	2256
305	12	16	2257
306	12	17	2258
307	12	18	2259
308	12	19	2260
309	12	20	2261
310	12	21	2262
311	12	22	2263
312	12	23	2264
313	12	24	2265
314	12	25	2266
315	12	26	2267
316	12	27	2268
317	12	28	2269
318	12	29	2270
319	12	30	2271
320	12	31	2272
321	12	32	2273
322	12	33	2274
323	12	34	2275
324	12	35	2276
325	12	36	2277
326	12	37	2278
327	12	38	2279
328	12	39	2280
329	12	40	2281
330	12	41	2282
331	12	42	2283
332	12	43	2284
333	12	44	2285
334	12	45	2286
335	12	46	2287
336	12	47	2288
337	12	48	2289
338	12	49	2290
339	12	50	2291
340	12	51	2292
341	12	52	2293
342	12	53	2294
343	12	54	2295
344	12	55	2296
345	12	56	2297
346	12	57	2298
347	12	58	2299
348	12	59	2300
349	12	60	2301
350	12	61	2302
351	12	62	2303
352	12	63	2304
353	13	1	2498
354	13	2	2499
355	13	3	2500
356	13	4	2501
357	13	5	2502
358	13	6	2503
359	13	7	2504
360	13	8	2505
361	13	9	2506
362	13	10	2507
363	13	11	2508
364	13	12	2509
365	13	13	2510
366	13	14	2511
367	13	15	2512
368	13	16	2513
369	13	17	2514
370	13	18	2515
371	13	19	2516
372	13	20	2517
373	13	21	2518
374	13	22	2519
375	13	23	2520
376	13	24	2521
377	13	25	2522
378	13	26	2523
379	13	27	2524
380	13	28	2525
381	13	29	2526
382	13	30	2527
383	13	31	2528
384	14	1	2626
385	14	2	2627
386	14	3	2628
387	14	4	2629
388	14	5	2630
389	14	6	2631
390	14	7	2632
391	14	8	2633
392	14	9	2634
393	14	10	2635
394	14	11	2636
395	14	12	2637
396	14	13	2638
397	14	14	2639
398	14	15	2640
399	14	16	2641
400	14	17	2642
401	14	18	2643
402	14	19	2644
403	14	20	2645
404	14	21	2646
405	14	22	2647
406	14	23	2648
407	14	24	2649
408	14	25	2650
409	14	26	2651
410	14	27	2652
411	14	28	2653
412	14	29	2654
413	14	30	2655
414	14	31	2656
415	15	1	2754
416	15	2	2755
417	15	3	2756
418	15	4	2757
419	15	5	2758
420	15	6	2759
421	15	7	2760
422	15	8	2761
423	15	9	2762
424	15	10	2763
425	15	11	2764
426	15	12	2765
427	15	13	2766
428	15	14	2767
429	15	15	2768
430	15	16	2769
431	15	17	2770
432	15	18	2771
433	15	19	2772
434	15	20	2773
435	15	21	2774
436	15	22	2775
437	15	23	2776
438	15	24	2777
439	15	25	2778
440	15	26	2779
441	15	27	2780
442	15	28	2781
443	15	29	2782
444	15	30	2783
445	15	31	2784
446	17	4294967295	2882
447	16	4294967295	2881
448	19	0	2884
449	21	4294967295	3908
450	22	4294967295	3909
451	23	1	3911
452	23	2	3912
453	23	3	3913
454	23	4	3914
455	23	5	3915
456	23	6	3916
457	23	7	3917
458	23	8	3918
459	23	9	3919
460	23	10	3920
461	23	11	3921
462	23	12	3922
463	23	13	3923
464	23	14	3924
465	23	15	3925
466	23	16	3926
467	23	17	3927
468	23	18	3928
469	23	19	3929
470	23	20	3930
471	23	21	3931
472	23	22	3932
473	23	23	3933
474	23	24	3934
475	23	25	3935
476	23	26	3936
477	23	27	3937
478	23	28	3938
479	23	29	3939
480	23	30	3940
481	23	31	3941
482	23	32	3942
483	23	33	3943
484	23	34	3944
485	23	35	3945
486	23	36	3946
487	23	37	3947
488	23	38	3948
489	23	39	3949
490	23	40	3950
491	23	41	3951
492	23	42	3952
493	23	43	3953
494	23	44	3954
495	23	45	3955
496	23	46	3956
497	23	47	3957
498	23	48	3958
499	23	49	3959
500	23	50	3960
501	23	51	3961
502	23	52	3962
503	23	53	3963
504	23	54	3964
505	23	55	3965
506	23	56	3966
507	23	57	3967
508	23	58	3968
509	23	59	3969
510	23	60	3970
511	23	61	3971
512	23	62	3972
513	23	63	3973
514	23	64	3974
515	23	65	3975
516	23	66	3976
517	23	67	3977
518	23	68	3978
519	23	69	3979
520	23	70	3980
521	23	71	3981
522	23	72	3982
523	23	73	3983
524	23	74	3984
525	23	75	3985
526	23	76	3986
527	23	77	3987
528	23	78	3988
529	23	79	3989
530	23	80	3990
531	23	81	3991
532	23	82	3992
533	23	83	3993
534	23	84	3994
535	23	85	3995
536	23	86	3996
537	23	87	3997
538	23	88	3998
539	23	89	3999
540	23	90	4000
541	23	91	4001
542	23	92	4002
543	23	93	4003
544	23	94	4004
545	23	95	4005
546	23	96	4006
547	23	97	4007
548	23	98	4008
549	23	99	4009
550	23	100	4010
551	23	101	4011
552	23	102	4012
553	23	103	4013
554	23	104	4014
555	23	105	4015
556	23	106	4016
557	23	107	4017
558	23	108	4018
559	23	109	4019
560	23	110	4020
561	23	111	4021
562	23	112	4022
563	23	113	4023
564	23	114	4024
565	23	115	4025
566	23	116	4026
567	23	117	4027
568	23	118	4028
569	23	119	4029
570	23	120	4030
571	23	121	4031
572	23	122	4032
573	23	123	4033
574	23	124	4034
575	23	125	4035
576	23	126	4036
577	23	127	4037
578	24	1	4423
579	24	2	4424
580	24	3	4425
581	24	4	4426
582	24	5	4427
583	24	6	4428
584	24	7	4429
585	24	8	4430
586	24	9	4431
587	24	10	4432
588	24	11	4433
589	24	12	4434
590	24	13	4435
591	24	14	4436
592	24	15	4437
593	24	16	4438
594	24	17	4439
595	24	18	4440
596	24	19	4441
597	24	20	4442
598	24	21	4443
599	24	22	4444
600	24	23	4445
601	24	24	4446
602	24	25	4447
603	24	26	4448
604	24	27	4449
605	24	28	4450
606	24	29	4451
607	24	30	4452
608	24	31	4453
609	25	1	4551
610	25	2	4552
611	25	3	4553
612	25	4	4554
613	25	5	4555
614	25	6	4556
615	25	7	4557
616	25	8	4558
617	25	9	4559
618	25	10	4560
619	25	11	4561
620	25	12	4562
621	25	13	4563
622	25	14	4564
623	25	15	4565
624	25	16	4566
625	25	17	4567
626	25	18	4568
627	25	19	4569
628	25	20	4570
629	25	21	4571
630	25	22	4572
631	25	23	4573
632	25	24	4574
633	25	25	4575
634	25	26	4576
635	25	27	4577
636	25	28	4578
637	25	29	4579
638	25	30	4580
639	25	31	4581
640	26	1	4679
641	26	2	4680
642	26	3	4681
643	26	4	4682
644	26	5	4683
645	26	6	4684
646	26	7	4685
647	26	8	4686
648	26	9	4687
649	26	10	4688
650	26	11	4689
651	26	12	4690
652	26	13	4691
653	26	14	4692
654	26	15	4693
655	26	16	4694
656	26	17	4695
657	26	18	4696
658	26	19	4697
659	26	20	4698
660	26	21	4699
661	26	22	4700
662	26	23	4701
663	26	24	4702
664	26	25	4703
665	26	26	4704
