slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
0	0	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1370	0	2425	1940	1810	130	5735	0	0	0	0	0	0.0	0.0	0.0	0.0
1	2	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2211	1107	9317	1113	984	129	13748	1	8	7532	1665	120	3366.061099796334	744.0907768402676	53.62816409659587	513.7689845795752
2	5	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1296	0	1634	159	30	129	3089	0	0	0	0	0	0.0	0.0	0.0	0.0
3	6	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1120	0	978	161	30	131	2259	0	0	0	0	0	0.0	0.0	0.0	0.0
4	8	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1678	0	8574	159	30	129	10411	0	0	0	0	0	0.0	0.0	0.0	0.0
5	9	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2198	1110	9361	1819	1689	130	14488	1	8	7594	1647	120	3220.4262838210934	698.451684152402	50.889011595803424	489.8597459966869
6	10	0	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1358	0	2315	1919	1790	129	5592	0	0	0	0	0	0.0	0.0	0.0	0.0
7	11	0	0	1	32	16	64	1	6144	1024	0	4096	1024	0	1024	6144	2160	1097	9284	1467	1166	301	14008	1	8	7281	1883	120	3193.4940034266133	825.8960593946316	52.632781267846944	502.4237578526556
8	13	0	4	1	0	0	0	1	0	0	0	3072	0	0	0	3072	1313	0	6405	159	30	129	7877	0	0	0	0	0	0.0	0.0	0.0	0.0
9	14	0	0	1	32	16	64	1	6144	0	1024	7168	1024	1024	0	9216	2166	1108	18270	1936	1805	131	23480	1	16	15064	3086	120	5912.684156729131	1211.268143100511	47.100511073253834	445.24701873935265
10	15	0	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1296	0	2315	1924	1795	129	5535	0	0	0	0	0	0.0	0.0	0.0	0.0
11	17	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2172	1082	9315	1085	956	129	13654	1	8	7568	1627	120	2837.861432547239	610.0952101948147	44.99780284165812	430.9945803427567
12	20	0	2	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1271	0	1598	159	30	129	3028	0	0	0	0	0	0.0	0.0	0.0	0.0
13	21	0	3	1	0	0	0	1	0	0	0	1024	0	0	0	1024	1102	0	970	160	30	130	2232	0	0	0	0	0	0.0	0.0	0.0	0.0
14	23	0	5	1	0	0	0	1	0	0	0	4096	0	0	0	4096	1660	0	8249	159	30	129	10068	0	0	0	0	0	0.0	0.0	0.0	0.0
15	24	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2155	1110	9246	1492	1362	130	14003	1	8	7752	1374	120	2834.4097693351428	502.38377490537744	43.876312218810256	417.099193030065
16	25	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1384	0	2298	1886	1757	129	5568	0	0	0	0	0	0.0	0.0	0.0	0.0
17	26	0	0	1	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2191	1113	9230	1344	1214	130	13878	1	8	7395	1715	120	3273.878080415045	759.2563769995676	53.12581063553826	504.1418071768266
18	28	0	4	1	0	0	0	1	0	0	0	3072	0	0	0	3072	1340	0	6420	160	30	130	7920	0	0	0	0	0	0.0	0.0	0.0	0.0
19	29	0	0	1	32	16	64	1	6144	0	1024	7168	1024	1024	0	9216	2191	1088	18280	2023	1893	130	23582	1	16	15088	3072	120	5896.489186667797	1200.5577135103044	46.89678568399627	443.5654312611314
20	30	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1281	0	2300	1865	1736	129	5446	0	0	0	0	0	0.0	0.0	0.0	0.0
21	32	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2163	1088	9249	1516	1225	291	14016	1	8	7547	1582	120	2756.8949771689495	577.8995433789954	43.83561643835616	416.8493150684931
22	35	0	2	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1378	0	1608	159	30	129	3145	0	0	0	0	0	0.0	0.0	0.0	0.0
23	36	0	3	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1142	0	962	160	30	130	2264	0	0	0	0	0	0.0	0.0	0.0	0.0
24	38	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1718	0	7982	163	30	133	9863	0	0	0	0	0	0.0	0.0	0.0	0.0
25	39	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2190	1040	9431	1542	1410	132	14203	1	8	7600	1635	196	2739.7028796733084	589.396606350771	70.65549531789058	416.1374357530099
26	40	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1420	0	2393	1844	1715	129	5657	0	0	0	0	0	0.0	0.0	0.0	0.0
27	41	0	0	0	32	16	64	1	6144	0	1024	3072	1024	1024	0	5120	2219	1083	9327	1841	1711	130	14470	1	8	7190	2017	120	2544.077401520387	713.6862474084312	42.460262612301314	407.22045611610224
28	43	0	4	1	0	0	0	1	0	1024	0	2048	0	0	0	3072	1302	0	6352	160	30	130	7814	0	0	0	0	0	0.0	0.0	0.0	0.0
29	44	0	0	1	32	16	64	1	6144	1024	0	8192	0	0	0	9216	2201	1111	18195	2059	1930	129	23566	1	16	14704	3371	120	5750.320970890266	1318.3033183399814	46.92862598659085	441.78901807689044
30	45	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1301	0	2403	1858	1729	129	5562	0	0	0	0	0	0.0	0.0	0.0	0.0
31	47	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2234	1107	9345	1118	989	129	13804	1	8	7646	1579	120	3403.1457548536655	702.7945523036801	53.41060562155897	513.2425383946683
32	50	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1277	0	1615	159	30	129	3051	0	0	0	0	0	0.0	0.0	0.0	0.0
