slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
0	0	0	1	0	0	0	0	1	0	0	0	11264	4096	4096	0	15360	1610	0	26279	12386	12270	116	40275	0	0	0	0	0	0.0	0.0	0.0	0.0
1	1	0	0	0	64	128	16	1	6144	1024	0	128000	3072	3072	0	132096	2278	875	319483	6689	6380	309	329325	1	256	191237	128145	101	76707.33394670917	51400.41575950808	40.51224777954908	500.4208972899112
2	4	0	2	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1857	0	2441	417	30	387	4715	0	0	0	0	0	0.0	0.0	0.0	0.0
3	4	256	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1163	0	1514	146	30	116	2823	0	0	0	0	0	0.0	0.0	0.0	0.0
4	4	512	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1734	0	1599	146	30	116	3479	0	0	0	0	0	0.0	0.0	0.0	0.0
5	4	768	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1184	0	1618	148	31	117	2950	0	0	0	0	0	0.0	0.0	0.0	0.0
6	4	1024	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1793	0	1653	146	30	116	3592	0	0	0	0	0	0.0	0.0	0.0	0.0
7	4	1280	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1905	0	1277	148	30	118	3330	0	0	0	0	0	0.0	0.0	0.0	0.0
8	4	1536	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1751	0	1570	149	32	117	3470	0	0	0	0	0	0.0	0.0	0.0	0.0
9	4	1792	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1445	0	1606	146	30	116	3197	0	0	0	0	0	0.0	0.0	0.0	0.0
10	4	2048	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1151	0	1569	149	33	116	2869	0	0	0	0	0	0.0	0.0	0.0	0.0
11	4	2304	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	786	0	1813	147	30	117	2746	0	0	0	0	0	0.0	0.0	0.0	0.0
12	4	2560	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1156	0	1572	146	30	116	2874	0	0	0	0	0	0.0	0.0	0.0	0.0
13	4	2816	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1422	0	1575	148	31	117	3145	0	0	0	0	0	0.0	0.0	0.0	0.0
14	4	3072	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1746	0	1591	146	30	116	3483	0	0	0	0	0	0.0	0.0	0.0	0.0
15	4	3328	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1735	0	1294	148	32	116	3177	0	0	0	0	0	0.0	0.0	0.0	0.0
16	4	3584	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1702	0	1564	146	30	116	3412	0	0	0	0	0	0.0	0.0	0.0	0.0
17	4	3840	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1654	0	1571	150	30	120	3375	0	0	0	0	0	0.0	0.0	0.0	0.0
18	5	0	2	0	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1761	0	1573	378	30	348	3712	0	0	0	0	0	0.0	0.0	0.0	0.0
19	5	256	2	0	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1096	0	1549	149	31	118	2794	0	0	0	0	0	0.0	0.0	0.0	0.0
