runtime_stage	logical_stage	combine	tasks	price_task0_ns	active_ctas_per_sm	pricing
0	0	0	4	2206.65721255	1	derived_access_task_instance
1	1	0	128	2826.86974172	1	derived_access_task_instance
2	1	1	32	74.8578070143	1	whole_stage_divided_by_waves
3	2	0	64	2826.86974172	1	derived_access_task_instance
4	2	1	16	68.3039057747	1	whole_stage_divided_by_waves
5	3	0	64	2826.86974172	1	derived_access_task_instance
6	3	1	16	68.3039057747	1	whole_stage_divided_by_waves
7	4	0	16	859.172515037	1	derived_access_task_instance
8	5	0	8	859.172515037	1	derived_access_task_instance
9	6	0	8	855.967386804	1	derived_access_task_instance
10	7	0	8	855.967386804	1	derived_access_task_instance
11	8	0	16	1323.83666722	1	derived_access_task_instance
12	9	0	128	2826.86974172	1	derived_access_task_instance
13	9	1	32	74.8578070143	1	whole_stage_divided_by_waves
14	10	0	4	2206.65721255	1	derived_access_task_instance
15	11	0	256	2826.86974172	1	derived_access_task_instance
16	11	1	64	87.9656094936	1	whole_stage_divided_by_waves
17	12	0	256	2826.86974172	1	derived_access_task_instance
18	12	1	64	87.9656094936	1	whole_stage_divided_by_waves
19	13	0	4	1041.8648243	1	derived_access_task_instance
20	14	0	128	3500.14284345	1	derived_access_task_instance
21	14	1	32	74.8578070143	1	whole_stage_divided_by_waves
22	15	0	4	2206.65721255	1	derived_access_task_instance
23	16	0	128	2826.86974172	1	derived_access_task_instance
24	16	1	32	74.8578070143	1	whole_stage_divided_by_waves
25	17	0	64	2826.86974172	1	derived_access_task_instance
26	17	1	16	68.3039057747	1	whole_stage_divided_by_waves
27	18	0	64	2826.86974172	1	derived_access_task_instance
28	18	1	16	68.3039057747	1	whole_stage_divided_by_waves
29	19	0	16	859.172515037	1	derived_access_task_instance
30	20	0	8	859.172515037	1	derived_access_task_instance
31	21	0	8	855.967386804	1	derived_access_task_instance
32	22	0	8	855.967386804	1	derived_access_task_instance
33	23	0	16	1323.83666722	1	derived_access_task_instance
34	24	0	128	2826.86974172	1	derived_access_task_instance
35	24	1	32	74.8578070143	1	whole_stage_divided_by_waves
36	25	0	4	2206.65721255	1	derived_access_task_instance
37	26	0	256	2826.86974172	1	derived_access_task_instance
38	26	1	64	87.9656094936	1	whole_stage_divided_by_waves
39	27	0	256	2826.86974172	1	derived_access_task_instance
40	27	1	64	87.9656094936	1	whole_stage_divided_by_waves
41	28	0	4	1041.8648243	1	derived_access_task_instance
42	29	0	128	3500.14284345	1	derived_access_task_instance
43	29	1	32	74.8578070143	1	whole_stage_divided_by_waves
