dtype	model	ownership	seq	past	stage	op	tasks	read_elements	write_elements	depth	barriers	old_ns	new_ns	ratio
bf16	mha4	element	512	512	0	l0.s00.norm	512	524288	262144	3	8	1624.810436281552	3818.4695927225239	2.3501015918270776
bf16	mha4	element	512	512	4	l0.s04.rope	1024	327680	262144	2	0	1316.8580015839191	1512.4202124227586	1.1485066807534425
bf16	mha4	element	512	512	5	l0.s05.rope	1024	327680	262144	2	0	1316.8580015839191	1512.4202124227586	1.1485066807534425
bf16	mha4	element	512	512	6	l0.s06.append	2048	524288	524288	2	0	2127.9595897877011	2890.9989642456744	1.3585779439233143
bf16	mha4	element	512	512	7	l0.s07.append	2048	524288	524288	2	0	2127.9595897877011	2890.9989642456744	1.3585779439233143
bf16	mha4	element	512	512	8	l0.s08.attn	2048	470155264	262144	3	2	426617.12902579003	493736.85101275216	1.1573301150383593
bf16	mha4	element	512	512	10	l0.s10.norm	512	524288	262144	3	8	1624.810436281552	3818.4695927225239	2.3501015918270776
bf16	mha4	element	512	512	13	l0.s13.act	4096	1048576	524288	2	0	4761.6755929555384	5144.0679826450487	1.0803062666123717
bf16	mha4	element	512	512	15	l1.s15.norm	512	524288	262144	3	8	1624.810436281552	3818.4695927225239	2.3501015918270776
bf16	mha4	element	512	512	19	l1.s19.rope	1024	327680	262144	2	0	1316.8580015839191	1512.4202124227586	1.1485066807534425
bf16	mha4	element	512	512	20	l1.s20.rope	1024	327680	262144	2	0	1316.8580015839191	1512.4202124227586	1.1485066807534425
bf16	mha4	element	512	512	21	l1.s21.append	2048	524288	524288	2	0	2127.9595897877011	2890.9989642456744	1.3585779439233143
bf16	mha4	element	512	512	22	l1.s22.append	2048	524288	524288	2	0	2127.9595897877011	2890.9989642456744	1.3585779439233143
bf16	mha4	element	512	512	23	l1.s23.attn	2048	470155264	262144	3	2	426617.12902579003	493736.85101275216	1.1573301150383593
bf16	mha4	element	512	512	25	l1.s25.norm	512	524288	262144	3	8	1624.810436281552	3818.4695927225239	2.3501015918270776
bf16	mha4	element	512	512	28	l1.s28.act	4096	1048576	524288	2	0	4761.6755929555384	5144.0679826450487	1.0803062666123717
bf16	mha4	element	512	512	30	l2.s30.norm	512	524288	262144	3	8	1624.810436281552	3818.4695927225239	2.3501015918270776
bf16	mha4	element	512	512	34	l2.s34.rope	1024	327680	262144	2	0	1316.8580015839191	1512.4202124227586	1.1485066807534425
bf16	mha4	element	512	512	35	l2.s35.rope	1024	327680	262144	2	0	1316.8580015839191	1512.4202124227586	1.1485066807534425
bf16	mha4	element	512	512	36	l2.s36.append	2048	524288	524288	2	0	2127.9595897877011	2890.9989642456744	1.3585779439233143
bf16	mha4	element	512	512	37	l2.s37.append	2048	524288	524288	2	0	2127.9595897877011	2890.9989642456744	1.3585779439233143
bf16	mha4	element	512	512	38	l2.s38.attn	2048	470155264	262144	3	2	426617.12902579003	493736.85101275216	1.1573301150383593
bf16	mha4	element	512	512	40	l2.s40.norm	512	524288	262144	3	8	1624.810436281552	3818.4695927225239	2.3501015918270776
bf16	mha4	element	512	512	43	l2.s43.act	4096	1048576	524288	2	0	4761.6755929555384	5144.0679826450487	1.0803062666123717
bf16	mha4	element	512	512	45	l3.s45.norm	512	524288	262144	3	8	1624.810436281552	3818.4695927225239	2.3501015918270776
bf16	mha4	element	512	512	49	l3.s49.rope	1024	327680	262144	2	0	1316.8580015839191	1512.4202124227586	1.1485066807534425
bf16	mha4	element	512	512	50	l3.s50.rope	1024	327680	262144	2	0	1316.8580015839191	1512.4202124227586	1.1485066807534425
bf16	mha4	element	512	512	51	l3.s51.append	2048	524288	524288	2	0	2127.9595897877011	2890.9989642456744	1.3585779439233143
bf16	mha4	element	512	512	52	l3.s52.append	2048	524288	524288	2	0	2127.9595897877011	2890.9989642456744	1.3585779439233143
bf16	mha4	element	512	512	53	l3.s53.attn	2048	470155264	262144	3	2	426617.12902579003	493736.85101275216	1.1573301150383593
bf16	mha4	element	512	512	55	l3.s55.norm	512	524288	262144	3	8	1624.810436281552	3818.4695927225239	2.3501015918270776
bf16	mha4	element	512	512	58	l3.s58.act	4096	1048576	524288	2	0	4761.6755929555384	5144.0679826450487	1.0803062666123717
bf16	mha4	tile	512	512	0	l0.s00.norm	512	524288	262144	3	8	1624.810436281552	3818.4695927225239	2.3501015918270776
bf16	mha4	tile	512	512	4	l0.s04.rope	2048	393216	262144	2	0	1316.8580015839191	2438.1925307226807	1.8515227365365274
