model	kappa	seq	polls	relaxed_kall	narrowing
gqa2	1	4	1476	1512	1.0244x
gqa2	1	512	146956	146992	1.0002x
gqa2	2	4	744	756	1.0161x
gqa2	2	512	73484	73496	1.0002x
gqa2	4	4	388	388	1.0000x
gqa2	4	512	37004	37004	1.0000x
gqa2	8	4	292	292	1.0000x
gqa2	8	512	19084	19084	1.0000x
gqa2	16	4	276	276	1.0000x
gqa2	16	512	10380	10380	1.0000x
gqa2	32	4	276	276	1.0000x
gqa2	32	512	6028	6028	1.0000x
gqa2_kall	1	4	1512	1512	1.0000x
gqa2_kall	1	512	146992	146992	1.0000x
gqa2_kall	2	4	756	756	1.0000x
gqa2_kall	2	512	73496	73496	1.0000x
gqa2_kall	4	4	388	388	1.0000x
gqa2_kall	4	512	37004	37004	1.0000x
gqa2_kall	8	4	292	292	1.0000x
gqa2_kall	8	512	19084	19084	1.0000x
gqa2_kall	16	4	276	276	1.0000x
gqa2_kall	16	512	10380	10380	1.0000x
gqa2_kall	32	4	276	276	1.0000x
gqa2_kall	32	512	6028	6028	1.0000x
mha4	1	4	3788	3872	1.0222x
mha4	1	512	298524	298608	1.0003x
mha4	2	4	1908	1936	1.0147x
mha4	2	512	149276	149304	1.0002x
mha4	4	4	968	968	1.0000x
mha4	4	512	74652	74652	1.0000x
mha4	8	4	648	648	1.0000x
mha4	8	512	38556	38556	1.0000x
mha4	16	4	616	616	1.0000x
mha4	16	512	21020	21020	1.0000x
mha4	32	4	616	616	1.0000x
mha4	32	512	12252	12252	1.0000x
mha4_kall	1	4	3872	3872	1.0000x
mha4_kall	1	512	298608	298608	1.0000x
mha4_kall	2	4	1936	1936	1.0000x
mha4_kall	2	512	149304	149304	1.0000x
mha4_kall	4	4	968	968	1.0000x
mha4_kall	4	512	74652	74652	1.0000x
mha4_kall	8	4	648	648	1.0000x
mha4_kall	8	512	38556	38556	1.0000x
mha4_kall	16	4	616	616	1.0000x
mha4_kall	16	512	21020	21020	1.0000x
mha4_kall	32	4	616	616	1.0000x
mha4_kall	32	512	12252	12252	1.0000x
