candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
32x16x16s2split1kappa1	1367545.4197375199	207199.58948410212	280666.71980252047	1367545.4197375199
32x16x16s2split1kappa2	1367545.4197375199	207199.58948410212	280666.71980252047	1367545.4197375199
32x16x16s2split1kappa4	1367545.4197375199	207199.58948410212	280666.71980252047	1367545.4197375199
32x16x16s2split2kappa1	1457134.5132265121	133079.71958700987	274617.47511942679	1457134.5132265121
32x16x16s2split2kappa2	1457134.5132265121	133079.71958700987	274617.47511942679	1457134.5132265121
32x16x16s2split2kappa4	1457134.5132265121	133079.71958700987	274617.47511942679	1457134.5132265121
32x16x16s2split4kappa1	1585250.364543149	95204.906303960859	290975.22253780178	1585250.364543149
32x16x16s2split4kappa2	1585250.364543149	95204.906303960859	290975.22253780178	1585250.364543149
32x16x16s2split4kappa4	1585250.364543149	95204.906303960859	290975.22253780178	1585250.364543149
32x16x16s2split8kappa1	1841482.0671656763	76367.753306987433	344815.13853758445	1841482.0671656763
32x16x16s2split8kappa2	1841482.0671656763	76367.753306987433	344815.13853758445	1841482.0671656763
32x16x16s2split8kappa4	1841482.0671656763	76367.753306987433	344815.13853758445	1841482.0671656763
32x16x16s2split16kappa1	2353945.472457997	67149.684097602862	447970.02083177835	2353945.472457997
32x16x16s2split16kappa2	2353945.472457997	67149.684097602862	447970.02083177835	2353945.472457997
32x16x16s2split16kappa4	2353945.472457997	67149.684097602862	447970.02083177835	2353945.472457997
32x16x16s2split32kappa1	3378872.2829238959	62941.664071114923	661176.08819091786	3378872.2829238959
32x16x16s2split32kappa2	3378872.2829238959	62941.664071114923	661176.08819091786	3378872.2829238959
32x16x16s2split32kappa4	3378872.2829238959	62941.664071114923	661176.08819091786	3378872.2829238959
32x16x32s2split1kappa1	748406.59743657568	134748.1777017256	153876.74918336162	748406.59743657568
32x16x32s2split1kappa2	748406.59743657568	134748.1777017256	153876.74918336162	748406.59743657568
32x16x32s2split1kappa4	748406.59743657568	134748.1777017256	153876.74918336162	748406.59743657568
32x16x32s2split2kappa1	837995.69092131639	96854.013695821603	156883.930973065	837995.69092131639
32x16x32s2split2kappa2	837995.69092131639	96854.013695821603	156883.930973065	837995.69092131639
32x16x32s2split2kappa4	837995.69092131639	96854.013695821603	156883.930973065	837995.69092131639
32x16x32s2split4kappa1	966111.54223482229	77092.053358366727	177769.89162783849	966111.54223482229
32x16x32s2split4kappa2	966111.54223482229	77092.053358366727	177769.89162783849	966111.54223482229
32x16x32s2split4kappa4	966111.54223482229	77092.053358366727	177769.89162783849	966111.54223482229
32x16x32s2split8kappa1	1222343.2448569743	67311.326834190331	231609.80762762119	1222343.2448569743
32x16x32s2split8kappa2	1222343.2448569743	67311.326834190331	231609.80762762119	1222343.2448569743
32x16x32s2split8kappa4	1222343.2448569743	67311.326834190331	231609.80762762119	1222343.2448569743
32x16x32s2split16kappa1	1734806.6500876045	62621.470861204318	335896.74323091476	1734806.6500876045
32x16x32s2split16kappa2	1734806.6500876045	62621.470861204318	335896.74323091476	1734806.6500876045
32x16x32s2split16kappa4	1734806.6500876045	62621.470861204318	335896.74323091476	1734806.6500876045
32x16x32s2split32kappa1	2759733.4606259852	60677.557452915651	549102.81059005426	2759733.4606259852
32x16x32s2split32kappa2	2759733.4606259852	60677.557452915651	549102.81059005426	2759733.4606259852
32x16x32s2split32kappa4	2759733.4606259852	60677.557452915651	549102.81059005426	2759733.4606259852
32x16x64s2split1kappa1	617054.8386907297	119377.4401249536	126977.95842401058	617054.8386907297
32x16x64s2split1kappa2	617054.8386907297	119377.4401249536	126977.95842401058	617054.8386907297
32x16x64s2split1kappa4	617054.8386907297	119377.4401249536	126977.95842401058	617054.8386907297
32x16x64s2split2kappa1	706643.9321771618	89168.644907435591	131906.48241081048	706643.9321771618
32x16x64s2split2kappa2	706643.9321771618	89168.644907435591	131906.48241081048	706643.9321771618
32x16x64s2split2kappa4	706643.9321771618	89168.644907435591	131906.48241081048	706643.9321771618
32x16x64s2split4kappa1	834759.78349106398	73249.3689641737	153753.11416413219	834759.78349106398
32x16x64s2split4kappa2	834759.78349106398	73249.3689641737	153753.11416413219	834759.78349106398
32x16x64s2split4kappa4	834759.78349106398	73249.3689641737	153753.11416413219	834759.78349106398
32x16x64s2split8kappa1	1090991.4861284555	65389.984637093832	207593.0301639149	1090991.4861284555
32x16x64s2split8kappa2	1090991.4861284555	65389.984637093832	207593.0301639149	1090991.4861284555
32x16x64s2split8kappa4	1090991.4861284555	65389.984637093832	207593.0301639149	1090991.4861284555
32x16x64s2split16kappa1	1603454.8913781384	61660.799762656061	312120.13354184554	1603454.8913781384
32x16x64s2split16kappa2	1603454.8913781384	61660.799762656061	312120.13354184554	1603454.8913781384
32x16x64s2split16kappa4	1603454.8913781384	61660.799762656061	312120.13354184554	1603454.8913781384
32x16x64s2split32kappa1	2628381.7019674913	60197.221903641519	525326.20090098516	2628381.7019674913
32x16x64s2split32kappa2	2628381.7019674913	60197.221903641519	525326.20090098516	2628381.7019674913
32x16x64s2split32kappa4	2628381.7019674913	60197.221903641519	525326.20090098516	2628381.7019674913
64x128x16s2split1kappa1	293460.30739522574	326789.85967134684	196334.78282214396	326789.85967134684
64x128x16s2split1kappa2	293460.30739522574	326789.85967134684	196334.78282214396	326789.85967134684
64x128x16s2split1kappa4	293460.30739522574	326789.85967134684	196334.78282214396	326789.85967134684
64x128x16s2split2kappa1	314482.80689271272	201294.07893785776	100418.11258436846	314482.80689271272
64x128x16s2split2kappa2	314482.80689271272	201294.07893785776	100418.11258436846	314482.80689271272
64x128x16s2split2kappa4	314482.80689271272	201294.07893785776	100418.11258436846	314482.80689271272
64x128x16s2split4kappa1	348684.87761710008	137884.31821694653	81950.216211555424	348684.87761710008
64x128x16s2split4kappa2	348684.87761710008	137884.31821694653	81950.216211555424	348684.87761710008
64x128x16s2split4kappa4	348684.87761710008	137884.31821694653	81950.216211555424	348684.87761710008
64x128x16s2split8kappa1	417089.01906595466	106981.46701289972	87461.487398186291	417089.01906595466
64x128x16s2split8kappa2	417089.01906595466	106981.46701289972	87461.487398186291	417089.01906595466
64x128x16s2split8kappa4	417089.01906595466	106981.46701289972	87461.487398186291	417089.01906595466
64x128x16s2split16kappa1	553897.30196362641	93134.099723693726	110473.61355116992	553897.30196362641
64x128x16s2split16kappa2	553897.30196362641	93134.099723693726	110473.61355116992	553897.30196362641
64x128x16s2split16kappa4	553897.30196362641	93134.099723693726	110473.61355116992	553897.30196362641
64x128x16s2split32kappa1	827513.86775890051	89418.53270472541	162492.65774699819	827513.86775890051
