model	interval	seq	arm	segment	rounds	passing	binary_sha256
gqa2	1..16	1	segmented	0	50	50	632ba5073543a6c4db773a349f3706b62620c0305558cf8864567e1d576874f1
gqa2	1..16	1	fixed	0	50	50	f254ff53eeef2c8c02a3dcf0564556d0d96ed1b6f273f811551eac811f9e1101
gqa2	1..16	4	segmented	0	50	50	632ba5073543a6c4db773a349f3706b62620c0305558cf8864567e1d576874f1
gqa2	1..16	4	fixed	0	50	50	f254ff53eeef2c8c02a3dcf0564556d0d96ed1b6f273f811551eac811f9e1101
gqa2	1..16	13	segmented	0	50	50	632ba5073543a6c4db773a349f3706b62620c0305558cf8864567e1d576874f1
gqa2	1..16	13	fixed	0	50	50	f254ff53eeef2c8c02a3dcf0564556d0d96ed1b6f273f811551eac811f9e1101
gqa2	1..16	14	segmented	1	50	50	632ba5073543a6c4db773a349f3706b62620c0305558cf8864567e1d576874f1
gqa2	1..16	14	fixed	1	50	50	f254ff53eeef2c8c02a3dcf0564556d0d96ed1b6f273f811551eac811f9e1101
gqa2	1..16	16	segmented	1	50	50	632ba5073543a6c4db773a349f3706b62620c0305558cf8864567e1d576874f1
gqa2	1..16	16	fixed	1	50	50	f254ff53eeef2c8c02a3dcf0564556d0d96ed1b6f273f811551eac811f9e1101
mha4	1..16	1	segmented	0	50	50	14cb03bd16da7e16e39a4449e737d06f2d1170fe64dd376c690e448fa6fa5fca
mha4	1..16	1	fixed	0	50	50	0e45849dc946412a680e9da65a6f2bc44c03b65a87ffdfff5e10480f58c5f2f3
mha4	1..16	4	segmented	0	50	50	14cb03bd16da7e16e39a4449e737d06f2d1170fe64dd376c690e448fa6fa5fca
mha4	1..16	4	fixed	0	50	50	0e45849dc946412a680e9da65a6f2bc44c03b65a87ffdfff5e10480f58c5f2f3
mha4	1..16	13	segmented	0	50	50	14cb03bd16da7e16e39a4449e737d06f2d1170fe64dd376c690e448fa6fa5fca
mha4	1..16	13	fixed	0	50	50	0e45849dc946412a680e9da65a6f2bc44c03b65a87ffdfff5e10480f58c5f2f3
mha4	1..16	14	segmented	1	50	50	14cb03bd16da7e16e39a4449e737d06f2d1170fe64dd376c690e448fa6fa5fca
mha4	1..16	14	fixed	1	50	50	0e45849dc946412a680e9da65a6f2bc44c03b65a87ffdfff5e10480f58c5f2f3
mha4	1..16	16	segmented	1	50	50	14cb03bd16da7e16e39a4449e737d06f2d1170fe64dd376c690e448fa6fa5fca
mha4	1..16	16	fixed	1	50	50	0e45849dc946412a680e9da65a6f2bc44c03b65a87ffdfff5e10480f58c5f2f3
