segment	geometry	seq	nodes	grid	total	bijective	dense	acyclic	resident	status
0	32x16x64s2split16	1	5154	512	1	1	1	1	1	PASS
0	32x16x64s2split16	2	5188	512	1	1	1	1	1	PASS
0	32x16x64s2split16	3	5222	512	1	1	1	1	1	PASS
0	32x16x64s2split16	4	5256	512	1	1	1	1	1	PASS
0	32x16x64s2split16	5	5290	512	1	1	1	1	1	PASS
0	32x16x64s2split16	6	5324	512	1	1	1	1	1	PASS
0	32x16x64s2split16	7	5358	512	1	1	1	1	1	PASS
0	32x16x64s2split16	8	5392	512	1	1	1	1	1	PASS
0	32x16x64s2split16	9	5426	512	1	1	1	1	1	PASS
0	32x16x64s2split16	10	5460	512	1	1	1	1	1	PASS
0	32x16x64s2split16	11	5494	512	1	1	1	1	1	PASS
0	32x16x64s2split16	12	5528	512	1	1	1	1	1	PASS
0	32x16x64s2split16	13	5562	512	1	1	1	1	1	PASS
1	32x16x64s2split8	14	5084	512	1	1	1	1	1	PASS
1	32x16x64s2split8	15	5118	512	1	1	1	1	1	PASS
1	32x16x64s2split8	16	5152	512	1	1	1	1	1	PASS
