candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
32x16x16s2split1kappa1	21122.434396406596	132289.15611773854	21124.421163032832	132289.15611773854
32x16x16s2split1kappa2	21122.434396406596	132289.15611773854	21124.421163032832	132289.15611773854
32x16x16s2split1kappa4	21122.434396406596	132289.15611773854	21124.421163032832	132289.15611773854
32x16x16s2split2kappa1	25323.220621787856	92889.32109420812	11639.00890151207	92889.32109420812
32x16x16s2split2kappa2	25323.220621787856	92889.32109420812	11639.00890151207	92889.32109420812
32x16x16s2split2kappa4	25323.220621787856	92889.32109420812	11639.00890151207	92889.32109420812
32x16x16s2split4kappa1	31202.89713302048	69996.30326798161	6896.3027707516894	69996.30326798161
32x16x16s2split4kappa2	31202.89713302048	69996.30326798161	6896.3027707516894	69996.30326798161
32x16x16s2split4kappa4	31202.89713302048	69996.30326798161	6896.3027707516894	69996.30326798161
32x16x16s2split8kappa1	42962.250155510228	59780.56359623147	6678.5463453628072	59780.56359623147
32x16x16s2split8kappa2	42962.250155510228	59780.56359623147	6678.5463453628072	59780.56359623147
32x16x16s2split8kappa4	42962.250155510228	59780.56359623147	6678.5463453628072	59780.56359623147
32x16x16s2split16kappa1	66480.956200428234	57134.232243082595	8239.3047190090692	66480.956200428234
32x16x16s2split16kappa2	66480.956200428234	57134.232243082595	8239.3047190090692	66480.956200428234
32x16x16s2split16kappa4	66480.956200428234	57134.232243082595	8239.3047190090692	66480.956200428234
32x16x16s2split32kappa1	113518.36829041374	60734.143531960581	14700.094638982995	113518.36829041374
32x16x16s2split32kappa2	113518.36829041374	60734.143531960581	14700.094638982995	113518.36829041374
32x16x16s2split32kappa4	113518.36829041374	60734.143531960581	14700.094638982995	113518.36829041374
32x16x32s2split1kappa1	14330.114541808885	87007.023753753223	12067.99469023577	87007.023753753223
32x16x32s2split1kappa2	14330.114541808885	87007.023753753223	12067.99469023577	87007.023753753223
32x16x32s2split1kappa4	14330.114541808885	87007.023753753223	12067.99469023577	87007.023753753223
32x16x32s2split2kappa1	18530.90076719096	70248.254912215474	7110.7956651135391	70248.254912215474
32x16x32s2split2kappa2	18530.90076719096	70248.254912215474	7110.7956651135391	70248.254912215474
32x16x32s2split2kappa4	18530.90076719096	70248.254912215474	7110.7956651135391	70248.254912215474
32x16x32s2split4kappa1	24410.577278429042	58675.770176985294	4632.1961525524239	58675.770176985294
32x16x32s2split4kappa2	24410.577278429042	58675.770176985294	4632.1961525524239	58675.770176985294
32x16x32s2split4kappa4	24410.577278429042	58675.770176985294	4632.1961525524239	58675.770176985294
32x16x32s2split8kappa1	36169.930300915628	54120.297050733308	5546.4930362631749	54120.297050733308
32x16x32s2split8kappa2	36169.930300915628	54120.297050733308	5546.4930362631749	54120.297050733308
32x16x32s2split8kappa4	36169.930300915628	54120.297050733308	5546.4930362631749	54120.297050733308
32x16x32s2split16kappa1	59688.636345891784	54304.098970333514	7390.2647371843441	59688.636345891784
32x16x32s2split16kappa2	59688.636345891784	54304.098970333514	7390.2647371843441	59688.636345891784
32x16x32s2split16kappa4	59688.636345891784	54304.098970333514	7390.2647371843441	59688.636345891784
32x16x32s2split32kappa1	65568.312857130426	55325.474747344051	7390.2647371843441	65568.312857130426
32x16x32s2split32kappa2	65568.312857130426	55325.474747344051	7390.2647371843441	65568.312857130426
32x16x32s2split32kappa4	65568.312857130426	55325.474747344051	7390.2647371843441	65568.312857130426
32x16x64s2split1kappa1	10933.954614509426	64365.957571760591	7539.7814538372404	64365.957571760591
32x16x64s2split1kappa2	10933.954614509426	64365.957571760591	7539.7814538372404	64365.957571760591
32x16x64s2split1kappa4	10933.954614509426	64365.957571760591	7539.7814538372404	64365.957571760591
32x16x64s2split2kappa1	15134.740839889635	58927.721821219151	4846.6890469142745	58927.721821219151
32x16x64s2split2kappa2	15134.740839889635	58927.721821219151	4846.6890469142745	58927.721821219151
32x16x64s2split2kappa4	15134.740839889635	58927.721821219151	4846.6890469142745	58927.721821219151
32x16x64s2split4kappa1	21014.417351133325	53015.503631487132	3500.1428434527916	53015.503631487132
32x16x64s2split4kappa2	21014.417351133325	53015.503631487132	3500.1428434527916	53015.503631487132
32x16x64s2split4kappa4	21014.417351133325	53015.503631487132	3500.1428434527916	53015.503631487132
32x16x64s2split8kappa1	32773.770373610758	51290.163777984242	4980.4663817133587	51290.163777984242
32x16x64s2split8kappa2	32773.770373610758	51290.163777984242	4980.4663817133587	51290.163777984242
