seq	past	kappa	stages	task_refs	waits	max_worker_tasks	event_ns	delta_from_k0_ns
1	3	0	30	98	100	30	86111.555272091951	0
4	3	0	30	200	244	30	86613.937611294285	0
16	3	0	30	608	856	30	88642.355311005944	0
128	3	0	30	4416	4520	34	106499.71700098175	0
512	3	0	30	17664	5536	82	162470.33862621032	0
2048	3	0	30	70656	6016	286	384472.38565595855	0
1	3	1	30	98	119	30	86121.524119734851	9.968847642900073
4	3	1	30	200	500	30	86748.254716377574	134.31710508328979
16	3	1	30	608	2156	30	89324.43436025703	682.07904925108596
128	3	1	30	4416	16292	34	112676.20513004619	6176.4881290644407
512	3	1	30	17664	59172	82	190611.87084592663	28141.532219716319
2048	3	1	30	70656	230532	286	502270.58551877132	117798.19986281276
1	3	2	30	98	123	30	86123.622824501785	12.067552409833297
4	3	2	30	200	392	30	86691.589687670566	77.652076376281912
16	3	2	30	608	1568	30	89015.92475951885	373.56944851290609
128	3	2	30	4416	11008	34	109903.81613293639	3404.0991319546447
512	3	2	30	17664	37144	82	179054.30369446287	16583.965068252553
2048	3	2	30	70656	141664	286	455643.66171196708	71171.27605600853
