model	seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks	archive_processes	comparison
gqa2	1	0	1	1	30	98	119	30	51	EXACT_RUNTIME_MATCH
gqa2	1	3	1	1	30	98	119	30	51	EXACT_RUNTIME_MATCH
gqa2	1	512	1	1	30	98	119	30	51	EXACT_RUNTIME_MATCH
gqa2	4	0	1	1	30	200	500	30	51	EXACT_RUNTIME_MATCH
gqa2	4	3	1	1	30	200	500	30	51	EXACT_RUNTIME_MATCH
gqa2	4	512	1	1	30	200	500	30	51	EXACT_RUNTIME_MATCH
gqa2	128	0	1	1	30	4416	16292	34	51	EXACT_RUNTIME_MATCH
gqa2	128	3	1	1	30	4416	16292	34	51	EXACT_RUNTIME_MATCH
gqa2	128	512	1	1	30	4416	16292	34	51	EXACT_RUNTIME_MATCH
gqa2	512	0	1	1	30	17664	59172	82	51	EXACT_RUNTIME_MATCH
gqa2	512	3	1	1	30	17664	59172	82	51	EXACT_RUNTIME_MATCH
gqa2	512	512	1	1	30	17664	59172	82	51	EXACT_RUNTIME_MATCH
gqa2	2048	0	1	1	30	70656	230532	286	51	EXACT_RUNTIME_MATCH
gqa2	2048	3	1	1	30	70656	230532	286	51	EXACT_RUNTIME_MATCH
gqa2	2048	512	1	1	30	70656	230532	286	51	EXACT_RUNTIME_MATCH
gqa2	1	0	2	1	44	226	257	44	1	EXACT_RUNTIME_MATCH
gqa2	1	3	2	1	44	226	257	44	1	EXACT_RUNTIME_MATCH
gqa2	1	512	2	1	44	226	257	44	1	EXACT_RUNTIME_MATCH
gqa2	4	0	2	1	44	328	638	44	1	EXACT_RUNTIME_MATCH
gqa2	4	3	2	1	44	328	638	44	1	EXACT_RUNTIME_MATCH
gqa2	4	512	2	1	44	328	638	44	1	EXACT_RUNTIME_MATCH
gqa2	128	0	2	1	44	4544	16406	48	1	EXACT_RUNTIME_MATCH
gqa2	128	3	2	1	44	4544	16406	48	1	EXACT_RUNTIME_MATCH
gqa2	128	512	2	1	44	4544	16406	48	1	EXACT_RUNTIME_MATCH
gqa2	512	0	2	1	44	18176	61266	96	1	EXACT_RUNTIME_MATCH
gqa2	512	3	2	1	44	18176	61266	96	1	EXACT_RUNTIME_MATCH
gqa2	512	512	2	1	44	18176	61266	96	1	EXACT_RUNTIME_MATCH
gqa2	2048	0	2	1	44	72704	240474	300	1	EXACT_RUNTIME_MATCH
gqa2	2048	3	2	1	44	72704	240474	300	1	EXACT_RUNTIME_MATCH
gqa2	2048	512	2	1	44	72704	240474	300	1	EXACT_RUNTIME_MATCH
gqa2	1	0	4	1	44	354	465	44	1	EXACT_RUNTIME_MATCH
gqa2	1	3	4	1	44	354	465	44	1	EXACT_RUNTIME_MATCH
gqa2	1	512	4	1	44	354	465	44	1	EXACT_RUNTIME_MATCH
gqa2	4	0	4	1	44	456	1038	44	1	EXACT_RUNTIME_MATCH
gqa2	4	3	4	1	44	456	1038	44	1	EXACT_RUNTIME_MATCH
gqa2	4	512	4	1	44	456	1038	44	1	EXACT_RUNTIME_MATCH
gqa2	128	0	4	1	44	4672	24678	48	1	EXACT_RUNTIME_MATCH
gqa2	128	3	4	1	44	4672	24678	48	1	EXACT_RUNTIME_MATCH
gqa2	128	512	4	1	44	4672	24678	48	1	EXACT_RUNTIME_MATCH
gqa2	512	0	4	1	44	18688	97546	96	1	EXACT_RUNTIME_MATCH
gqa2	512	3	4	1	44	18688	97546	96	1	EXACT_RUNTIME_MATCH
gqa2	512	512	4	1	44	18688	97546	96	1	EXACT_RUNTIME_MATCH
gqa2	2048	0	4	1	44	74752	388638	304	1	EXACT_RUNTIME_MATCH
gqa2	2048	3	4	1	44	74752	388638	304	1	EXACT_RUNTIME_MATCH
gqa2	2048	512	4	1	44	74752	388638	304	1	EXACT_RUNTIME_MATCH
gqa2	1	0	8	1	44	610	881	44	1	EXACT_RUNTIME_MATCH
gqa2	1	3	8	1	44	610	881	44	1	EXACT_RUNTIME_MATCH
gqa2	1	512	8	1	44	610	881	44	1	EXACT_RUNTIME_MATCH
gqa2	4	0	8	1	44	712	1838	44	1	EXACT_RUNTIME_MATCH
gqa2	4	3	8	1	44	712	1838	44	1	EXACT_RUNTIME_MATCH
gqa2	4	512	8	1	44	712	1838	44	1	EXACT_RUNTIME_MATCH
gqa2	128	0	8	1	44	4928	41222	48	1	EXACT_RUNTIME_MATCH
gqa2	128	3	8	1	44	4928	41222	48	1	EXACT_RUNTIME_MATCH
gqa2	128	512	8	1	44	4928	41222	48	1	EXACT_RUNTIME_MATCH
gqa2	512	0	8	1	44	19712	170106	96	1	EXACT_RUNTIME_MATCH
gqa2	512	3	8	1	44	19712	170106	96	1	EXACT_RUNTIME_MATCH
gqa2	512	512	8	1	44	19712	170106	96	1	EXACT_RUNTIME_MATCH
gqa2	2048	0	8	1	44	78848	680384	318	1	EXACT_RUNTIME_MATCH
gqa2	2048	3	8	1	44	78848	680384	318	1	EXACT_RUNTIME_MATCH
gqa2	2048	512	8	1	44	78848	680384	318	1	EXACT_RUNTIME_MATCH
gqa2	1	0	16	1	44	1122	1713	44	1	EXACT_RUNTIME_MATCH
gqa2	1	3	16	1	44	1122	1713	44	1	EXACT_RUNTIME_MATCH
gqa2	1	512	16	1	44	1122	1713	44	1	EXACT_RUNTIME_MATCH
gqa2	4	0	16	1	44	1224	3438	44	1	EXACT_RUNTIME_MATCH
gqa2	4	3	16	1	44	1224	3438	44	1	EXACT_RUNTIME_MATCH
gqa2	4	512	16	1	44	1224	3438	44	1	EXACT_RUNTIME_MATCH
gqa2	128	0	16	1	44	5440	74310	48	1	EXACT_RUNTIME_MATCH
gqa2	128	3	16	1	44	5440	74310	48	1	EXACT_RUNTIME_MATCH
gqa2	128	512	16	1	44	5440	74310	48	1	EXACT_RUNTIME_MATCH
gqa2	512	0	16	1	44	21760	314710	100	1	EXACT_RUNTIME_MATCH
gqa2	512	3	16	1	44	21760	314710	100	1	EXACT_RUNTIME_MATCH
gqa2	512	512	16	1	44	21760	314710	100	1	EXACT_RUNTIME_MATCH
gqa2	2048	0	16	1	44	87040	1249632	350	1	EXACT_RUNTIME_MATCH
gqa2	2048	3	16	1	44	87040	1249632	350	1	EXACT_RUNTIME_MATCH
gqa2	2048	512	16	1	44	87040	1249632	350	1	EXACT_RUNTIME_MATCH
mha4	1	0	1	1	60	236	257	60	51	EXACT_RUNTIME_MATCH
mha4	1	3	1	1	60	236	257	60	51	EXACT_RUNTIME_MATCH
mha4	1	512	1	1	60	236	257	60	51	EXACT_RUNTIME_MATCH
mha4	4	0	1	1	60	512	1076	60	51	EXACT_RUNTIME_MATCH
mha4	4	3	1	1	60	512	1076	60	51	EXACT_RUNTIME_MATCH
mha4	4	512	1	1	60	512	1076	60	51	EXACT_RUNTIME_MATCH
mha4	128	0	1	1	60	11920	33092	80	51	EXACT_RUNTIME_MATCH
mha4	128	3	1	1	60	11920	33092	80	51	EXACT_RUNTIME_MATCH
mha4	128	512	1	1	60	11920	33092	80	51	EXACT_RUNTIME_MATCH
mha4	512	0	1	1	60	47680	117320	212	51	EXACT_RUNTIME_MATCH
mha4	512	3	1	1	60	47680	117320	212	51	EXACT_RUNTIME_MATCH
mha4	512	512	1	1	60	47680	117320	212	51	EXACT_RUNTIME_MATCH
mha4	2048	0	1	1	60	190720	453920	764	51	EXACT_RUNTIME_MATCH
mha4	2048	3	1	1	60	190720	453920	764	51	EXACT_RUNTIME_MATCH
mha4	2048	512	1	1	60	190720	453920	764	51	EXACT_RUNTIME_MATCH
mha4	1	0	2	1	88	524	565	88	1	EXACT_RUNTIME_MATCH
mha4	1	3	2	1	88	524	565	88	1	EXACT_RUNTIME_MATCH
mha4	1	512	2	1	88	524	565	88	1	EXACT_RUNTIME_MATCH
mha4	4	0	2	1	88	800	1384	88	1	EXACT_RUNTIME_MATCH
mha4	4	3	2	1	88	800	1384	88	1	EXACT_RUNTIME_MATCH
mha4	4	512	2	1	88	800	1384	88	1	EXACT_RUNTIME_MATCH
mha4	128	0	2	1	88	12208	33352	108	1	EXACT_RUNTIME_MATCH
mha4	128	3	2	1	88	12208	33352	108	1	EXACT_RUNTIME_MATCH
mha4	128	512	2	1	88	12208	33352	108	1	EXACT_RUNTIME_MATCH
mha4	512	0	2	1	88	48832	118572	240	1	EXACT_RUNTIME_MATCH
mha4	512	3	2	1	88	48832	118572	240	1	EXACT_RUNTIME_MATCH
mha4	512	512	2	1	88	48832	118572	240	1	EXACT_RUNTIME_MATCH
mha4	2048	0	2	1	88	195328	459012	792	1	EXACT_RUNTIME_MATCH
mha4	2048	3	2	1	88	195328	459012	792	1	EXACT_RUNTIME_MATCH
mha4	2048	512	2	1	88	195328	459012	792	1	EXACT_RUNTIME_MATCH
mha4	1	0	4	1	88	812	1013	88	1	EXACT_RUNTIME_MATCH
mha4	1	3	4	1	88	812	1013	88	1	EXACT_RUNTIME_MATCH
mha4	1	512	4	1	88	812	1013	88	1	EXACT_RUNTIME_MATCH
mha4	4	0	4	1	88	1088	2216	88	1	EXACT_RUNTIME_MATCH
mha4	4	3	4	1	88	1088	2216	88	1	EXACT_RUNTIME_MATCH
mha4	4	512	4	1	88	1088	2216	88	1	EXACT_RUNTIME_MATCH
mha4	128	0	4	1	88	12496	49928	108	1	EXACT_RUNTIME_MATCH
mha4	128	3	4	1	88	12496	49928	108	1	EXACT_RUNTIME_MATCH
mha4	128	512	4	1	88	12496	49928	108	1	EXACT_RUNTIME_MATCH
mha4	512	0	4	1	88	49984	185132	240	1	EXACT_RUNTIME_MATCH
mha4	512	3	4	1	88	49984	185132	240	1	EXACT_RUNTIME_MATCH
mha4	512	512	4	1	88	49984	185132	240	1	EXACT_RUNTIME_MATCH
mha4	2048	0	4	1	88	199936	725244	800	1	EXACT_RUNTIME_MATCH
mha4	2048	3	4	1	88	199936	725244	800	1	EXACT_RUNTIME_MATCH
mha4	2048	512	4	1	88	199936	725244	800	1	EXACT_RUNTIME_MATCH
mha4	1	0	8	1	88	1388	1909	88	1	EXACT_RUNTIME_MATCH
mha4	1	3	8	1	88	1388	1909	88	1	EXACT_RUNTIME_MATCH
mha4	1	512	8	1	88	1388	1909	88	1	EXACT_RUNTIME_MATCH
mha4	4	0	8	1	88	1664	3880	88	1	EXACT_RUNTIME_MATCH
mha4	4	3	8	1	88	1664	3880	88	1	EXACT_RUNTIME_MATCH
mha4	4	512	8	1	88	1664	3880	88	1	EXACT_RUNTIME_MATCH
mha4	128	0	8	1	88	13072	83080	108	1	EXACT_RUNTIME_MATCH
mha4	128	3	8	1	88	13072	83080	108	1	EXACT_RUNTIME_MATCH
mha4	128	512	8	1	88	13072	83080	108	1	EXACT_RUNTIME_MATCH
mha4	512	0	8	1	88	52288	318252	240	1	EXACT_RUNTIME_MATCH
mha4	512	3	8	1	88	52288	318252	240	1	EXACT_RUNTIME_MATCH
mha4	512	512	8	1	88	52288	318252	240	1	EXACT_RUNTIME_MATCH
mha4	2048	0	8	1	88	209152	1256664	836	1	EXACT_RUNTIME_MATCH
mha4	2048	3	8	1	88	209152	1256664	836	1	EXACT_RUNTIME_MATCH
mha4	2048	512	8	1	88	209152	1256664	836	1	EXACT_RUNTIME_MATCH
mha4	1	0	16	1	88	2540	3701	88	1	EXACT_RUNTIME_MATCH
mha4	1	3	16	1	88	2540	3701	88	1	EXACT_RUNTIME_MATCH
mha4	1	512	16	1	88	2540	3701	88	1	EXACT_RUNTIME_MATCH
mha4	4	0	16	1	88	2816	7208	88	1	EXACT_RUNTIME_MATCH
mha4	4	3	16	1	88	2816	7208	88	1	EXACT_RUNTIME_MATCH
mha4	4	512	16	1	88	2816	7208	88	1	EXACT_RUNTIME_MATCH
mha4	128	0	16	1	88	14224	149384	108	1	EXACT_RUNTIME_MATCH
mha4	128	3	16	1	88	14224	149384	108	1	EXACT_RUNTIME_MATCH
mha4	128	512	16	1	88	14224	149384	108	1	EXACT_RUNTIME_MATCH
mha4	512	0	16	1	88	56896	583460	248	1	EXACT_RUNTIME_MATCH
mha4	512	3	16	1	88	56896	583460	248	1	EXACT_RUNTIME_MATCH
mha4	512	512	16	1	88	56896	583460	248	1	EXACT_RUNTIME_MATCH
mha4	2048	0	16	1	88	227584	2315408	908	1	EXACT_RUNTIME_MATCH
mha4	2048	3	16	1	88	227584	2315408	908	1	EXACT_RUNTIME_MATCH
mha4	2048	512	16	1	88	227584	2315408	908	1	EXACT_RUNTIME_MATCH
