model	seq	past	split	kappa	stages	task_refs	waits	max_worker_tasks	archive_processes	comparison
gqa2	1	0	2	1	44	226	207	44	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	1	3	2	1	44	226	207	44	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	1	512	2	1	44	226	207	44	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	4	0	2	1	44	328	588	44	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	4	3	2	1	44	328	588	44	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	4	512	2	1	44	328	588	44	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	128	0	2	1	44	4544	16356	48	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	128	3	2	1	44	4544	16356	48	50	EXACT_ARCHIVE_MATCH
gqa2	128	512	2	1	44	4544	16356	48	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	512	0	2	1	44	18176	61024	96	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	512	3	2	1	44	18176	61024	96	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	512	512	2	1	44	18176	61024	96	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	2048	0	2	1	44	72704	239464	300	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	2048	3	2	1	44	72704	239464	300	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
gqa2	2048	512	2	1	44	72704	239464	300	0	NO_RUNTIME_CROSS_CELL_ARCHIVE
