round	execution_index	consumer	seq	state	l05_ms	l1_ms	l2_ms	resource_json	schedule_json	hash_json
0	0	add	4	separate	0.028672	0.031520	0.029696	"{""block"": ""128"", ""reg"": ""112"", ""smem"": ""16384"", ""task_smem"": ""16384"", ""occupancy_smem"": ""16384"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""15360"", ""variant_count"": ""1"", ""ctas_per_sm"": ""4"", ""num_sms"": ""128"", ""grid"": ""512"", ""l1_reg"": ""104"", ""l05_reg"": ""115"", ""l1_ctas"": ""4"", ""l2_ctas"": ""4"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""512"", ""variant_stages"": ""2"", ""task_refs"": ""8"", ""task_ref_bytes"": ""224"", ""waits"": ""0"", ""wait_bytes"": ""0"", ""raw_polls"": ""0"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""0"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""1"", ""generated_max_span"": ""1"", ""max_worker_span"": ""0"", ""resident_limit"": ""512"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""2""}"	"{""l05"": ""43b554004e5491fc"", ""l1"": ""43b554004e5491fc"", ""l2"": ""43b554004e5491fc""}"
0	1	add	4	fused	0.020480	0.022528	0.020576	"{""block"": ""128"", ""reg"": ""148"", ""smem"": ""23552"", ""task_smem"": ""23552"", ""occupancy_smem"": ""23552"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""15360"", ""variant_count"": ""1"", ""ctas_per_sm"": ""3"", ""num_sms"": ""128"", ""grid"": ""384"", ""l1_reg"": ""138"", ""l05_reg"": ""136"", ""l1_ctas"": ""3"", ""l2_ctas"": ""3"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""384"", ""variant_stages"": ""1"", ""task_refs"": ""4"", ""task_ref_bytes"": ""112"", ""waits"": ""0"", ""wait_bytes"": ""0"", ""raw_polls"": ""0"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""0"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""0"", ""generated_max_span"": ""0"", ""max_worker_span"": ""0"", ""resident_limit"": ""384"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""1""}"	"{""l05"": ""43b554004e5491fc"", ""l1"": ""43b554004e5491fc"", ""l2"": ""43b554004e5491fc""}"
0	2	add	128	separate	0.041984	0.044032	0.036864	"{""block"": ""128"", ""reg"": ""112"", ""smem"": ""16384"", ""task_smem"": ""16384"", ""occupancy_smem"": ""16384"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""15360"", ""variant_count"": ""1"", ""ctas_per_sm"": ""4"", ""num_sms"": ""128"", ""grid"": ""512"", ""l1_reg"": ""104"", ""l05_reg"": ""115"", ""l1_ctas"": ""4"", ""l2_ctas"": ""4"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""512"", ""variant_stages"": ""2"", ""task_refs"": ""32"", ""task_ref_bytes"": ""896"", ""waits"": ""0"", ""wait_bytes"": ""0"", ""raw_polls"": ""0"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""0"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""1"", ""generated_max_span"": ""1"", ""max_worker_span"": ""0"", ""resident_limit"": ""512"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""2""}"	"{""l05"": ""56e8d40fb548f8cd"", ""l1"": ""56e8d40fb548f8cd"", ""l2"": ""56e8d40fb548f8cd""}"
0	3	add	128	fused	0.022528	0.023552	0.022528	"{""block"": ""128"", ""reg"": ""148"", ""smem"": ""23552"", ""task_smem"": ""23552"", ""occupancy_smem"": ""23552"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""15360"", ""variant_count"": ""1"", ""ctas_per_sm"": ""3"", ""num_sms"": ""128"", ""grid"": ""384"", ""l1_reg"": ""138"", ""l05_reg"": ""136"", ""l1_ctas"": ""3"", ""l2_ctas"": ""3"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""384"", ""variant_stages"": ""1"", ""task_refs"": ""16"", ""task_ref_bytes"": ""448"", ""waits"": ""0"", ""wait_bytes"": ""0"", ""raw_polls"": ""0"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""0"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""0"", ""generated_max_span"": ""0"", ""max_worker_span"": ""0"", ""resident_limit"": ""384"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""1""}"	"{""l05"": ""56e8d40fb548f8cd"", ""l1"": ""56e8d40fb548f8cd"", ""l2"": ""56e8d40fb548f8cd""}"
0	4	norm	4	separate	0.030944	0.031744	0.032576	"{""block"": ""128"", ""reg"": ""218"", ""smem"": ""52224"", ""task_smem"": ""52224"", ""occupancy_smem"": ""52224"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""52224"", ""variant_count"": ""1"", ""ctas_per_sm"": ""1"", ""num_sms"": ""128"", ""grid"": ""128"", ""l1_reg"": ""216"", ""l05_reg"": ""214"", ""l1_ctas"": ""1"", ""l2_ctas"": ""1"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""128"", ""variant_stages"": ""2"", ""task_refs"": ""5"", ""task_ref_bytes"": ""140"", ""waits"": ""3"", ""wait_bytes"": ""24"", ""raw_polls"": ""3"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""3"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""1"", ""generated_max_span"": ""1"", ""max_worker_span"": ""0"", ""resident_limit"": ""128"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""2""}"	"{""l05"": ""24a121ee2e766c2f"", ""l1"": ""24a121ee2e766c2f"", ""l2"": ""24a121ee2e766c2f""}"
0	5	norm	4	fused	0.048128	0.035840	0.033792	"{""block"": ""128"", ""reg"": ""232"", ""smem"": ""84992"", ""task_smem"": ""84992"", ""occupancy_smem"": ""84992"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""52224"", ""variant_count"": ""1"", ""ctas_per_sm"": ""1"", ""num_sms"": ""128"", ""grid"": ""128"", ""l1_reg"": ""232"", ""l05_reg"": ""226"", ""l1_ctas"": ""1"", ""l2_ctas"": ""1"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""128"", ""variant_stages"": ""1"", ""task_refs"": ""4"", ""task_ref_bytes"": ""112"", ""waits"": ""0"", ""wait_bytes"": ""0"", ""raw_polls"": ""0"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""0"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""0"", ""generated_max_span"": ""0"", ""max_worker_span"": ""0"", ""resident_limit"": ""128"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""1""}"	"{""l05"": ""24a121ee2e766c2f"", ""l1"": ""24a121ee2e766c2f"", ""l2"": ""24a121ee2e766c2f""}"
0	6	norm	128	separate	0.032768	0.033760	0.034080	"{""block"": ""128"", ""reg"": ""218"", ""smem"": ""52224"", ""task_smem"": ""52224"", ""occupancy_smem"": ""52224"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""52224"", ""variant_count"": ""1"", ""ctas_per_sm"": ""1"", ""num_sms"": ""128"", ""grid"": ""128"", ""l1_reg"": ""216"", ""l05_reg"": ""214"", ""l1_ctas"": ""1"", ""l2_ctas"": ""1"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""128"", ""variant_stages"": ""2"", ""task_refs"": ""132"", ""task_ref_bytes"": ""3696"", ""waits"": ""127"", ""wait_bytes"": ""1016"", ""raw_polls"": ""127"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""127"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""1"", ""generated_max_span"": ""1"", ""max_worker_span"": ""0"", ""resident_limit"": ""128"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""2""}"	"{""l05"": ""8de99dbccaa79a59"", ""l1"": ""8de99dbccaa79a59"", ""l2"": ""8de99dbccaa79a59""}"
0	7	norm	128	fused	0.047104	0.048128	0.048096	"{""block"": ""128"", ""reg"": ""232"", ""smem"": ""84992"", ""task_smem"": ""84992"", ""occupancy_smem"": ""84992"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""52224"", ""variant_count"": ""1"", ""ctas_per_sm"": ""1"", ""num_sms"": ""128"", ""grid"": ""128"", ""l1_reg"": ""232"", ""l05_reg"": ""226"", ""l1_ctas"": ""1"", ""l2_ctas"": ""1"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""128"", ""variant_stages"": ""1"", ""task_refs"": ""128"", ""task_ref_bytes"": ""3584"", ""waits"": ""0"", ""wait_bytes"": ""0"", ""raw_polls"": ""0"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""0"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""0"", ""generated_max_span"": ""0"", ""max_worker_span"": ""0"", ""resident_limit"": ""128"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""1""}"	"{""l05"": ""8de99dbccaa79a59"", ""l1"": ""8de99dbccaa79a59"", ""l2"": ""8de99dbccaa79a59""}"
1	0	add	4	fused	0.019456	0.023552	0.022528	"{""block"": ""128"", ""reg"": ""148"", ""smem"": ""23552"", ""task_smem"": ""23552"", ""occupancy_smem"": ""23552"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""15360"", ""variant_count"": ""1"", ""ctas_per_sm"": ""3"", ""num_sms"": ""128"", ""grid"": ""384"", ""l1_reg"": ""138"", ""l05_reg"": ""136"", ""l1_ctas"": ""3"", ""l2_ctas"": ""3"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""384"", ""variant_stages"": ""1"", ""task_refs"": ""4"", ""task_ref_bytes"": ""112"", ""waits"": ""0"", ""wait_bytes"": ""0"", ""raw_polls"": ""0"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""0"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""0"", ""generated_max_span"": ""0"", ""max_worker_span"": ""0"", ""resident_limit"": ""384"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""1""}"	"{""l05"": ""43b554004e5491fc"", ""l1"": ""43b554004e5491fc"", ""l2"": ""43b554004e5491fc""}"
1	1	add	128	separate	0.034976	0.037216	0.035840	"{""block"": ""128"", ""reg"": ""112"", ""smem"": ""16384"", ""task_smem"": ""16384"", ""occupancy_smem"": ""16384"", ""static_smem"": ""0"", ""regs_per_sm"": ""65536"", ""smem_per_sm"": ""102400"", ""threads_per_sm"": ""1536"", ""gemm_union"": ""15360"", ""variant_count"": ""1"", ""ctas_per_sm"": ""4"", ""num_sms"": ""128"", ""grid"": ""512"", ""l1_reg"": ""104"", ""l05_reg"": ""115"", ""l1_ctas"": ""4"", ""l2_ctas"": ""4"", ""min_blocks"": ""1"", ""warp_size"": ""32"", ""resident_formula"": ""ctas_per_sm*num_sms""}"	"{""workers"": ""512"", ""variant_stages"": ""2"", ""task_refs"": ""32"", ""task_ref_bytes"": ""896"", ""waits"": ""0"", ""wait_bytes"": ""0"", ""raw_polls"": ""0"", ""lifted_polls"": ""0"", ""waiting_tasks"": ""0"", ""normalization_dummies_lb"": ""0"", ""max_span"": ""1"", ""generated_max_span"": ""1"", ""max_worker_span"": ""0"", ""resident_limit"": ""512"", ""global_fanin"": ""0"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""max_worker_task_refs"": ""2""}"	"{""l05"": ""56e8d40fb548f8cd"", ""l1"": ""56e8d40fb548f8cd"", ""l2"": ""56e8d40fb548f8cd""}"
