dtype	model	ownership	seq	past	stage	op	tasks	read_elements	write_elements	depth	barriers	old_ns	new_ns	ratio
bf16	mha4	element	128	3	0	l0.s00.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	element	128	3	4	l0.s04.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	mha4	element	128	3	5	l0.s05.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	mha4	element	128	3	6	l0.s06.append	512	67072	67072	2	0	531.9898974469254	525.5796409814925	0.98795041692295971
bf16	mha4	element	128	3	7	l0.s07.append	512	67072	67072	2	0	531.9898974469254	525.5796409814925	0.98795041692295971
bf16	mha4	element	128	3	8	l0.s08.attn	512	13074432	65536	3	2	15064.537878343199	7185.6772254525349	0.47699287448987565
bf16	mha4	element	128	3	10	l0.s10.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	element	128	3	13	l0.s13.act	1024	262144	131072	2	0	1190.4188982388848	1038.3387690321194	0.87224654326997497
bf16	mha4	element	128	3	15	l1.s15.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	element	128	3	19	l1.s19.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	mha4	element	128	3	20	l1.s20.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	mha4	element	128	3	21	l1.s21.append	512	67072	67072	2	0	531.9898974469254	525.5796409814925	0.98795041692295971
bf16	mha4	element	128	3	22	l1.s22.append	512	67072	67072	2	0	531.9898974469254	525.5796409814925	0.98795041692295971
bf16	mha4	element	128	3	23	l1.s23.attn	512	13074432	65536	3	2	15064.537878343199	7185.6772254525349	0.47699287448987565
bf16	mha4	element	128	3	25	l1.s25.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	element	128	3	28	l1.s28.act	1024	262144	131072	2	0	1190.4188982388848	1038.3387690321194	0.87224654326997497
bf16	mha4	element	128	3	30	l2.s30.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	element	128	3	34	l2.s34.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	mha4	element	128	3	35	l2.s35.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	mha4	element	128	3	36	l2.s36.append	512	67072	67072	2	0	531.9898974469254	525.5796409814925	0.98795041692295971
bf16	mha4	element	128	3	37	l2.s37.append	512	67072	67072	2	0	531.9898974469254	525.5796409814925	0.98795041692295971
bf16	mha4	element	128	3	38	l2.s38.attn	512	13074432	65536	3	2	15064.537878343199	7185.6772254525349	0.47699287448987565
bf16	mha4	element	128	3	40	l2.s40.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	element	128	3	43	l2.s43.act	1024	262144	131072	2	0	1190.4188982388848	1038.3387690321194	0.87224654326997497
bf16	mha4	element	128	3	45	l3.s45.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	element	128	3	49	l3.s49.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	mha4	element	128	3	50	l3.s50.rope	256	81920	65536	2	0	329.21450039597977	285.22571811976115	0.86638261005117079
bf16	mha4	element	128	3	51	l3.s51.append	512	67072	67072	2	0	531.9898974469254	525.5796409814925	0.98795041692295971
bf16	mha4	element	128	3	52	l3.s52.append	512	67072	67072	2	0	531.9898974469254	525.5796409814925	0.98795041692295971
bf16	mha4	element	128	3	53	l3.s53.attn	512	13074432	65536	3	2	15064.537878343199	7185.6772254525349	0.47699287448987565
bf16	mha4	element	128	3	55	l3.s55.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	element	128	3	58	l3.s58.act	1024	262144	131072	2	0	1190.4188982388848	1038.3387690321194	0.87224654326997497
bf16	mha4	tile	128	3	0	l0.s00.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	tile	128	3	4	l0.s04.rope	512	98304	65536	2	0	329.21450039597977	506.34887158519405	1.5380515468673366
bf16	mha4	tile	128	3	5	l0.s05.rope	512	98304	65536	2	0	329.21450039597977	506.34887158519405	1.5380515468673366
bf16	mha4	tile	128	3	6	l0.s06.append	512	65536	65536	2	0	531.9898974469254	493.52835865432837	0.92770250153775868
bf16	mha4	tile	128	3	7	l0.s07.append	512	65536	65536	2	0	531.9898974469254	493.52835865432837	0.92770250153775868
bf16	mha4	tile	128	3	8	l0.s08.attn	512	13074432	65536	3	2	15064.537878343199	7185.6772254525349	0.47699287448987565
bf16	mha4	tile	128	3	10	l0.s10.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	tile	128	3	13	l0.s13.act	128	262144	131072	2	0	1190.4188982388848	419.84110389385069	0.35268350033334228
bf16	mha4	tile	128	3	15	l1.s15.norm	128	131072	65536	3	8	658.55906297038791	1584.6334921469254	2.4062131724367117
bf16	mha4	tile	128	3	19	l1.s19.rope	512	98304	65536	2	0	329.21450039597977	506.34887158519405	1.5380515468673366
bf16	mha4	tile	128	3	20	l1.s20.rope	512	98304	65536	2	0	329.21450039597977	506.34887158519405	1.5380515468673366
bf16	mha4	tile	128	3	21	l1.s21.append	512	65536	65536	2	0	531.9898974469254	493.52835865432837	0.92770250153775868
bf16	mha4	tile	128	3	22	l1.s22.append	512	65536	65536	2	0	531.9898974469254	493.52835865432837	0.92770250153775868
