slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles
0	1	0	0	0	1	0	1789561885072912384	47541989893522	1789561885072913408	47541989894715	1789561885072913408	47541989894715	1789561885072914432	47541989898428	1789561885072915456	47541989900239	1789561885072915456	47541989900371
1	0	32	16	32	1	3072	1789561885072917504	47541989906218	1789561885072917504	47541989908410	1789561885072918528	47541989909225	1789561885072924672	47541989927353	1789561885072925696	47541989929395	1789561885072925696	47541989929858
2	2	0	0	0	1	0	1789561885072928768	47541989937828	1789561885072928768	47541989939078	1789561885072928768	47541989939078	1789561885072929792	47541989941284	1789561885072929792	47541989941327	1789561885072929792	47541989941456
3	3	0	0	0	1	0	1789561885072930816	47541989944205	1789561885072931840	47541989945276	1789561885072931840	47541989945276	1789561885072931840	47541989946356	1789561885072931840	47541989946387	1789561885072931840	47541989946519
4	5	0	0	0	1	0	1789561885072935936	47541989956948	1789561885072935936	47541989958774	1789561885072935936	47541989958774	1789561885072959488	47541990023651	1789561885072959488	47541990023681	1789561885072959488	47541990023811
5	0	32	16	32	1	3072	1789561885072964608	47541990038031	1789561885072966656	47541990041352	1789561885072966656	47541990042407	1789561885072973824	47541990063418	1789561885072975872	47541990067887	1789561885072975872	47541990068337
6	1	0	0	0	1	0	1789561885072982016	47541990084500	1789561885072982016	47541990086573	1789561885072982016	47541990086573	1789561885072983040	47541990088750	1789561885072984064	47541990089852	1789561885072984064	47541990089990
7	0	32	16	32	1	3072	1789561885072986112	47541990096499	1789561885072987136	47541990098830	1789561885072987136	47541990099706	1789561885072994304	47541990119965	1789561885072995328	47541990122663	1789561885072995328	47541990123104
8	4	0	0	0	1	0	1789561885073003520	47541990144541	1789561885073003520	47541990145641	1789561885073003520	47541990145641	1789561885073006592	47541990152537	1789561885073006592	47541990152569	1789561885073006592	47541990152732
9	0	32	16	32	1	3072	1789561885073008640	47541990158869	1789561885073009664	47541990161336	1789561885073009664	47541990162591	1789561885073022976	47541990200551	1789561885073025024	47541990203837	1789561885073025024	47541990204033
10	1	0	0	0	1	0	1789561885073027072	47541990211321	1789561885073028096	47541990212616	1789561885073028096	47541990212616	1789561885073029120	47541990215179	1789561885073029120	47541990217098	1789561885073029120	47541990217229
11	0	32	16	32	1	3072	1789561885073031168	47541990223260	1789561885073032192	47541990225601	1789561885073032192	47541990226509	1789561885073039360	47541990244154	1789561885073040384	47541990246966	1789561885073040384	47541990247236
12	2	0	0	0	1	0	1789561885073044480	47541990258158	1789561885073044480	47541990259520	1789561885073044480	47541990259520	1789561885073045504	47541990261435	1789561885073045504	47541990261465	1789561885073045504	47541990261598
13	3	0	0	0	1	0	1789561885073046528	47541990265535	1789561885073047552	47541990267163	1789561885073047552	47541990267163	1789561885073047552	47541990268467	1789561885073047552	47541990268530	1789561885073047552	47541990268665
14	5	0	0	0	1	0	1789561885073054720	47541990286706	1789561885073054720	47541990288672	1789561885073054720	47541990288672	1789561885073078272	47541990352169	1789561885073078272	47541990352199	1789561885073078272	47541990352329
15	0	32	16	32	1	3072	1789561885073083392	47541990366940	1789561885073084416	47541990369537	1789561885073084416	47541990371092	1789561885073092608	47541990392239	1789561885073094656	47541990398675	1789561885073094656	47541990398805
16	1	0	0	0	1	0	1789561885073097728	47541990408077	1789561885073098752	47541990409817	1789561885073098752	47541990409817	1789561885073099776	47541990412277	1789561885073100800	47541990414612	1789561885073100800	47541990414742
17	0	32	16	32	1	3072	1789561885073103872	47541990425437	1789561885073104896	47541990428715	1789561885073105920	47541990430099	1789561885073113088	47541990448990	1789561885073114112	47541990451632	1789561885073114112	47541990451868
18	4	0	0	0	1	0	1789561885073122304	47541990474593	1789561885073122304	47541990475894	1789561885073122304	47541990475894	1789561885073125376	47541990482480	1789561885073125376	47541990482511	1789561885073125376	47541990482641
19	0	32	16	32	1	3072	1789561885073126400	47541990487711	1789561885073127424	47541990490020	1789561885073127424	47541990490948	1789561885073139712	47541990523556	1789561885073140736	47541990527320	1789561885073140736	47541990527501
20	1	0	0	0	1	0	1789561885072912384	47541989893576	1789561885072913408	47541989894763	1789561885072913408	47541989894763	1789561885072914432	47541989898639	1789561885072915456	47541989900239	1789561885072915456	47541989900373
21	0	32	16	32	1	3072	1789561885072917504	47541989906231	1789561885072917504	47541989908480	1789561885072918528	47541989909727	1789561885072924672	47541989927067	1789561885072925696	47541989929383	1789561885072925696	47541989929860
22	2	0	0	0	1	0	1789561885072928768	47541989937894	1789561885072928768	47541989939166	1789561885072928768	47541989939166	1789561885072929792	47541989941382	1789561885072929792	47541989941412	1789561885072929792	47541989941542
23	3	0	0	0	1	0	1789561885072930816	47541989944173	1789561885072931840	47541989945392	1789561885072931840	47541989945392	1789561885072931840	47541989946383	1789561885072931840	47541989946421	1789561885072931840	47541989946554
24	5	0	0	0	1	0	1789561885072935936	47541989956770	1789561885072935936	47541989958782	1789561885072935936	47541989958782	1789561885072959488	47541990023668	1789561885072959488	47541990023698	1789561885072959488	47541990023828
25	0	32	16	32	1	3072	1789561885072964608	47541990038196	1789561885072966656	47541990041429	1789561885072966656	47541990042413	1789561885072975872	47541990069648	1789561885072977920	47541990074073	1789561885072977920	47541990074202
26	1	0	0	0	1	0	1789561885072982016	47541990084507	1789561885072982016	47541990085408	1789561885072982016	47541990085408	1789561885072983040	47541990087651	1789561885072984064	47541990089850	1789561885072984064	47541990089984
27	0	32	16	32	1	3072	1789561885072986112	47541990097686	1789561885072987136	47541990098878	1789561885072987136	47541990099938	1789561885072994304	47541990120515	1789561885072995328	47541990123007	1789561885072995328	47541990123206
28	4	0	0	0	1	0	1789561885073002496	47541990143602	1789561885073003520	47541990145205	1789561885073003520	47541990145205	1789561885073005568	47541990151946	1789561885073005568	47541990151977	1789561885073005568	47541990152112
29	0	32	16	32	1	3072	1789561885073008640	47541990158943	1789561885073009664	47541990161396	1789561885073009664	47541990162925	1789561885073024000	47541990202635	1789561885073025024	47541990204760	1789561885073025024	47541990204891
30	1	0	0	0	1	0	1789561885073027072	47541990211313	1789561885073028096	47541990212612	1789561885073028096	47541990212612	1789561885073029120	47541990215192	1789561885073029120	47541990217107	1789561885073029120	47541990217249
31	0	32	16	32	1	3072	1789561885073031168	47541990223258	1789561885073032192	47541990225672	1789561885073033216	47541990226569	1789561885073039360	47541990245343	1789561885073040384	47541990246767	1789561885073040384	47541990247098
32	2	0	0	0	1	0	1789561885073044480	47541990258243	1789561885073044480	47541990259528	1789561885073044480	47541990259528	1789561885073045504	47541990261343	1789561885073045504	47541990261373	1789561885073045504	47541990261550
33	3	0	0	0	1	0	1789561885073046528	47541990265513	1789561885073047552	47541990266632	1789561885073047552	47541990266632	1789561885073047552	47541990268274	1789561885073047552	47541990268304	1789561885073047552	47541990268459
34	5	0	0	0	1	0	1789561885073054720	47541990286791	1789561885073054720	47541990288774	1789561885073054720	47541990288774	1789561885073078272	47541990352180	1789561885073078272	47541990352211	1789561885073078272	47541990352341
35	0	32	16	32	1	3072	1789561885073083392	47541990366785	1789561885073084416	47541990369578	1789561885073084416	47541990371003	1789561885073092608	47541990393190	1789561885073094656	47541990398477	1789561885073094656	47541990398610
36	1	0	0	0	1	0	1789561885073098752	47541990409022	1789561885073098752	47541990409806	1789561885073098752	47541990409806	1789561885073099776	47541990412252	1789561885073099776	47541990414362	1789561885073099776	47541990414502
37	0	32	16	32	1	3072	1789561885073103872	47541990425370	1789561885073105920	47541990428787	1789561885073105920	47541990430102	1789561885073113088	47541990449490	1789561885073114112	47541990451684	1789561885073114112	47541990452146
38	4	0	0	0	1	0	1789561885073122304	47541990474434	1789561885073122304	47541990475883	1789561885073122304	47541990475883	1789561885073124352	47541990482215	1789561885073124352	47541990482246	1789561885073124352	47541990482381
39	0	32	16	32	1	3072	1789561885073126400	47541990487778	1789561885073127424	47541990490084	1789561885073128448	47541990491335	1789561885073139712	47541990524234	1789561885073140736	47541990527379	1789561885073140736	47541990527523
40	1	0	0	0	1	0	1789561885072912384	47541989893592	1789561885072913408	47541989894749	1789561885072913408	47541989894749	1789561885072914432	47541989899072	1789561885072915456	47541989900242	1789561885072915456	47541989900385
41	0	32	16	32	1	3072	1789561885072917504	47541989906078	1789561885072917504	47541989908551	1789561885072918528	47541989909694	1789561885072925696	47541989929587	1789561885072925696	47541989930453	1789561885072925696	47541989930584
42	2	0	0	0	1	0	1789561885072928768	47541989937743	1789561885072928768	47541989939120	1789561885072928768	47541989939120	1789561885072929792	47541989941414	1789561885072929792	47541989941446	1789561885072929792	47541989941576
43	3	0	0	0	1	0	1789561885072930816	47541989944185	1789561885072931840	47541989945398	1789561885072931840	47541989945398	1789561885072931840	47541989946672	1789561885072931840	47541989946702	1789561885072931840	47541989947120
44	5	0	0	0	1	0	1789561885072935936	47541989956784	1789561885072935936	47541989958869	1789561885072935936	47541989958869	1789561885072959488	47541990023452	1789561885072959488	47541990023487	1789561885072959488	47541990023629
45	0	32	16	32	1	3072	1789561885072964608	47541990038228	1789561885072966656	47541990041502	1789561885072966656	47541990043114	1789561885072974848	47541990065066	1789561885072975872	47541990068358	1789561885072975872	47541990068488
46	1	0	0	0	1	0	1789561885072980992	47541990083648	1789561885072982016	47541990085269	1789561885072982016	47541990085269	1789561885072983040	47541990087657	1789561885072984064	47541990089858	1789561885072984064	47541990089993
47	0	32	16	32	1	3072	1789561885072986112	47541990097696	1789561885072987136	47541990098804	1789561885072987136	47541990100378	1789561885072995328	47541990123431	1789561885072996352	47541990125790	1789561885072996352	47541990125956
48	4	0	0	0	1	0	1789561885073003520	47541990144548	1789561885073003520	47541990145637	1789561885073003520	47541990145637	1789561885073006592	47541990152477	1789561885073006592	47541990152507	1789561885073006592	47541990152638
49	0	32	16	32	1	3072	1789561885073008640	47541990158944	1789561885073009664	47541990161448	1789561885073009664	47541990162996	1789561885073025024	47541990203850	1789561885073025024	47541990205897	1789561885073025024	47541990206033
50	1	0	0	0	1	0	1789561885073027072	47541990211508	1789561885073028096	47541990212709	1789561885073028096	47541990212709	1789561885073029120	47541990215212	1789561885073029120	47541990217108	1789561885073029120	47541990217241
51	0	32	16	32	1	3072	1789561885073031168	47541990223198	1789561885073032192	47541990225755	1789561885073033216	47541990226953	1789561885073039360	47541990245638	1789561885073040384	47541990247478	1789561885073040384	47541990247609
52	2	0	0	0	1	0	1789561885073044480	47541990258264	1789561885073044480	47541990259628	1789561885073044480	47541990259628	1789561885073045504	47541990261595	1789561885073045504	47541990261628	1789561885073045504	47541990262130
53	3	0	0	0	1	0	1789561885073046528	47541990265557	1789561885073047552	47541990266730	1789561885073047552	47541990266730	1789561885073047552	47541990268170	1789561885073047552	47541990268200	1789561885073047552	47541990268329
54	5	0	0	0	1	0	1789561885073054720	47541990286636	1789561885073054720	47541990288650	1789561885073054720	47541990288650	1789561885073078272	47541990352428	1789561885073078272	47541990352460	1789561885073078272	47541990352589
55	0	32	16	32	1	3072	1789561885073083392	47541990366964	1789561885073084416	47541990369688	1789561885073084416	47541990370925	1789561885073092608	47541990394105	1789561885073094656	47541990398907	1789561885073094656	47541990399037
56	1	0	0	0	1	0	1789561885073098752	47541990409033	1789561885073098752	47541990410120	1789561885073098752	47541990410120	1789561885073099776	47541990412272	1789561885073099776	47541990414361	1789561885073099776	47541990414494
57	0	32	16	32	1	3072	1789561885073103872	47541990425465	1789561885073105920	47541990428857	1789561885073105920	47541990430144	1789561885073113088	47541990450728	1789561885073114112	47541990452960	1789561885073114112	47541990453090
58	4	0	0	0	1	0	1789561885073122304	47541990474536	1789561885073122304	47541990475974	1789561885073122304	47541990475974	1789561885073124352	47541990482351	1789561885073124352	47541990482381	1789561885073125376	47541990482515
