key	placement	status	simulated	makespan_ns	floor_ns
32x16x16s2k1_k1_r5	eft	ok	1	216607.436276	141868
32x16x32s2k1_k1_r5	eft	ok	1	216607.436276	141868
32x16x16s2k1_k1_r5	rotate	ok	1	219272.259878	141868
32x16x32s2k1_k1_r5	rotate	ok	1	219272.259878	141868
32x16x16s2k1_k2_r5	eft	ok	1	219272.259878	141868
32x16x16s2k1_k2_r5	rotate	ok	1	219272.259878	141868
32x16x32s2k1_k2_r5	eft	ok	1	219272.259878	141868
32x16x32s2k1_k2_r5	rotate	ok	1	219272.259878	141868
32x16x16s2k1_k4_r5	eft	ok	1	219272.259878	141868
32x16x16s2k1_k4_r5	rotate	ok	1	219272.259878	141868
32x16x32s2k1_k4_r5	eft	ok	1	219272.259878	141868
32x16x32s2k1_k4_r5	rotate	ok	1	219272.259878	141868
32x32x16s2k1_k1_r5	eft	ok	1	223877.836276	149208
32x32x16s2k1_k1_r5	rotate	ok	1	226612.259878	149208
32x32x16s2k1_k2_r5	eft	ok	1	226612.259878	149208
32x32x16s2k1_k2_r5	rotate	ok	1	226612.259878	149208
32x32x16s2k1_k4_r5	eft	ok	1	226612.259878	149208
32x32x16s2k1_k4_r5	rotate	ok	1	226612.259878	149208
32x32x16s2k1_k1_r5	chain	ok	1	249739.629503	149208
32x32x16s2k1_k2_r5	chain	ok	1	251367.841304	149208
32x32x16s2k1_k4_r5	chain	ok	1	251367.841304	149208
32x16x16s2k1_k1_r5	chain	ok	1	253929.182922	141868
32x16x32s2k1_k1_r5	chain	ok	1	253929.182922	141868
32x16x16s2k1_k2_r5	chain	ok	1	255540.594723	141868
32x16x32s2k1_k2_r5	chain	ok	1	255540.594723	141868
32x16x16s2k1_k4_r5	chain	ok	1	255540.594723	141868
32x16x32s2k1_k4_r5	chain	ok	1	255540.594723	141868
32x32x16s2k1_k1_r2	wavefront	ok	1	274032.829503	193422.4
32x32x16s2k1_k1_r2	rotate	ok	1	274834.429503	149208
32x16x16s2k1_k1_r2	wavefront	ok	1	281742.686309	198984
32x16x32s2k1_k1_r2	wavefront	ok	1	281742.686309	198984
32x16x16s2k1_k1_r2	rotate	ok	1	282474.686309	162796
32x16x32s2k1_k1_r2	rotate	ok	1	282474.686309	162796
32x32x16s2k1_k2_r2	wavefront	ok	1	287535.072763	193422.4
32x32x16s2k1_k4_r2	wavefront	ok	1	287535.072763	193422.4
32x32x16s2k1_k2_r2	rotate	ok	1	288336.672763	149208
32x32x16s2k1_k4_r2	rotate	ok	1	288336.672763	149208
32x16x16s2k1_k2_r2	wavefront	ok	1	295244.929569	198984
32x16x32s2k1_k2_r2	wavefront	ok	1	295244.929569	198984
32x16x16s2k1_k4_r2	wavefront	ok	1	295244.929569	198984
32x16x32s2k1_k4_r2	wavefront	ok	1	295244.929569	198984
32x16x16s2k1_k2_r2	rotate	ok	1	295976.929569	162796
32x16x32s2k1_k2_r2	rotate	ok	1	295976.929569	162796
32x16x16s2k1_k4_r2	rotate	ok	1	295976.929569	162796
32x16x32s2k1_k4_r2	rotate	ok	1	295976.929569	162796
32x16x16s2k1_k1_r2	chain	ok	1	302080.52454	168844
32x16x32s2k1_k1_r2	chain	ok	1	302080.52454	168844
32x16x16s2k1_k2_r2	chain	ok	1	311670.142784	168844
32x16x32s2k1_k2_r2	chain	ok	1	311670.142784	168844
32x16x16s2k1_k4_r2	chain	ok	1	311670.142784	168844
32x16x32s2k1_k4_r2	chain	ok	1	311670.142784	168844
32x32x16s2k1_k1_r2	chain	ok	1	317477.440974	156540.4
32x32x16s2k1_k2_r2	chain	ok	1	324228.562604	156540.4
