slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789554991600491520	1789554991600491520	1789554991600491520	1789554991600495616	1789554991600496640	0	0	0	0	36988567416474	36988567425901
1	0	5	120	0	1789554991600496640	1789554991600521216	1789554991600521216	1789554991600522240	1789554991600523264	0	1	4	1	36988567498157	36988567501571
2	0	4	120	0	1789554991600524288	1789554991600524288	1789554991600525312	1789554991600526336	1789554991600527360	1	1	3	1	36988567507611	36988567510476
3	0	4	376	0	1789554991600527360	1789554991600527360	1789554991600527360	1789554991600528384	1789554991600528384	2	0	3	1	36988567513878	36988567516014
4	0	7	120	0	1789554991600528384	1789554991600529408	1789554991600530432	1789554991600530432	1789554991600531456	2	1	6	1	36988567521644	36988567523727
5	0	6	120	0	1789554991600531456	1789554991600531456	1789554991600531456	1789554991600532480	1789554991600533504	3	0	5	1	36988567527225	36988567529044
6	0	8	120	0	1789554991600533504	1789554991600534528	1789554991600534528	1789554991600558080	1789554991600561152	3	2	7	3	36988567534703	36988567600138
7	0	8	376	0	1789554991600561152	1789554991600561152	1789554991600561152	1789554991600578560	1789554991600579584	5	0	7	3	36988567608713	36988567655321
8	0	10	116	0	1789554991600579584	1789554991600615424	1789554991600615424	1789554991600617472	1789554991600619520	5	4	11	1	36988567757369	36988567764010
9	0	15	96	0	1789554991600619520	1789554991600699392	1789554991600699392	1789554991600701440	1789554991600703488	9	4	18	1	36988567988846	36988567995522
10	0	20	216	0	1789554991600703488	1789554991600728064	1789554991600728064	1789554991600729088	1789554991600730112	13	1	23	1	36988568068025	36988568071458
11	0	19	216	0	1789554991600730112	1789554991600731136	1789554991600731136	1789554991600732160	1789554991600733184	14	1	22	1	36988568077479	36988568080042
12	0	19	472	0	1789554991600733184	1789554991600734208	1789554991600734208	1789554991600734208	1789554991600735232	15	0	22	1	36988568083527	36988568085601
13	0	22	216	0	1789554991600735232	1789554991600736256	1789554991600736256	1789554991600737280	1789554991600738304	15	1	25	1	36988568091167	36988568093234
14	0	21	216	0	1789554991600738304	1789554991600738304	1789554991600738304	1789554991600739328	1789554991600740352	16	0	24	1	36988568096597	36988568098407
15	0	23	216	0	1789554991600740352	1789554991600741376	1789554991600741376	1789554991600759808	1789554991600760832	16	2	26	3	36988568104172	36988568155046
16	0	23	472	0	1789554991600760832	1789554991600760832	1789554991600760832	1789554991600779264	1789554991600780288	18	0	26	3	36988568158704	36988568207851
17	0	28	68	0	1789554991600780288	1789554991600848896	1789554991600848896	1789554991600851968	1789554991600852992	18	16	34	2	36988568401273	36988568408760
