event_index	stage	group	fanin	publish_ns
0	0	4294967295	0	0
1	1	4294967295	0	0
2	2	4294967295	0	0
3	3	4294967295	0	0
4	4	4294967295	0	0
5	5	4294967295	0	0
6	6	4294967295	0	0
7	7	4294967295	0	0
8	8	4294967295	0	0
9	9	4294967295	0	0
10	10	4294967295	0	0
11	11	4294967295	0	0
12	12	4294967295	0	0
13	13	4294967295	0	0
14	14	4294967295	0	0
15	15	4294967295	0	0
16	16	4294967295	0	0
17	17	4294967295	0	0
18	18	4294967295	0	0
19	19	4294967295	0	0
20	20	4294967295	0	0
21	21	4294967295	0	0
22	22	4294967295	0	0
23	23	4294967295	0	0
24	24	4294967295	0	0
25	25	4294967295	0	0
26	26	4294967295	0	0
27	27	4294967295	0	0
28	28	4294967295	0	0
29	29	4294967295	0	0
30	0	0	1	1789554990894312448
31	0	1	1	1789554990894312448
32	0	2	1	1789554990894312448
33	0	3	1	1789554990894312448
34	1	4294967295	32	1789554990894320640
35	2	4294967295	16	1789554990894320640
36	3	4294967295	16	1789554990894320640
37	4	0	1	1789554990894323712
38	4	1	1	1789554990894323712
39	4	2	1	1789554990894323712
40	4	3	1	1789554990894323712
41	4	4	1	1789554990894323712
42	4	5	1	1789554990894323712
43	4	6	1	1789554990894323712
44	4	7	1	1789554990894323712
45	4	8	1	1789554990894323712
46	4	9	1	1789554990894323712
47	4	10	1	1789554990894323712
48	4	11	1	1789554990894323712
49	4	12	1	1789554990894323712
50	4	13	1	1789554990894323712
51	4	14	1	1789554990894323712
52	4	15	1	1789554990894323712
53	5	0	1	1789554990894323712
54	5	1	1	1789554990894323712
55	5	2	1	1789554990894323712
56	5	3	1	1789554990894323712
57	5	4	1	1789554990894323712
58	5	5	1	1789554990894323712
59	5	6	1	1789554990894323712
60	5	7	1	1789554990894323712
61	6	4294967295	8	1789554990894325760
62	7	4294967295	8	1789554990894323712
63	8	0	1	1789554990894331904
64	8	1	1	1789554990894331904
65	8	2	1	1789554990894331904
66	8	3	1	1789554990894330880
67	8	4	1	1789554990894331904
68	8	5	1	1789554990894331904
69	8	6	1	1789554990894331904
70	8	7	1	1789554990894331904
71	8	8	1	1789554990894330880
72	8	9	1	1789554990894330880
73	8	10	1	1789554990894330880
74	8	11	1	1789554990894330880
75	8	12	1	1789554990894330880
76	8	13	1	1789554990894330880
77	8	14	1	1789554990894329856
78	8	15	1	1789554990894330880
79	9	0	1	1789554990894340096
80	9	1	1	1789554990894340096
81	9	2	1	1789554990894340096
82	9	3	1	1789554990894340096
83	9	4	1	1789554990894340096
84	9	5	1	1789554990894340096
85	9	6	1	1789554990894340096
86	9	7	1	1789554990894340096
87	9	8	1	1789554990894339072
88	9	9	1	1789554990894339072
89	9	10	1	1789554990894339072
90	9	11	1	1789554990894339072
91	9	12	1	1789554990894339072
92	9	13	1	1789554990894339072
93	9	14	1	1789554990894339072
94	9	15	1	1789554990894339072
95	9	16	1	1789554990894339072
96	9	17	1	1789554990894340096
97	9	18	1	1789554990894339072
98	9	19	1	1789554990894339072
99	9	20	1	1789554990894339072
100	9	21	1	1789554990894339072
101	9	22	1	1789554990894339072
102	9	23	1	1789554990894339072
103	9	24	1	1789554990894339072
104	9	25	1	1789554990894339072
105	9	26	1	1789554990894339072
106	9	27	1	1789554990894339072
107	9	28	1	1789554990894339072
108	9	29	1	1789554990894339072
109	9	30	1	1789554990894339072
110	9	31	1	1789554990894339072
111	10	0	1	1789554990894344192
112	10	1	1	1789554990894344192
113	10	2	1	1789554990894344192
114	10	3	1	1789554990894344192
115	11	0	1	1789554990894353408
116	11	1	1	1789554990894353408
117	11	2	1	1789554990894352384
118	11	3	1	1789554990894353408
119	11	4	1	1789554990894352384
120	11	5	1	1789554990894352384
121	11	6	1	1789554990894353408
122	11	7	1	1789554990894353408
123	11	8	1	1789554990894352384
124	11	9	1	1789554990894352384
125	11	10	1	1789554990894352384
126	11	11	1	1789554990894353408
127	11	12	1	1789554990894352384
128	11	13	1	1789554990894352384
129	11	14	1	1789554990894352384
130	11	15	1	1789554990894353408
131	11	16	1	1789554990894352384
132	11	17	1	1789554990894353408
133	11	18	1	1789554990894352384
134	11	19	1	1789554990894352384
