slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789561886330723328	1789561886330723328	1789561886330723328	1789561886330726400	1789561886330727424	0	0	0	0	47543153008187	47543153015023
1	0	2	0	0	1789561886330727424	1789561886330728448	1789561886330728448	1789561886330739712	1789561886330740736	0	16	1	1	47543153020989	47543153051682
2	0	5	0	0	1789561886330740736	1789561886330741760	1789561886330741760	1789561886330742784	1789561886330744832	16	1	4	1	47543153058186	47543153061304
3	0	4	128	0	1789561886330744832	1789561886330745856	1789561886330745856	1789561886330746880	1789561886330747904	17	1	3	1	47543153067794	47543153071039
4	0	7	384	0	1789561886330747904	1789561886330748928	1789561886330748928	1789561886330749952	1789561886330750976	18	1	6	1	47543153076990	47543153079948
5	0	8	0	0	1789561886330750976	1789561886330753024	1789561886330753024	1789561886330778624	1789561886330779648	19	3	7	3	47543153089392	47543153159148
6	0	9	0	0	1789561886330779648	1789561886330781696	1789561886330781696	1789561886330793984	1789561886330795008	22	64	10	1	47543153168598	47543153202572
7	0	10	0	0	1789561886330795008	1789561886330796032	1789561886330797056	1789561886330799104	1789561886330799104	86	16	11	1	47543153208797	47543153214788
8	0	11	0	0	1789561886330800128	1789561886330800128	1789561886330800128	1789561886330811392	1789561886330812416	102	16	12	1	47543153219522	47543153250839
9	0	13	0	0	1789561886330813440	1789561886330815488	1789561886330815488	1789561886330818560	1789561886330819584	118	64	14	2	47543153261888	47543153269846
10	0	14	0	0	1789561886330819584	1789561886330820608	1789561886330820608	1789561886330840064	1789561886330841088	182	16	16	2	47543153275166	47543153328629
11	0	15	0	0	1789561886330841088	1789561886330841088	1789561886330842112	1789561886330844160	1789561886330845184	198	16	18	1	47543153334208	47543153340170
12	0	17	0	0	1789561886330845184	1789561886330845184	1789561886330845184	1789561886330854400	1789561886330855424	214	16	20	1	47543153345287	47543153370369
13	0	20	0	0	1789561886330855424	1789561886330857472	1789561886330857472	1789561886330858496	1789561886330859520	230	1	23	1	47543153376923	47543153380847
14	0	19	128	0	1789561886330859520	1789561886330860544	1789561886330861568	1789561886330862592	1789561886330863616	231	1	22	1	47543153388103	47543153391373
15	0	21	0	0	1789561886330863616	1789561886330864640	1789561886330864640	1789561886330865664	1789561886330866688	232	1	24	1	47543153397960	47543153400547
16	0	23	0	0	1789561886330866688	1789561886330868736	1789561886330868736	1789561886330892288	1789561886330893312	233	3	26	3	47543153410147	47543153475585
17	0	24	0	0	1789561886330893312	1789561886330897408	1789561886330897408	1789561886330909696	1789561886330910720	236	64	29	2	47543153490358	47543153524360
18	0	25	0	0	1789561886330910720	1789561886330911744	1789561886330912768	1789561886330914816	1789561886330915840	300	16	31	1	47543153530489	47543153536714
19	0	26	0	0	1789561886330915840	1789561886330915840	1789561886330915840	1789561886330927104	1789561886330928128	316	16	32	1	47543153541512	47543153571928
20	0	28	0	0	1789561886330928128	1789561886330931200	1789561886330931200	1789561886330934272	1789561886330935296	332	64	34	2	47543153582773	47543153591020
21	0	29	0	0	1789561886330935296	1789561886330936320	1789561886330936320	1789561886330954752	1789561886330955776	396	16	36	2	47543153595912	47543153648696
