key	placement	status	simulated	makespan_ns	floor_ns
32x16x16s2k1_k1_r1	eft	ok	1	273622.794512	131036
32x16x16s2k1_k1_r2	eft	ok	1	273622.794512	131036
32x16x16s2k1_k1_r5	eft	ok	1	273622.794512	131036
32x16x32s2k1_k1_r1	eft	ok	1	273622.794512	131036
32x16x32s2k1_k1_r2	eft	ok	1	273622.794512	131036
32x16x32s2k1_k1_r5	eft	ok	1	273622.794512	131036
32x16x64s2k1_k1_r1	eft	ok	1	273622.794512	131036
32x16x64s2k1_k1_r2	eft	ok	1	273622.794512	131036
32x16x16s2k1_k1_r1	rotate	ok	1	289918.428171	131036
32x16x16s2k1_k1_r1	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k1_r2	rotate	ok	1	289918.428171	131036
32x16x16s2k1_k1_r2	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k1_r5	rotate	ok	1	289918.428171	131036
32x16x16s2k1_k1_r5	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k1_r5	chain	ok	1	289918.428171	131036
32x16x32s2k1_k1_r1	rotate	ok	1	289918.428171	131036
32x16x32s2k1_k1_r1	wavefront	ok	1	289918.428171	131036
32x16x32s2k1_k1_r2	rotate	ok	1	289918.428171	131036
32x16x32s2k1_k1_r2	wavefront	ok	1	289918.428171	131036
32x16x32s2k1_k1_r5	rotate	ok	1	289918.428171	131036
32x16x32s2k1_k1_r5	wavefront	ok	1	289918.428171	131036
32x16x32s2k1_k1_r5	chain	ok	1	289918.428171	131036
32x16x64s2k1_k1_r1	rotate	ok	1	289918.428171	131036
32x16x64s2k1_k1_r1	wavefront	ok	1	289918.428171	131036
32x16x64s2k1_k1_r2	rotate	ok	1	289918.428171	131036
32x16x64s2k1_k1_r2	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k2_r1	eft	ok	1	289918.428171	131036
32x16x16s2k1_k2_r1	rotate	ok	1	289918.428171	131036
32x16x16s2k1_k2_r1	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k2_r2	eft	ok	1	289918.428171	131036
32x16x16s2k1_k2_r2	rotate	ok	1	289918.428171	131036
32x16x16s2k1_k2_r2	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k2_r5	eft	ok	1	289918.428171	131036
32x16x16s2k1_k2_r5	rotate	ok	1	289918.428171	131036
32x16x16s2k1_k2_r5	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k2_r5	chain	ok	1	289918.428171	131036
32x16x32s2k1_k2_r1	eft	ok	1	289918.428171	131036
32x16x32s2k1_k2_r1	rotate	ok	1	289918.428171	131036
32x16x32s2k1_k2_r1	wavefront	ok	1	289918.428171	131036
32x16x32s2k1_k2_r2	eft	ok	1	289918.428171	131036
32x16x32s2k1_k2_r2	rotate	ok	1	289918.428171	131036
32x16x32s2k1_k2_r2	wavefront	ok	1	289918.428171	131036
32x16x32s2k1_k2_r5	eft	ok	1	289918.428171	131036
32x16x32s2k1_k2_r5	rotate	ok	1	289918.428171	131036
32x16x32s2k1_k2_r5	wavefront	ok	1	289918.428171	131036
32x16x32s2k1_k2_r5	chain	ok	1	289918.428171	131036
32x16x64s2k1_k2_r1	eft	ok	1	289918.428171	131036
32x16x64s2k1_k2_r1	rotate	ok	1	289918.428171	131036
32x16x64s2k1_k2_r1	wavefront	ok	1	289918.428171	131036
32x16x64s2k1_k2_r2	eft	ok	1	289918.428171	131036
32x16x64s2k1_k2_r2	rotate	ok	1	289918.428171	131036
32x16x64s2k1_k2_r2	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k4_r1	eft	ok	1	289918.428171	131036
32x16x16s2k1_k4_r1	rotate	ok	1	289918.428171	131036
32x16x16s2k1_k4_r1	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k4_r2	eft	ok	1	289918.428171	131036
32x16x16s2k1_k4_r2	rotate	ok	1	289918.428171	131036
32x16x16s2k1_k4_r2	wavefront	ok	1	289918.428171	131036
32x16x16s2k1_k4_r5	eft	ok	1	289918.428171	131036
32x16x16s2k1_k4_r5	rotate	ok	1	289918.428171	131036
