slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789564069291079680	1789564069291079680	1789564069291079680	1789564069291095040	1789564069291096064	0	0	0	0	48065840167064	48065840205032
1	0	1	0	0	1789564069291096064	1789564069291097088	1789564069291097088	1789564069291242496	1789564069291243520	0	63	0	1	48065840210524	48065840575069
2	0	4	0	0	1789564069291243520	1789564069291245568	1789564069291245568	1789564069291247616	1789564069291248640	63	1	3	1	48065840583998	48065840587494
3	0	4	256	0	1789564069291248640	1789564069291248640	1789564069291248640	1789564069291249664	1789564069291250688	64	0	3	1	48065840591272	48065840593378
4	0	4	512	0	1789564069291250688	1789564069291250688	1789564069291250688	1789564069291251712	1789564069291252736	64	0	3	1	48065840596453	48065840598572
5	0	4	768	0	1789564069291252736	1789564069291252736	1789564069291252736	1789564069291253760	1789564069291254784	64	0	3	1	48065840601591	48065840603651
6	0	4	1024	0	1789564069291254784	1789564069291254784	1789564069291254784	1789564069291255808	1789564069291256832	64	0	3	1	48065840606739	48065840608863
7	0	4	1280	0	1789564069291256832	1789564069291256832	1789564069291256832	1789564069291257856	1789564069291258880	64	0	3	1	48065840612057	48065840614058
8	0	4	1536	0	1789564069291258880	1789564069291258880	1789564069291258880	1789564069291259904	1789564069291260928	64	0	3	1	48065840617651	48065840619289
9	0	4	1792	0	1789564069291260928	1789564069291260928	1789564069291260928	1789564069291261952	1789564069291262976	64	0	3	1	48065840622438	48065840624526
10	0	4	2048	0	1789564069291262976	1789564069291262976	1789564069291262976	1789564069291264000	1789564069291265024	64	0	3	1	48065840627751	48065840629805
11	0	4	2304	0	1789564069291265024	1789564069291265024	1789564069291265024	1789564069291266048	1789564069291267072	64	0	3	1	48065840633046	48065840635062
12	0	4	2560	0	1789564069291267072	1789564069291267072	1789564069291267072	1789564069291268096	1789564069291269120	64	0	3	1	48065840638127	48065840640212
13	0	4	2816	0	1789564069291269120	1789564069291269120	1789564069291269120	1789564069291270144	1789564069291271168	64	0	3	1	48065840643321	48065840645438
14	0	4	3072	0	1789564069291271168	1789564069291271168	1789564069291271168	1789564069291272192	1789564069291273216	64	0	3	1	48065840648599	48065840650606
15	0	4	3328	0	1789564069291273216	1789564069291273216	1789564069291273216	1789564069291274240	1789564069291275264	64	0	3	1	48065840653656	48065840655702
16	0	4	3584	0	1789564069291275264	1789564069291275264	1789564069291275264	1789564069291276288	1789564069291277312	64	0	3	1	48065840658923	48065840660966
17	0	4	3840	0	1789564069291277312	1789564069291277312	1789564069291277312	1789564069291278336	1789564069291279360	64	0	3	1	48065840664053	48065840666155
18	0	5	0	0	1789564069291279360	1789564069291280384	1789564069291280384	1789564069291281408	1789564069291283456	64	1	4	1	48065840672262	48065840674818
19	0	5	256	0	1789564069291283456	1789564069291283456	1789564069291283456	1789564069291284480	1789564069291284480	65	0	4	1	48065840678344	48065840680445
20	0	5	512	0	1789564069291285504	1789564069291285504	1789564069291285504	1789564069291286528	1789564069291286528	65	0	4	1	48065840683478	48065840685543
21	0	5	768	0	1789564069291287552	1789564069291287552	1789564069291287552	1789564069291287552	1789564069291288576	65	0	4	1	48065840688589	48065840690643
22	0	7	0	0	1789564069291289600	1789564069291290624	1789564069291290624	1789564069291290624	1789564069291292672	65	1	6	1	48065840696093	48065840698113
23	0	7	256	0	1789564069291292672	1789564069291292672	1789564069291292672	1789564069291292672	1789564069291293696	66	0	6	1	48065840701608	48065840703101
24	0	7	512	0	1789564069291293696	1789564069291293696	1789564069291294720	1789564069291294720	1789564069291295744	66	0	6	1	48065840706354	48065840707863
25	0	7	768	0	1789564069291295744	1789564069291295744	1789564069291295744	1789564069291296768	1789564069291297792	66	0	6	1	48065840711115	48065840712640
26	0	6	0	0	1789564069291297792	1789564069291297792	1789564069291297792	1789564069291298816	1789564069291299840	66	0	5	1	48065840715905	48065840717697
27	0	6	256	0	1789564069291299840	1789564069291299840	1789564069291299840	1789564069291300864	1789564069291301888	66	0	5	1	48065840720967	48065840722475
28	0	6	512	0	1789564069291301888	1789564069291301888	1789564069291301888	1789564069291302912	1789564069291303936	66	0	5	1	48065840725779	48065840727287
29	0	6	768	0	1789564069291303936	1789564069291303936	1789564069291303936	1789564069291304960	1789564069291305984	66	0	5	1	48065840730547	48065840732072
30	0	8	0	0	1789564069291305984	1789564069291307008	1789564069291307008	1789564069291327488	1789564069291328512	66	2	7	3	48065840737742	48065840790423
31	0	8	256	0	1789564069291328512	1789564069291329536	1789564069291329536	1789564069291350016	1789564069291351040	68	0	7	3	48065840793900	48065840846133
32	0	8	512	0	1789564069291351040	1789564069291351040	1789564069291351040	1789564069291372544	1789564069291373568	68	0	7	3	48065840849357	48065840902615
33	0	8	768	0	1789564069291373568	1789564069291373568	1789564069291373568	1789564069291395072	1789564069291396096	68	0	7	3	48065840905795	48065840959821
34	0	8	1024	0	1789564069291396096	1789564069291396096	1789564069291396096	1789564069291417600	1789564069291418624	68	0	7	3	48065840962810	48065841016565
