stage	logical_stage	combine	task_ns	count
0	0	0	10240	4
1	1	0	13921	256
2	2	0	14382	64
3	3	0	13910	64
4	4	0	2048	128
5	5	0	2048	32
6	6	0	1024	32
7	7	0	1024	32
8	8	0	4240	128
9	9	0	16794	256
10	10	0	13312	4
11	11	0	22890.1	896
12	12	0	21837.3	896
13	13	0	30720	4
14	14	0	44629	256
15	15	0	13312	4
16	16	0	14011	256
17	17	0	14382	64
18	18	0	14208	64
19	19	0	1288	128
20	20	0	2048	32
21	21	0	1024	32
22	22	0	1024	32
23	23	0	5120	128
24	24	0	16791	256
25	25	0	13312	4
26	26	0	22953.9	896
27	27	0	21246.7	896
28	28	0	30976	4
29	29	0	44587.5	256
30	30	0	12288	4
31	31	0	14029.5	256
32	32	0	14158	64
33	33	0	14372	64
34	34	0	1544	128
35	35	0	2048	32
36	36	0	1024	32
37	37	0	1024	32
38	38	0	5120	128
39	39	0	16813.5	256
40	40	0	13312	4
41	41	0	21423.6	896
42	42	0	22978.3	896
43	43	0	32000	4
44	44	0	44504	256
45	45	0	13312	4
46	46	0	13976	256
47	47	0	13856	64
48	48	0	14240	64
49	49	0	2048	128
50	50	0	2048	32
51	51	0	1024	32
52	52	0	1056	32
53	53	0	5120	128
54	54	0	16735	256
55	55	0	13312	4
56	56	0	21678.3	896
57	57	0	22957.7	896
58	58	0	30720	4
59	59	0	44596.5	256
