m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_cp_ns	register_seed	key	placement	simulated	makespan_ns	floor_ns	cp_ns	queue_lb_ns	nodes	grid	grouping_model	source
32	128	16	2	8	1	2	ok	21149.46016969697	0.0	701482.7900009999	179579594.23999998	601878.6957142856	0	32x128x16s2k8_k1_r2	eft	1	1242361.58259	992802.418571	601878.695714	992802.418571	13552	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x16s2k8_k1_r2/eft.cu
32	128	32	2	8	1	2	ok	21149.46016969697	0.0	701482.7900009999	179579594.23999998	601878.6957142856	0	32x128x32s2k8_k1_r2	eft	1	1242361.58259	992802.418571	601878.695714	992802.418571	13552	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x32s2k8_k1_r2/eft.cu
32	128	64	2	8	1	2	ok	21149.46016969697	0.0	701482.7900009999	179579594.23999998	601878.6957142856	0	32x128x64s2k8_k1_r2	eft	1	1242361.58259	992802.418571	601878.695714	992802.418571	13552	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x64s2k8_k1_r2/eft.cu
32	128	16	2	8	2	2	ok	21149.46016969697	0.0	701482.7900019999	179579594.23999998	601878.6957142856	0	32x128x16s2k8_k2_r2	eft	1	1248225.76299	992802.418571	601878.695714	992802.418571	13552	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x16s2k8_k2_r2/eft.cu
32	128	32	2	8	2	2	ok	21149.46016969697	0.0	701482.7900019999	179579594.23999998	601878.6957142856	0	32x128x32s2k8_k2_r2	eft	1	1248225.76299	992802.418571	601878.695714	992802.418571	13552	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x32s2k8_k2_r2/eft.cu
32	128	64	2	8	2	2	ok	21149.46016969697	0.0	701482.7900019999	179579594.23999998	601878.6957142856	0	32x128x64s2k8_k2_r2	eft	1	1248225.76299	992802.418571	601878.695714	992802.418571	13552	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x64s2k8_k2_r2/eft.cu
32	128	16	2	8	4	2	ok	21149.46016969697	0.0	701482.790004	179579594.23999998	601878.6957142856	0	32x128x16s2k8_k4_r2	eft	1	1248225.76299	992802.418571	601878.695714	992802.418571	13552	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x16s2k8_k4_r2/eft.cu
32	128	32	2	8	4	2	ok	21149.46016969697	0.0	701482.790004	179579594.23999998	601878.6957142856	0	32x128x32s2k8_k4_r2	eft	1	1248225.76299	992802.418571	601878.695714	992802.418571	13552	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x32s2k8_k4_r2/eft.cu
32	128	64	2	8	4	2	ok	21149.46016969697	0.0	701482.790004	179579594.23999998	601878.6957142856	0	32x128x64s2k8_k4_r2	eft	1	1248225.76299	992802.418571	601878.695714	992802.418571	13552	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x64s2k8_k4_r2/eft.cu
32	128	64	2	4	1	2	ok	21149.46016969697	0.0	785632.7514295714	153800312.32	785632.7514285714	0	32x128x64s2k4_k1_r2	rotate	1	1339489.82649	785632.751429	785632.751429	780727.714286	8176	256	projected_events_and_sigma_lifting	/root/TileMega/docs/experiments/JOINT/raw/real_s4/plans/32x128x64s2k4_k1_r2/rotate.cu
