model	seq	placement	tile_m	tile_n	tile_k	split_k	operand_bytes	nodes	load_wait_mean_ns	load_wait_p50_ns	load_wait_p90_ns
gqa2	4	0	128	128	16	1	8192	64	288	0.0	1024
gqa2	4	5	128	128	16	1	8192	64	0	0.0	0
gqa2	128	0	128	128	16	1	8192	64	592	1024.0	1024
gqa2	128	5	128	128	16	1	8192	64	432	0.0	1024
mha4	4	0	128	128	16	1	8192	144	284.44444444444446	0.0	1024
mha4	4	5	128	128	16	1	8192	144	7.111111111111111	0.0	0
mha4	128	0	128	128	16	1	8192	144	504.8888888888889	0.0	1024
mha4	128	5	128	128	16	1	8192	144	327.1111111111111	0.0	1024
real	4	0	128	128	16	1	8192	1344	1227.4285714285713	1024.0	2048
real	4	5	128	128	16	1	8192	1344	2543.2380952380954	2048.0	4096
real	128	0	128	128	16	1	8192	1344	1211.4285714285713	1024.0	2048
real	128	5	128	128	16	1	8192	1344	2736.7619047619046	2048.0	5120
