slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789678802897438720	1789678802897438720	1789678802897438720	1789678802897442816	1789678802897443840	0	0	0	0	93241202437894	93241202447944
1	0	1	0	0	1789678802897443840	1789678802897444864	1789678802897444864	1789678802897448960	1789678802897449984	0	1	0	1	93241202454616	93241202465852
2	0	2	0	0	1789678802897449984	1789678802897451008	1789678802897451008	1789678802897453056	1789678802897454080	1	2	1	1	93241202471849	93241202475848
3	0	7	0	0	1789678802897454080	1789678802897455104	1789678802897455104	1789678802897456128	1789678802897457152	3	1	6	1	93241202482118	93241202484857
4	0	9	0	0	1789678802897457152	1789678802897458176	1789678802897458176	1789678802897459200	1789678802897460224	4	1	8	1	93241202490744	93241202492950
5	0	11	0	0	1789678802897460224	1789678802897461248	1789678802897461248	1789678802897465344	1789678802897466368	5	3	10	3	93241202499363	93241202510183
6	0	12	0	0	1789678802897466368	1789678802897467392	1789678802897467392	1789678802897471488	1789678802897472512	8	1	13	1	93241202515982	93241202525735
7	0	13	0	0	1789678802897472512	1789678802897473536	1789678802897473536	1789678802897474560	1789678802897475584	9	2	14	1	93241202531867	93241202536121
8	0	14	0	0	1789678802897475584	1789678802897477632	1789678802897477632	1789678802897479680	1789678802897480704	11	8	15	1	93241202542818	93241202548450
9	0	15	0	0	1789678802897480704	1789678802897480704	1789678802897481728	1789678802897485824	1789678802897486848	19	1	16	1	93241202553816	93241202565101
10	0	17	0	0	1789678802897486848	1789678802897486848	1789678802897486848	1789678802897490944	1789678802897491968	20	0	18	1	93241202568740	93241202579175
11	0	16	0	0	1789678802897491968	1789678802897492992	1789678802897492992	1789678802897495040	1789678802897496064	20	2	17	1	93241202586296	93241202590204
12	0	19	0	0	1789678802897496064	1789678802897497088	1789678802897497088	1789678802897500160	1789678802897501184	22	32	20	2	93241202597417	93241202605065
13	0	20	0	0	1789678802897501184	1789678802897502208	1789678802897502208	1789678802897506304	1789678802897507328	54	1	22	2	93241202611208	93241202620963
