slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789681848215351296	1789681848215351296	1789681848215351296	1789681848215353344	1789681848215354368	0	0	0	0	94716449350866	94716449356044
1	0	2	0	0	1789681848215354368	1789681848215355392	1789681848215355392	1789681848215367680	1789681848215368704	0	16	1	1	94716449361840	94716449391197
2	0	5	0	0	1789681848215368704	1789681848215369728	1789681848215370752	1789681848215370752	1789681848215371776	16	1	4	1	94716449397843	94716449400002
3	0	4	128	0	1789681848215371776	1789681848215372800	1789681848215373824	1789681848215374848	1789681848215375872	17	1	3	1	94716449405666	94716449408376
4	0	7	384	0	1789681848215375872	1789681848215376896	1789681848215376896	1789681848215377920	1789681848215378944	18	1	6	1	94716449414407	94716449416248
5	0	8	0	0	1789681848215378944	1789681848215382016	1789681848215382016	1789681848215408640	1789681848215409664	19	3	7	3	94716449426831	94716449494161
6	0	9	0	0	1789681848215409664	1789681848215413760	1789681848215413760	1789681848215425024	1789681848215426048	22	64	10	1	94716449505880	94716449535791
7	0	10	0	0	1789681848215426048	1789681848215427072	1789681848215428096	1789681848215430144	1789681848215431168	86	16	11	1	94716449542363	94716449547910
8	0	11	0	0	1789681848215431168	1789681848215432192	1789681848215432192	1789681848215443456	1789681848215444480	102	16	12	1	94716449554006	94716449581487
9	0	13	0	0	1789681848215444480	1789681848215447552	1789681848215448576	1789681848215451648	1789681848215452672	118	64	14	2	94716449593512	94716449601014
10	0	14	0	0	1789681848215452672	1789681848215453696	1789681848215453696	1789681848215472128	1789681848215473152	182	16	16	2	94716449606674	94716449653067
11	0	15	0	0	1789681848215473152	1789681848215474176	1789681848215474176	1789681848215476224	1789681848215478272	198	16	18	1	94716449659559	94716449665221
12	0	17	0	0	1789681848215478272	1789681848215478272	1789681848215479296	1789681848215488512	1789681848215489536	214	16	20	1	94716449670683	94716449695386
13	0	20	0	0	1789681848215489536	1789681848215494656	1789681848215494656	1789681848215495680	1789681848215496704	230	1	23	1	94716449709749	94716449712607
14	0	19	128	0	1789681848215496704	1789681848215497728	1789681848215497728	1789681848215499776	1789681848215500800	231	1	22	1	94716449719423	94716449722117
15	0	21	0	0	1789681848215500800	1789681848215501824	1789681848215501824	1789681848215501824	1789681848215503872	232	1	24	1	94716449727577	94716449729790
16	0	23	0	0	1789681848215503872	1789681848215506944	1789681848215506944	1789681848215533568	1789681848215534592	233	3	26	3	94716449741044	94716449808104
17	0	24	0	0	1789681848215534592	1789681848215537664	1789681848215537664	1789681848215550976	1789681848215552000	236	64	29	2	94716449819345	94716449852499
18	0	25	0	0	1789681848215552000	1789681848215554048	1789681848215554048	1789681848215556096	1789681848215557120	300	16	31	1	94716449859344	94716449864870
19	0	26	0	0	1789681848215557120	1789681848215558144	1789681848215558144	1789681848215569408	1789681848215570432	316	16	32	1	94716449870766	94716449898622
20	0	28	0	0	1789681848215570432	1789681848215573504	1789681848215573504	1789681848215576576	1789681848215577600	332	64	34	2	94716449908858	94716449917152
21	0	29	0	0	1789681848215577600	1789681848215578624	1789681848215578624	1789681848215598080	1789681848215599104	396	16	36	2	94716449922713	94716449971110
22	0	30	0	0	1789681848215599104	1789681848215601152	1789681848215601152	1789681848215603200	1789681848215605248	412	16	38	1	94716449978910	94716449984381
