candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
128x128x16s3split8kappa1r1	eft	ok	3.98963e+06	914032	3.98963e+06	4.92096e+06	128	1
128x128x16s3split8kappa1r1	wavefront	ok	3.99611e+06	914032	3.98969e+06	4.49014e+06	128	1
128x128x16s3split8kappa1r1	chain	ok	4.10009e+06	914032	4.03135e+06	5.03641e+06	128	1
128x128x16s3split8kappa1r1	rotate	ok	4.10114e+06	914032	3.98823e+06	4.60936e+06	128	1
128x128x16s3split8kappa1r1	legacy_grid_stride	ok	4.12518e+06	914032	4.11876e+06	4.66599e+06	128	1
128x128x16s3split8kappa1r1	balanced	ok	7.63087e+07	914032	1.6282e+07	8.27609e+07	128	1
128x128x16s3split8kappa1r2	eft	ok	2.10059e+06	914032	2.10049e+06	2.67347e+06	256	1
128x128x16s3split8kappa1r2	wavefront	ok	2.11839e+06	914032	2.1109e+06	2.45993e+06	256	1
128x128x16s3split8kappa1r2	rotate	ok	2.24251e+06	914032	2.01258e+06	2.6117e+06	256	1
128x128x16s3split8kappa1r2	chain	ok	2.40045e+06	914032	2.0537e+06	2.97987e+06	256	1
128x128x16s3split8kappa1r2	legacy_grid_stride	ok	2.4328e+06	914032	2.42531e+06	2.82688e+06	256	1
128x128x16s3split8kappa1r2	balanced	ok	3.94054e+07	914032	9.13423e+06	4.27073e+07	256	1
128x128x16s3split8kappa2r1	eft	ok	3.98963e+06	914032	3.98963e+06	4.92802e+06	128	2
128x128x16s3split8kappa2r1	wavefront	ok	3.99611e+06	914032	3.98969e+06	4.93725e+06	128	2
128x128x16s3split8kappa2r1	chain	ok	4.10009e+06	914032	4.03135e+06	5.04347e+06	128	2
128x128x16s3split8kappa2r1	rotate	ok	4.10114e+06	914032	3.98823e+06	5.05646e+06	128	2
128x128x16s3split8kappa2r1	legacy_grid_stride	ok	4.12518e+06	914032	4.11876e+06	5.11309e+06	128	2
128x128x16s3split8kappa2r1	balanced	ok	7.63237e+07	914032	1.6282e+07	8.29714e+07	128	2
128x128x16s3split8kappa2r2	eft	ok	2.10059e+06	914032	2.10049e+06	2.67347e+06	256	2
128x128x16s3split8kappa2r2	wavefront	ok	2.11839e+06	914032	2.1109e+06	2.67995e+06	256	2
128x128x16s3split8kappa2r2	rotate	ok	2.24251e+06	914032	2.01258e+06	2.83172e+06	256	2
128x128x16s3split8kappa2r2	chain	ok	2.40045e+06	914032	2.0537e+06	2.98338e+06	256	2
128x128x16s3split8kappa2r2	legacy_grid_stride	ok	2.4328e+06	914032	2.42531e+06	3.0469e+06	256	2
128x128x16s3split8kappa2r2	balanced	ok	3.94054e+07	914032	9.13423e+06	4.31183e+07	256	2
128x128x16s3split8kappa4r1	eft	ok	3.98963e+06	914032	3.98963e+06	4.92802e+06	128	4
128x128x16s3split8kappa4r1	wavefront	ok	3.99611e+06	914032	3.98969e+06	4.93725e+06	128	4
128x128x16s3split8kappa4r1	chain	ok	4.10009e+06	914032	4.03135e+06	5.04347e+06	128	4
128x128x16s3split8kappa4r1	rotate	ok	4.10114e+06	914032	3.98823e+06	5.05646e+06	128	4
