model	seq	candidate	prepare_us	coarse_us	full_us	coarse_ns	full_ns	binding_cp_ns	semantic_cp_ns	queue_lb_ns
gqa2	4	legacy_grid_stride	146.17	29.901	85.498	290581.654673	310635.060112	290581.654673	179816.851731	290581.654673
gqa2	4	rotate	146.17	21.013	74.051	179816.851731	203289.67595	179816.851731	179816.851731	30235.10336
gqa2	4	balanced	146.17	31.646	70.183	360378.428128	380431.833566	360378.428128	179816.851731	206712.317084
gqa2	4	band	146.17	23.385	54.395	290581.654673	310635.060112	290581.654673	179816.851731	290581.654673
gqa2	4	wavefront	146.17	19.798	55.607	179816.851731	203289.67595	179816.851731	179816.851731	179816.851731
gqa2	128	legacy_grid_stride	7195.501	110.32	315.409	295639.065365	315218.173214	295639.065365	181406.595336	295639.065365
gqa2	128	rotate	7195.501	80.5	281.63	185816.447345	206818.447962	185816.447345	181406.595336	42169.6178771
gqa2	128	balanced	7195.501	86.179	292.657	298786.728541	322259.55276	298786.728541	181406.595336	87233.8362744
gqa2	128	band	7195.501	80.123	283.334	295639.065365	315218.173214	295639.065365	181406.595336	295639.065365
gqa2	128	wavefront	7195.501	79.174	275.599	185816.447345	206818.447962	185816.447345	181406.595336	185816.447345
gqa2	512	legacy_grid_stride	37597.206	398.686	999.009	367238.11654	381223.375945	367238.11654	186329.6723	367238.11654
gqa2	512	rotate	37597.206	431.06	1037.022	257415.49852	273871.581527	257415.49852	186329.6723	117357.77714
gqa2	512	balanced	37597.206	348.691	1022.938	639620.795169	660622.795786	639620.795169	186329.6723	214310.542843
gqa2	512	band	37597.206	337.545	1072.563	367238.11654	385769.293555	367238.11654	186329.6723	367238.11654
gqa2	512	wavefront	37597.206	329.318	950.643	257415.49852	273871.581527	257415.49852	186329.6723	257415.49852
mha4	4	legacy_grid_stride	88.67	14.316	37.992	581163.309347	622505.532025	581163.309347	359633.703463	581163.309347
mha4	4	rotate	88.67	10.204	35.555	359633.703463	407814.763702	359633.703463	359633.703463	60470.20672
mha4	4	balanced	88.67	13.612	29.753	710713.901792	749011.667623	710713.901792	359633.703463	317164.778064
mha4	4	band	88.67	9.13	27.423	581163.309347	622505.532025	581163.309347	359633.703463	581163.309347
mha4	4	wavefront	88.67	10.078	29.268	359633.703463	407814.763702	359633.703463	359633.703463	359633.703463
mha4	128	legacy_grid_stride	9958.839	234.891	625.146	594098.27524	633543.307561	594098.27524	362813.190672	594098.27524
mha4	128	rotate	9958.839	279.64	655.208	374453.0392	417692.452235	374453.0392	362813.190672	73643.4130818
mha4	128	balanced	9958.839	221.48	655.363	1191091.29663	1235566.12147	1191091.29663	362813.190672	171415.280588
mha4	128	band	9958.839	196.764	621.083	594098.27524	633543.307561	594098.27524	362813.190672	594098.27524
mha4	128	wavefront	9958.839	196.281	604.705	374453.0392	417692.452235	374453.0392	362813.190672	374453.0392
mha4	512	legacy_grid_stride	151154.082	1376.246	3272.438	1111931.57044	1138871.57937	1111931.57044	509781.721561	1111931.57044
mha4	512	rotate	151154.082	1233.569	3104.385	824787.843515	856669.499655	824787.843515	509781.721561	461046.848895
mha4	512	balanced	151154.082	1125.599	2898.352	5167787.02465	5208555.61408	5167787.02465	509781.721561	1527300.69867
mha4	512	band	151154.082	1145.565	3197.187	1111931.57044	1150229.33627	1111931.57044	509781.721561	1111931.57044
mha4	512	wavefront	151154.082	1122.044	2895.32	824787.843515	856669.499655	824787.843515	509781.721561	824787.843515
real	4	legacy_grid_stride	507.974	50.888	160.404	5439915.22133	5481051.46644	5439915.22133	3718801.46048	5439915.22133
real	4	rotate	507.974	42.611	136.025	3718801.46048	3766982.52072	3718801.46048	3718801.46048	1204185.1693
real	4	balanced	507.974	46.436	145.159	47721972.1221	47760269.8879	47721972.1221	3718801.46048	8027422.59828
real	4	band	507.974	40.741	143.005	5439915.22133	5481051.46644	5439915.22133	3718801.46048	5439915.22133
real	4	wavefront	507.974	39.416	139.745	3718801.46048	3766982.52072	3718801.46048	3718801.46048	3718801.46048
real	128	legacy_grid_stride	156513.216	1592.085	3511.283	5647690.39915	5685988.16498	5647690.39915	3727083.89231	5647690.39915
real	128	rotate	156513.216	1382.723	3277.114	3928648.80355	3971888.21658	3928648.80355	3727083.89231	1583209.67303
real	128	balanced	156513.216	1324.697	3155.499	11932035.5794	11975274.9924	11932035.5794	3727083.89231	4309624.2344
real	128	band	156513.216	1339.02	3563.019	5647690.39915	5685988.16498	5647690.39915	3727083.89231	5647690.39915
real	128	wavefront	156513.216	1348.732	3162.442	3928648.80355	3971888.21658	3928648.80355	3727083.89231	3928648.80355
