tile_m	tile_n	tile_k	stages	split_k	l05_ms	l1_ms	l2_ms	status	l05_hash	smem	ctas_per_sm	grid
128	128	16	3	1	1.112064	1.084608	1.119232	25/25	5245714bc5d3ab4d	49536	1	128
16	64	16	2	16	0.188288	0.167136	0.185344	25/25	8a737188b958a2ae	10496	2	256
16	64	16	3	16	0.187520	0.166912	0.185344	25/25	8a737188b958a2ae	15744	2	256
16	64	16	4	16	0.192352	0.162816	0.171008	25/25	8a737188b958a2ae	20992	2	256
16	64	16	5	16	0.187392	0.166912	0.188384	25/25	8a737188b958a2ae	26240	2	256
16	64	32	2	16	0.189440	0.167936	0.189440	25/25	8a737188b958a2ae	20992	2	256
16	64	32	3	16	0.197632	0.173056	0.190464	25/25	8a737188b958a2ae	31488	2	256
16	64	32	5	16	0.189696	0.161792	0.194560	25/25	8a737188b958a2ae	52480	1	128
32	32	16	3	16	0.198656	0.184320	0.196608	25/25	8a737188b958a2ae	12672	2	256
32	32	16	3	8	0.205824	0.167936	0.200704	25/25	b37a2e7f0ec44cb5	12672	2	256
32	32	16	4	8	0.199680	0.168896	0.199680	25/25	b37a2e7f0ec44cb5	16896	2	256
32	32	16	5	8	0.201504	0.171008	0.201728	25/25	b37a2e7f0ec44cb5	21120	2	256
32	32	32	2	8	0.189440	0.165984	0.199680	25/25	b37a2e7f0ec44cb5	16896	2	256
32	32	32	3	8	0.199680	0.171008	0.200768	25/25	b37a2e7f0ec44cb5	25344	2	256
32	32	32	4	8	0.201728	0.169984	0.201696	25/25	b37a2e7f0ec44cb5	33792	2	256
