slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789549936087757824	1789549936087757824	1789549936087757824	1789549936087759872	1789549936087760896	0	0	0	0	32517396468606	32517396473866
1	1	0	1	2	1789549936087757824	1789549936087757824	1789549936087757824	1789549936087759872	1789549936087760896	0	0	0	0	32527749603613	32527749608936
2	2	0	2	4	1789549936087757824	1789549936087757824	1789549936087757824	1789549936087759872	1789549936087760896	0	0	0	0	32517011866841	32517011871949
3	3	0	3	6	1789549936087757824	1789549936087757824	1789549936087757824	1789549936087759872	1789549936087760896	0	0	0	0	32518434670819	32518434675776
4	4	2	0	8	1789549936087757824	1789549936087761920	1789549936087761920	1789549936087783424	1789549936087784448	0	4	1	1	32525376960869	32525377013817
5	5	2	1	10	1789549936087757824	1789549936087761920	1789549936087761920	1789549936087783424	1789549936087784448	4	4	1	1	32499461789332	32499461842319
6	6	1	0	12	1789549936087757824	1789549936087761920	1789549936087761920	1789549936087782400	1789549936087784448	8	4	0	1	32514560956285	32514561008151
7	7	1	1	14	1789549936087757824	1789549936087761920	1789549936087761920	1789549936087783424	1789549936087784448	12	4	0	1	32520791819318	32520791872239
8	8	1	2	16	1789549936087757824	1789549936087761920	1789549936087761920	1789549936087783424	1789549936087784448	16	4	0	1	32486439094542	32486439147271
9	9	1	3	18	1789549936087757824	1789549936087761920	1789549936087761920	1789549936087783424	1789549936087784448	20	4	0	1	32510664541417	32510664594490
10	10	3	0	20	1789549936087757824	1789549936087761920	1789549936087761920	1789549936087783424	1789549936087784448	24	4	2	1	32520816741695	32520816794490
11	11	3	1	22	1789549936087757824	1789549936087761920	1789549936087761920	1789549936087782400	1789549936087784448	28	4	2	1	32517396479228	32517396531247
12	12	5	0	24	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087788544	32	1	4	1	32527749673301	32527749675908
13	13	5	1	26	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	33	1	4	1	32517011936614	32517011939124
14	14	5	2	28	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	34	1	4	1	32518434740586	32518434743020
15	15	5	3	30	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	35	1	4	1	32525377020061	32525377022580
16	16	5	4	32	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	36	1	4	1	32499461848452	32499461851033
17	17	5	5	34	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	37	1	4	1	32514561015321	32514561017889
18	18	5	6	36	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	38	1	4	1	32520791878517	32520791881027
19	19	5	7	38	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	39	1	4	1	32486439153677	32486439156081
20	20	4	0	40	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	40	1	3	1	32510664600613	32510664602939
21	21	4	1	42	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	41	1	3	1	32520816800893	32520816803303
22	22	4	2	44	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	42	1	3	1	32517396538279	32517396540763
23	23	4	3	46	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	43	1	3	1	32527749673273	32527749675775
24	24	4	4	48	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	44	1	3	1	32517011936584	32517011939009
25	25	4	5	50	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	45	1	3	1	32518434740560	32518434742912
26	26	4	6	52	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	46	1	3	1	32525377020027	32525377022464
27	27	4	7	54	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	47	1	3	1	32499461848425	32499461850933
28	28	4	8	56	1789549936087757824	1789549936087785472	1789549936087785472	1789549936087786496	1789549936087787520	48	1	3	1	32514561015299	32514561017788
