slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
0	0	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1402	0	2371	2028	1843	185	5801
1	2	0	0	1	128	128	16	1	8192	1024	0	17408	4096	4096	0	22528	2298	1159	48640	10102	9670	432	62199
2	1	0	0	0	128	128	16	1	8192	0	1024	17408	3072	3072	0	21504	2206	1183	48647	9814	9130	684	61850
3	3	0	0	0	128	128	16	1	8192	1024	1024	17408	4096	4096	0	23552	2314	1194	49272	10539	9970	569	63319
4	5	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1322	0	1832	222	30	192	3376
5	4	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1255	0	1806	460	30	430	3521
6	4	256	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1334	0	1493	217	30	187	3044
7	7	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1087	0	902	217	30	187	2206
8	6	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1319	0	922	217	30	187	2458
9	8	0	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1755	0	55272	234	32	202	57261
10	8	256	5	0	0	0	0	1	0	1024	0	18432	0	0	0	19456	2834	0	48907	217	30	187	51958
11	9	0	0	1	128	128	16	1	8192	1024	0	18432	11264	11264	0	30720	2324	1133	49067	32840	32409	431	85364
12	10	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1345	0	2291	2056	1868	188	5692
13	11	0	0	1	128	128	16	1	8192	1024	0	17408	4096	4096	0	22528	2321	1148	47325	10413	9981	432	61207
