slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
0	0	0	1	1	0	0	0	1	0	1024	0	1024	1024	0	1024	3072	1360	0	2448	2057	1862	195	5865
1	5	116	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1311	0	1824	215	30	185	3350
2	5	372	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1303	0	1811	215	30	185	3329
3	4	116	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1296	0	1825	210	30	180	3331
4	4	372	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1297	0	1800	217	30	187	3314
5	7	116	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1360	0	966	216	30	186	2542
6	7	372	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1173	0	733	219	30	189	2125
7	6	116	3	0	0	0	0	1	0	0	0	0	1024	1024	0	1024	1123	0	947	221	30	191	2291
8	6	372	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1160	0	678	211	30	181	2049
9	8	116	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1819	0	58280	1485	188	1297	61584
10	8	372	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	3623	0	46730	217	30	187	50570
11	10	112	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1267	0	2297	2634	2446	188	6198
12	15	92	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1325	0	2368	1951	1764	187	5644
13	20	208	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1326	0	1543	217	30	187	3086
14	20	464	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1329	0	1521	217	32	185	3067
15	19	208	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1337	0	1498	215	30	185	3050
16	19	464	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1337	0	1514	219	32	187	3070
17	22	208	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1344	0	1251	215	30	185	2810
18	22	464	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1214	0	692	215	30	185	2121
19	21	208	3	0	0	0	0	1	0	0	0	0	0	0	0	0	955	0	805	215	30	185	1975
20	21	464	3	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	825	0	968	221	32	189	2014
21	23	208	5	0	0	0	0	1	0	0	0	17408	1024	0	1024	18432	1799	0	48446	217	30	187	50462
22	23	464	5	0	0	0	0	1	0	1024	0	18432	0	0	0	19456	1701	0	50812	460	30	430	52973
23	28	60	4	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1366	0	6530	218	30	188	8114
24	35	44	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1317	0	1832	211	30	181	3360
25	35	300	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1340	0	1777	212	30	182	3329
26	34	44	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1310	0	1805	215	30	185	3330
27	34	300	2	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1322	0	1803	215	30	185	3340
28	37	44	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1363	0	1250	227	32	195	2840
29	37	300	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1164	0	720	217	30	187	2101
30	36	44	3	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	1143	0	912	217	30	187	2272
31	36	300	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1156	0	713	220	30	190	2089
32	38	44	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1819	0	56455	1325	134	1191	59599
33	38	300	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	3794	0	47445	217	30	187	51456
34	40	40	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1337	0	2349	2058	1870	188	5744
35	45	20	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1251	0	2370	2131	1943	188	5752
36	50	136	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1290	0	1817	215	30	185	3322
37	50	392	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1300	0	1819	215	30	185	3334
38	49	136	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1294	0	1784	216	30	186	3294
39	49	392	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1313	0	1760	215	30	185	3288
40	52	136	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1348	0	952	215	30	185	2515
41	52	392	3	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	1162	0	727	222	30	192	2111
42	51	136	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1334	0	1264	218	32	186	2816
43	51	392	3	0	0	0	0	1	0	0	0	0	0	0	0	0	910	0	700	226	30	196	1836
44	53	136	5	0	0	0	0	1	0	0	0	17408	0	0	0	17408	1805	0	48195	215	30	185	50215
45	53	392	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	1690	0	48900	218	30	188	50808
46	56	4	0	0	128	128	16	1	8192	1024	1024	16384	4096	4096	0	22528	2382	1159	46946	10455	10024	431	60942
47	0	1	1	0	0	0	0	1	0	1024	0	1024	1024	0	1024	3072	1365	0	2380	2043	1852	191	5788
48	5	117	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1382	0	1578	217	30	187	3177
49	5	373	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1300	0	1813	215	30	185	3328
50	4	117	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1292	0	1791	215	30	185	3298
51	4	373	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1288	0	1815	211	30	181	3314
52	7	117	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1339	0	975	215	30	185	2529
53	7	373	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	931	0	809	218	30	188	1958
54	6	117	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1183	0	823	217	30	187	2223
55	6	373	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1181	0	718	217	32	185	2116
56	8	117	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1808	0	58639	1504	176	1328	61951
57	8	373	5	0	0	0	0	1	0	1024	0	16384	0	0	0	17408	2377	0	45888	220	30	190	48485
58	10	113	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1268	0	2282	2657	2469	188	6207
59	15	93	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1336	0	2317	2030	1843	187	5683
60	20	209	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1274	0	1816	218	30	188	3308
61	20	465	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1281	0	1560	215	30	185	3056
62	19	209	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1330	0	1510	215	30	185	3055
63	19	465	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1316	0	1512	215	30	185	3043
64	22	209	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1376	0	1196	219	30	189	2791
