event_index	stage	group	fanin	publish_ns
0	0	4294967295	0	0
1	1	4294967295	0	0
2	2	4294967295	0	0
3	3	4294967295	0	0
4	4	4294967295	0	0
5	5	4294967295	0	0
6	6	4294967295	0	0
7	7	4294967295	0	0
8	8	4294967295	0	0
9	9	4294967295	0	0
10	10	4294967295	0	0
11	11	4294967295	0	0
12	12	4294967295	0	0
13	13	4294967295	0	0
14	14	4294967295	0	0
15	15	4294967295	0	0
16	16	4294967295	0	0
17	17	4294967295	0	0
18	18	4294967295	0	0
19	19	4294967295	0	0
20	20	4294967295	0	0
21	21	4294967295	0	0
22	22	4294967295	0	0
23	23	4294967295	0	0
24	24	4294967295	0	0
25	25	4294967295	0	0
26	26	4294967295	0	0
27	27	4294967295	0	0
28	28	4294967295	0	0
29	29	4294967295	0	0
30	30	4294967295	0	0
31	31	4294967295	0	0
32	32	4294967295	0	0
33	33	4294967295	0	0
34	34	4294967295	0	0
35	35	4294967295	0	0
36	36	4294967295	0	0
37	37	4294967295	0	0
38	38	4294967295	0	0
39	39	4294967295	0	0
40	40	4294967295	0	0
41	41	4294967295	0	0
42	42	4294967295	0	0
43	43	4294967295	0	0
44	44	4294967295	0	0
45	45	4294967295	0	0
46	46	4294967295	0	0
47	47	4294967295	0	0
48	48	4294967295	0	0
49	49	4294967295	0	0
50	50	4294967295	0	0
51	51	4294967295	0	0
52	52	4294967295	0	0
53	53	4294967295	0	0
54	54	4294967295	0	0
55	55	4294967295	0	0
56	56	4294967295	0	0
57	57	4294967295	0	0
58	58	4294967295	0	0
59	59	4294967295	0	0
60	0	0	1	0
61	0	1	1	0
62	0	2	1	0
63	0	3	1	0
64	1	4294967295	32	0
65	2	4294967295	8	0
66	3	4294967295	8	0
67	4	0	1	0
68	4	1	1	0
69	4	2	1	0
70	4	3	1	0
71	4	4	1	0
72	4	5	1	0
73	4	6	1	0
74	4	7	1	0
75	4	8	1	0
76	4	9	1	0
77	4	10	1	0
78	4	11	1	0
79	4	12	1	0
80	4	13	1	0
81	4	14	1	0
82	4	15	1	0
83	4	16	1	0
84	4	17	1	0
85	4	18	1	0
86	4	19	1	0
87	4	20	1	0
88	4	21	1	0
89	4	22	1	0
90	4	23	1	0
91	4	24	1	0
92	4	25	1	0
93	4	26	1	0
94	4	27	1	0
95	4	28	1	0
96	4	29	1	0
97	4	30	1	0
98	4	31	1	0
99	4	32	1	0
100	4	33	1	0
101	4	34	1	0
102	4	35	1	0
103	4	36	1	0
104	4	37	1	0
105	4	38	1	0
106	4	39	1	0
107	4	40	1	0
108	4	41	1	0
109	4	42	1	0
110	4	43	1	0
111	4	44	1	0
112	4	45	1	0
113	4	46	1	0
114	4	47	1	0
115	4	48	1	0
116	4	49	1	0
117	4	50	1	0
118	4	51	1	0
119	4	52	1	0
120	4	53	1	0
121	4	54	1	0
122	4	55	1	0
123	4	56	1	0
124	4	57	1	0
125	4	58	1	0
126	4	59	1	0
127	4	60	1	0
128	4	61	1	0
129	4	62	1	0
130	4	63	1	0
131	4	64	1	0
132	4	65	1	0
133	4	66	1	0
134	4	67	1	0
135	4	68	1	0
136	4	69	1	0
137	4	70	1	0
138	4	71	1	0
139	4	72	1	0
140	4	73	1	0
141	4	74	1	0
142	4	75	1	0
143	4	76	1	0
144	4	77	1	0
145	4	78	1	0
146	4	79	1	0
147	4	80	1	0
148	4	81	1	0
149	4	82	1	0
150	4	83	1	0
151	4	84	1	0
152	4	85	1	0
153	4	86	1	0
154	4	87	1	0
155	4	88	1	0
156	4	89	1	0
157	4	90	1	0
158	4	91	1	0
159	4	92	1	0
160	4	93	1	0
161	4	94	1	0
162	4	95	1	0
163	4	96	1	0
164	4	97	1	0
165	4	98	1	0
166	4	99	1	0
167	4	100	1	0
168	4	101	1	0
169	4	102	1	0
170	4	103	1	0
171	4	104	1	0
172	4	105	1	0
173	4	106	1	0
174	4	107	1	0
175	4	108	1	0
176	4	109	1	0
177	4	110	1	0
178	4	111	1	0
179	4	112	1	0
180	4	113	1	0
181	4	114	1	0
182	4	115	1	0
183	4	116	1	0
184	4	117	1	0
185	4	118	1	0
186	4	119	1	0
187	4	120	1	0
188	4	121	1	0
189	4	122	1	0
