slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794413215142912	1094516660434	1789794413215143936	1094516661585	1789794413215143936	1094516661585	1789794413215144960	1094516664798	1789794413215145984	1094516666503	1789794413215145984	1094516666652	0	0	0	0	90	8
1	0	32	16	32	1	3072	1789794413215148032	1094516671979	1789794413215149056	1094516674299	1789794413215149056	1094516675221	1789794413215156224	1094516693903	1789794413215157248	1094516696133	1789794413215157248	1094516696364	1094516675308	1094516693765	5811	16	0	0
2	2	0	0	0	1	0	1789794413215160320	1094516702845	1789794413215160320	1094516704257	1789794413215160320	1094516704257	1789794413215161344	1094516706025	1789794413215161344	1094516706057	1789794413215161344	1094516706405	0	0	0	0	0	0
3	3	0	0	0	1	0	1789794413215163392	1094516709838	1789794413215163392	1094516710948	1789794413215163392	1094516710948	1789794413215163392	1094516711967	1789794413215163392	1094516711999	1789794413215164416	1094516712415	0	0	0	0	0	0
4	5	0	0	0	1	0	1789794413215167488	1094516722638	1789794413215168512	1094516724445	1789794413215168512	1094516724445	1789794413215194112	1094516787543	1789794413215194112	1094516787598	1789794413215194112	1094516787728	0	0	0	0	132	2
5	0	32	16	32	1	3072	1789794413215200256	1094516804189	1789794413215201280	1094516807184	1789794413215202304	1094516809025	1789794413215213568	1094516837241	1789794413215214592	1094516840998	1789794413215215616	1094516841167	1094516809051	1094516837084	11997	16	0	0
6	1	0	0	0	1	0	1789794413215219712	1094516851547	1789794413215219712	1094516852622	1789794413215219712	1094516852622	1789794413215220736	1094516856257	1789794413215221760	1094516857229	1789794413215221760	1094516857370	0	0	0	0	102	8
7	0	32	16	32	1	3072	1789794413215224832	1094516864612	1789794413215224832	1094516866821	1789794413215225856	1094516867682	1789794413215234048	1094516888760	1789794413215235072	1094516891317	1789794413215235072	1094516891458	1094516868835	1094516888528	7013	16	0	0
8	4	0	0	0	1	0	1789794413215244288	1094516914779	1789794413215244288	1094516915511	1789794413215244288	1094516915511	1789794413215247360	1094516922250	1789794413215247360	1094516922280	1789794413215247360	1094516922415	0	0	0	0	0	0
9	0	32	16	32	1	3072	1789794413215249408	1094516928559	1789794413215250432	1094516930838	1789794413215251456	1094516931733	1789794413215265792	1094516967946	1789794413215266816	1094516971644	1789794413215266816	1094516971828	1094516931796	1094516967810	15777	32	0	0
10	1	0	0	0	1	0	1789794413215270912	1094516980336	1789794413215270912	1094516981535	1789794413215270912	1094516981535	1789794413215271936	1094516984886	1789794413215272960	1094516986947	1789794413215272960	1094516987086	0	0	0	0	94	8
11	0	32	16	32	1	3072	1789794413215275008	1094516992876	1789794413215276032	1094516995127	1789794413215277056	1094516996048	1789794413215283200	1094517013107	1789794413215284224	1094517015433	1789794413215284224	1094517015658	1094516996091	1094517012931	6697	16	0	0
12	2	0	0	0	1	0	1789794413215289344	1094517028341	1789794413215290368	1094517029679	1789794413215290368	1094517029679	1789794413215290368	1094517031625	1789794413215290368	1094517031655	1789794413215291392	1094517032218	0	0	0	0	0	0
13	3	0	0	0	1	0	1789794413215292416	1094517036371	1789794413215293440	1094517037823	1789794413215293440	1094517037823	1789794413215293440	1094517039144	1789794413215293440	1094517039202	1789794413215293440	1094517039342	0	0	0	0	0	0
14	5	0	0	0	1	0	1789794413215298560	1094517050179	1789794413215298560	1094517052236	1789794413215298560	1094517052236	1789794413215324160	1094517115593	1789794413215324160	1094517115623	1789794413215324160	1094517115753	0	0	0	0	55	2
15	0	32	16	32	1	3072	1789794413215330304	1094517130951	1789794413215331328	1094517134223	1789794413215332352	1094517135167	1789794413215340544	1094517156988	1789794413215342592	1094517160686	1789794413215342592	1094517160823	1094517135436	1094517156825	11591	16	0	0
16	1	0	0	0	1	0	1789794413215345664	1094517168415	1789794413215345664	1094517169984	1789794413215345664	1094517169984	1789794413215347712	1094517173474	1789794413215347712	1094517175215	1789794413215347712	1094517175354	0	0	0	0	90	8
17	0	32	16	32	1	3072	1789794413215351808	1094517184245	1789794413215351808	1094517185679	1789794413215352832	1094517186603	1789794413215360000	1094517204633	1789794413215361024	1094517207820	1789794413215361024	1094517207951	1094517186825	1094517204429	7677	16	0	0
18	4	0	0	0	1	0	1789794413215368192	1094517226794	1789794413215369216	1094517228180	1789794413215369216	1094517228180	1789794413215371264	1094517234563	1789794413215371264	1094517234593	1789794413215371264	1094517234725	0	0	0	0	0	0
19	0	32	16	32	1	3072	1789794413215374336	1094517240034	1789794413215374336	1094517242295	1789794413215375360	1094517243247	1789794413215388672	1094517277263	1789794413215389696	1094517280568	1789794413215389696	1094517280823	1094517243272	1094517277002	13969	32	0	0
20	1	0	0	0	1	0	1789794413215142912	1094516660469	1789794413215143936	1094516661615	1789794413215143936	1094516661615	1789794413215144960	1094516664820	1789794413215145984	1094516666507	1789794413215145984	1094516666644	0	0	0	0	92	8
21	0	32	16	32	1	3072	1789794413215148032	1094516672138	1789794413215149056	1094516674369	1789794413215149056	1094516675353	1789794413215156224	1094516694265	1789794413215157248	1094516696090	1789794413215157248	1094516696376	1094516675732	1094516694091	6128	16	0	0
22	2	0	0	0	1	0	1789794413215160320	1094516702890	1789794413215160320	1094516704247	1789794413215160320	1094516704247	1789794413215161344	1094516706335	1789794413215161344	1094516706368	1789794413215161344	1094516706762	0	0	0	0	0	0
23	3	0	0	0	1	0	1789794413215163392	1094516709810	1789794413215163392	1094516710980	1789794413215163392	1094516710980	1789794413215163392	1094516712223	1789794413215163392	1094516712253	1789794413215164416	1094516712425	0	0	0	0	0	0
24	5	0	0	0	1	0	1789794413215167488	1094516722169	1789794413215168512	1094516724284	1789794413215168512	1094516724284	1789794413215194112	1094516787566	1789794413215194112	1094516787616	1789794413215194112	1094516787745	0	0	0	0	159	2
25	0	32	16	32	1	3072	1789794413215200256	1094516804195	1789794413215201280	1094516807260	1789794413215202304	1094516809064	1789794413215213568	1094516837531	1789794413215215616	1094516841340	1789794413215215616	1094516841472	1094516809104	1094516837284	10565	16	0	0
26	1	0	0	0	1	0	1789794413215218688	1094516850012	1789794413215219712	1094516851356	1789794413215219712	1094516851356	1789794413215220736	1094516854930	1789794413215221760	1094516857222	1789794413215221760	1094516857361	0	0	0	0	89	8
27	0	32	16	32	1	3072	1789794413215224832	1094516865609	1789794413215225856	1094516866898	1789794413215225856	1094516867806	1789794413215235072	1094516890060	1789794413215235072	1094516891819	1789794413215235072	1094516892115	1094516868769	1094516889933	6705	16	0	0
