slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794416969820160	1098105163622	1789794416969821184	1098105164933	1789794416969821184	1098105164933	1789794416969822208	1098105167745	1789794416969823232	1098105169461	1789794416969823232	1098105169592	0	0	0	0	89	8
1	0	32	16	64	1	6144	1789794416969824256	1098105173944	1789794416969825280	1098105176074	1789794416969826304	1098105177079	1789794416969829376	1098105186568	1789794416969830400	1098105187523	1789794416969830400	1098105187798	1098105177202	1098105186474	1390	8	0	0
2	2	0	0	0	1	0	1789794416969832448	1098105193012	1789794416969832448	1098105194253	1789794416969832448	1098105194253	1789794416969833472	1098105195778	1789794416969833472	1098105195808	1789794416969833472	1098105195937	0	0	0	0	0	0
3	3	0	0	0	1	0	1789794416969834496	1098105199248	1789794416969835520	1098105200358	1789794416969835520	1098105200358	1789794416969835520	1098105201291	1789794416969835520	1098105201321	1789794416969835520	1098105201450	0	0	0	0	0	0
4	5	0	0	0	1	0	1789794416969837568	1098105206790	1789794416969838592	1098105208426	1789794416969838592	1098105208426	1789794416969841664	1098105217089	1789794416969841664	1098105217119	1789794416969841664	1098105217248	0	0	0	0	52	2
5	0	32	16	64	1	6144	1789794416969843712	1098105222190	1789794416969844736	1098105224348	1789794416969844736	1098105225453	1789794416969848832	1098105234833	1789794416969849856	1098105236468	1789794416969849856	1098105236599	1098105225479	1098105234739	1790	8	0	0
6	1	0	0	0	1	0	1789794416969851904	1098105241657	1789794416969851904	1098105242900	1789794416969851904	1098105242900	1789794416969852928	1098105245813	1789794416969853952	1098105247529	1789794416969853952	1098105247660	0	0	0	0	89	8
7	0	32	16	64	1	6144	1789794416969856000	1098105253473	1789794416969857024	1098105255648	1789794416969857024	1098105256750	1789794416969861120	1098105266103	1789794416969862144	1098105267351	1789794416969862144	1098105267612	1098105256776	1098105266009	2005	8	0	0
8	4	0	0	0	1	0	1789794416969864192	1098105272573	1789794416969864192	1098105273848	1789794416969864192	1098105273848	1789794416969867264	1098105280239	1789794416969867264	1098105280269	1789794416969867264	1098105280399	0	0	0	0	0	0
9	0	32	16	64	1	6144	1789794416969869312	1098105285227	1789794416969869312	1098105287389	1789794416969870336	1098105288487	1789794416969877504	1098105306895	1789794416969878528	1098105309118	1789794416969878528	1098105309247	1098105288513	1098105306801	3298	16	0	0
10	1	0	0	0	1	0	1789794416969880576	1098105314456	1789794416969880576	1098105315703	1789794416969880576	1098105315703	1789794416969881600	1098105318617	1789794416969882624	1098105320321	1789794416969882624	1098105320452	0	0	0	0	89	8
11	0	32	16	64	1	6144	1789794416969884672	1098105325050	1789794416969885696	1098105327207	1789794416969885696	1098105328315	1789794416969889792	1098105337590	1789794416969889792	1098105339107	1789794416969890816	1098105339369	1098105328341	1098105337496	1439	8	0	0
12	2	0	0	0	1	0	1789794416969892864	1098105344600	1789794416969892864	1098105345835	1789794416969892864	1098105345835	1789794416969893888	1098105347362	1789794416969893888	1098105347392	1789794416969893888	1098105347521	0	0	0	0	0	0
13	3	0	0	0	1	0	1789794416969894912	1098105350441	1789794416969894912	1098105351574	1789794416969894912	1098105351574	1789794416969895936	1098105352498	1789794416969895936	1098105352528	1789794416969895936	1098105352657	0	0	0	0	0	0
14	5	0	0	0	1	0	1789794416969897984	1098105357939	1789794416969897984	1098105359562	1789794416969897984	1098105359562	1789794416969902080	1098105367939	1789794416969902080	1098105367969	1789794416969902080	1098105368098	0	0	0	0	52	2
15	0	32	16	64	1	6144	1789794416969904128	1098105373275	1789794416969905152	1098105375457	1789794416969905152	1098105376560	1789794416969909248	1098105385857	1789794416969909248	1098105387840	1789794416969909248	1098105387969	1098105376586	1098105385763	1541	8	0	0
16	1	0	0	0	1	0	1789794416969911296	1098105393206	1789794416969912320	1098105394492	1789794416969912320	1098105394492	1789794416969913344	1098105397399	1789794416969914368	1098105399126	1789794416969914368	1098105399257	0	0	0	0	89	8
17	0	32	16	64	1	6144	1789794416969915392	1098105403788	1789794416969916416	1098105405950	1789794416969917440	1098105407046	1789794416969920512	1098105416404	1789794416969921536	1098105417634	1789794416969921536	1098105417764	1098105407072	1098105416310	1768	8	0	0
18	4	0	0	0	1	0	1789794416969924608	1098105424507	1789794416969924608	1098105425767	1789794416969924608	1098105425767	1789794416969927680	1098105432147	1789794416969927680	1098105432177	1789794416969927680	1098105432306	0	0	0	0	0	0
19	0	32	16	64	1	6144	1789794416969928704	1098105437090	1789794416969929728	1098105439255	1789794416969930752	1098105440363	1789794416969937920	1098105458592	1789794416969938944	1098105460550	1789794416969938944	1098105460679	1098105440389	1098105458498	3181	16	0	0
