slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789794416969820160	1789794416969820160	1789794416969820160	1789794416969823232	1789794416969824256	0	0	0	0	1098105163622	1098105169592
1	0	2	0	0	1789794416969824256	1789794416969824256	1789794416969824256	1789794416969830400	1789794416969831424	0	3	1	1	1098105173944	1098105187798
2	0	5	0	0	1789794416969831424	1789794416969832448	1789794416969832448	1789794416969833472	1789794416969834496	3	1	4	1	1098105193012	1098105195937
3	0	6	0	0	1789794416969834496	1789794416969834496	1789794416969834496	1789794416969835520	1789794416969836544	4	0	5	1	1098105199248	1098105201450
4	0	8	0	0	1789794416969836544	1789794416969837568	1789794416969837568	1789794416969841664	1789794416969842688	4	3	7	3	1098105206790	1098105217248
5	0	9	0	0	1789794416969842688	1789794416969843712	1789794416969843712	1789794416969849856	1789794416969849856	7	15	10	1	1098105222190	1098105236599
6	0	10	0	0	1789794416969850880	1789794416969851904	1789794416969851904	1789794416969853952	1789794416969854976	22	31	11	1	1098105241657	1098105247660
7	0	11	0	0	1789794416969854976	1789794416969856000	1789794416969856000	1789794416969862144	1789794416969863168	53	3	12	1	1098105253473	1098105267612
8	0	13	0	0	1789794416969863168	1789794416969864192	1789794416969864192	1789794416969867264	1789794416969868288	56	127	14	2	1098105272573	1098105280399
9	0	14	0	0	1789794416969868288	1789794416969868288	1789794416969869312	1789794416969878528	1789794416969879552	183	3	16	2	1098105285227	1098105309247
10	0	15	0	0	1789794416969879552	1789794416969880576	1789794416969880576	1789794416969882624	1789794416969883648	186	31	18	1	1098105314456	1098105320452
11	0	17	0	0	1789794416969883648	1789794416969884672	1789794416969884672	1789794416969890816	1789794416969890816	217	3	20	1	1098105325050	1098105339369
12	0	20	0	0	1789794416969891840	1789794416969891840	1789794416969892864	1789794416969893888	1789794416969894912	220	1	23	1	1098105344600	1098105347521
13	0	21	0	0	1789794416969894912	1789794416969894912	1789794416969894912	1789794416969895936	1789794416969895936	221	0	24	1	1098105350441	1098105352657
14	0	23	0	0	1789794416969896960	1789794416969897984	1789794416969897984	1789794416969902080	1789794416969903104	221	3	26	3	1098105357939	1098105368098
15	0	24	0	0	1789794416969903104	1789794416969904128	1789794416969904128	1789794416969909248	1789794416969910272	224	15	29	2	1098105373275	1098105387969
16	0	25	0	0	1789794416969910272	1789794416969911296	1789794416969911296	1789794416969914368	1789794416969915392	239	31	31	1	1098105393206	1098105399257
17	0	26	0	0	1789794416969915392	1789794416969915392	1789794416969915392	1789794416969921536	1789794416969922560	270	3	32	1	1098105403788	1098105417764
18	0	28	0	0	1789794416969922560	1789794416969923584	1789794416969924608	1789794416969927680	1789794416969927680	273	127	34	2	1098105424507	1098105432306
19	0	29	0	0	1789794416969928704	1789794416969928704	1789794416969928704	1789794416969938944	1789794416969938944	400	3	36	2	1098105437090	1098105460679
20	0	30	0	0	1789794416969939968	1789794416969940992	1789794416969940992	1789794416969943040	1789794416969944064	403	31	38	1	1098105465902	1098105472024
21	0	32	0	0	1789794416969944064	1789794416969945088	1789794416969945088	1789794416969950208	1789794416969951232	434	3	40	1	1098105476593	1098105490673
22	0	35	0	0	1789794416969951232	1789794416969952256	1789794416969952256	1789794416969953280	1789794416969954304	437	1	43	1	1098105495952	1098105498854
23	0	36	0	0	1789794416969955328	1789794416969955328	1789794416969955328	1789794416969956352	1789794416969956352	438	0	44	1	1098105502137	1098105504296
24	0	38	0	0	1789794416969956352	1789794416969957376	1789794416969957376	1789794416969961472	1789794416969962496	438	3	46	3	1098105509165	1098105519003
25	0	39	0	0	1789794416969962496	1789794416969963520	1789794416969963520	1789794416969969664	1789794416969970688	441	15	49	2	1098105524138	1098105538150
26	0	40	0	0	1789794416969970688	1789794416969971712	1789794416969971712	1789794416969973760	1789794416969974784	456	31	51	1	1098105543338	1098105549272
27	0	41	0	0	1789794416969974784	1789794416969975808	1789794416969975808	1789794416969981952	1789794416969982976	487	3	52	1	1098105553833	1098105569557
28	0	43	0	0	1789794416969982976	1789794416969984000	1789794416969984000	1789794416969987072	1789794416969988096	490	127	54	2	1098105574363	1098105582289
29	0	44	0	0	1789794416969988096	1789794416969989120	1789794416969989120	1789794416969998336	1789794416969999360	617	3	56	2	1098105587196	1098105610810
30	0	45	0	0	1789794416969999360	1789794416970000384	1789794416970000384	1789794416970002432	1789794416970003456	620	31	58	1	1098105615850	1098105621855
31	0	47	0	0	1789794416970003456	1789794416970004480	1789794416970004480	1789794416970009600	1789794416970010624	651	3	60	1	1098105627059	1098105640697
32	0	50	0	0	1789794416970010624	1789794416970011648	1789794416970011648	1789794416970013696	1789794416970014720	654	1	63	1	1098105645925	1098105648875
33	0	51	0	0	1789794416970014720	1789794416970014720	1789794416970014720	1789794416970015744	1789794416970016768	655	0	64	1	1098105652204	1098105654423
34	0	53	0	0	1789794416970016768	1789794416970017792	1789794416970017792	1789794416970021888	1789794416970022912	655	3	66	3	1098105659592	1098105669984
35	0	54	0	0	1789794416970022912	1789794416970023936	1789794416970023936	1789794416970029056	1789794416970030080	658	15	69	2	1098105675190	1098105689737
36	0	55	0	0	1789794416970030080	1789794416970031104	1789794416970031104	1789794416970034176	1789794416970035200	673	31	71	1	1098105694909	1098105700960
37	0	56	0	0	1789794416970035200	1789794416970036224	1789794416970036224	1789794416970041344	1789794416970042368	704	3	72	1	1098105706674	1098105720259
38	0	58	0	0	1789794416970042368	1789794416970043392	1789794416970043392	1789794416970046464	1789794416970047488	707	127	74	2	1098105725249	1098105733034
39	0	59	0	0	1789794416970047488	1789794416970048512	1789794416970048512	1789794416970057728	1789794416970058752	834	3	76	2	1098105737885	1098105761698
40	1	0	1	2	1789794416969820160	1789794416969820160	1789794416969820160	1789794416969823232	1789794416969824256	837	0	0	0	1098695557147	1098695563277
41	1	2	1	2	1789794416969824256	1789794416969824256	1789794416969824256	1789794416969830400	1789794416969831424	837	3	1	1	1098695567885	1098695582161
42	1	5	1	2	1789794416969831424	1789794416969832448	1789794416969832448	1789794416969833472	1789794416969834496	840	1	4	1	1098695587438	1098695590398
43	1	6	1	2	1789794416969834496	1789794416969835520	1789794416969835520	1789794416969835520	1789794416969836544	841	0	5	1	1098695594035	1098695596259
44	1	8	1	2	1789794416969836544	1789794416969838592	1789794416969838592	1789794416969841664	1789794416969842688	841	3	7	3	1098695601674	1098695611621
45	1	9	1	2	1789794416969842688	1789794416969843712	1789794416969843712	1789794416969849856	1789794416969850880	844	15	10	1	1098695616864	1098695631526
46	1	10	1	2	1789794416969850880	1789794416969851904	1789794416969851904	1789794416969853952	1789794416969854976	859	31	11	1	1098695636766	1098695642780
47	1	11	1	2	1789794416969856000	1789794416969856000	1789794416969856000	1789794416969862144	1789794416969863168	890	3	12	1	1098695647570	1098695661658
48	1	13	1	2	1789794416969863168	1789794416969864192	1789794416969864192	1789794416969867264	1789794416969868288	893	127	14	2	1098695666776	1098695674649
49	1	14	1	2	1789794416969868288	1789794416969869312	1789794416969869312	1789794416969878528	1789794416969879552	1020	3	16	2	1098695679576	1098695702822
50	1	15	1	2	1789794416969879552	1789794416969880576	1789794416969880576	1789794416969882624	1789794416969883648	1023	31	18	1	1098695708235	1098695714234
51	1	17	1	2	1789794416969883648	1789794416969884672	1789794416969884672	1789794416969889792	1789794416969890816	1054	3	20	1	1098695718879	1098695732903
52	1	20	1	2	1789794416969891840	1789794416969891840	1789794416969892864	1789794416969893888	1789794416969894912	1057	1	23	1	1098695738197	1098695741151
53	1	21	1	2	1789794416969894912	1789794416969894912	1789794416969894912	1789794416969895936	1789794416969896960	1058	0	24	1	1098695744770	1098695746982
54	1	23	1	2	1789794416969896960	1789794416969897984	1789794416969897984	1789794416969902080	1789794416969903104	1058	3	26	3	1098695752370	1098695762357
55	1	24	1	2	1789794416969903104	1789794416969904128	1789794416969904128	1789794416969910272	1789794416969911296	1061	15	29	2	1098695767643	1098695782271
56	1	25	1	2	1789794416969911296	1789794416969912320	1789794416969912320	1789794416969914368	1789794416969915392	1076	31	31	1	1098695787575	1098695793669
