slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations
0	1	0	0	0	1	0	1789817830292200448	6099434251040	1789817830292200448	6099434252271	1789817830292200448	6099434252271	1789817830292201472	6099434254837	1789817830292202496	6099434256598	1789817830292202496	6099434256743	0	0	0	0
1	0	32	16	32	1	3072	1789817830292204544	6099434262373	1789817830292205568	6099434264535	1789817830292205568	6099434265438	1789817830292212736	6099434284901	1789817830292213760	6099434287224	1789817830292213760	6099434287488	6099434265600	6099434284745	6074	16
2	2	0	0	0	1	0	1789817830292215808	6099434293723	1789817830292216832	6099434294974	1789817830292216832	6099434294974	1789817830292216832	6099434296661	1789817830292216832	6099434296691	1789817830292216832	6099434296822	0	0	0	0
3	3	0	0	0	1	0	1789817830292217856	6099434300148	1789817830292218880	6099434301158	1789817830292218880	6099434301158	1789817830292218880	6099434302238	1789817830292218880	6099434302273	1789817830292218880	6099434302591	0	0	0	0
4	5	0	0	0	1	0	1789817830292221952	6099434311735	1789817830292222976	6099434313618	1789817830292222976	6099434313618	1789817830292245504	6099434376370	1789817830292245504	6099434376401	1789817830292246528	6099434376533	0	0	0	0
5	0	32	16	32	1	3072	1789817830292251648	6099434390534	1789817830292251648	6099434392836	1789817830292252672	6099434394441	1789817830292261888	6099434419317	1789817830292262912	6099434423193	1789817830292262912	6099434423510	6099434394466	6099434419129	16760	16
6	1	0	0	0	1	0	1789817830292265984	6099434432816	1789817830292267008	6099434434196	1789817830292267008	6099434434196	1789817830292268032	6099434436355	1789817830292268032	6099434437338	1789817830292268032	6099434437472	0	0	0	0
7	0	32	16	32	1	3072	1789817830292271104	6099434446796	1789817830292272128	6099434448568	1789817830292272128	6099434449298	1789817830292279296	6099434468024	1789817830292280320	6099434470948	1789817830292280320	6099434471194	6099434449737	6099434467862	6638	16
8	4	0	0	0	1	0	1789817830292288512	6099434493954	1789817830292289536	6099434495163	1789817830292289536	6099434495163	1789817830292291584	6099434501584	1789817830292291584	6099434501618	1789817830292291584	6099434501755	0	0	0	0
9	0	32	16	32	1	3072	1789817830292293632	6099434507221	1789817830292294656	6099434509715	1789817830292294656	6099434510551	1789817830292306944	6099434544386	1789817830292307968	6099434548071	1789817830292307968	6099434548414	6099434510717	6099434544287	14051	32
