candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
32x16x16s2split1kappa1	980682.08967084868	225285.72651140645	240571.47411644613	980682.08967084868
32x16x16s2split1kappa2	980682.08967084868	225285.72651140645	240571.47411644613	980682.08967084868
32x16x16s2split1kappa4	980682.08967084868	225285.72651140645	240571.47411644613	980682.08967084868
32x16x16s2split2kappa1	1043064.0528752051	132195.03247877851	232368.63279336115	1043064.0528752051
32x16x16s2split2kappa2	1043064.0528752051	132195.03247877851	232368.63279336115	1043064.0528752051
32x16x16s2split2kappa4	1043064.0528752051	132195.03247877851	232368.63279336115	1043064.0528752051
32x16x16s2split4kappa1	1132272.6583695612	84834.807244213764	244419.18693175347	1132272.6583695612
32x16x16s2split4kappa2	1132272.6583695612	84834.807244213764	244419.18693175347	1132272.6583695612
32x16x16s2split4kappa4	1132272.6583695612	84834.807244213764	244419.18693175347	1132272.6583695612
32x16x16s2split8kappa1	1310689.8693647378	61254.948736490114	289644.71637157095	1310689.8693647378
32x16x16s2split8kappa2	1310689.8693647378	61254.948736490114	289644.71637157095	1310689.8693647378
32x16x16s2split8kappa4	1310689.8693647378	61254.948736490114	289644.71637157095	1310689.8693647378
32x16x16s2split16kappa1	1667524.2913460925	49665.527701745334	380095.77525120589	1667524.2913460925
32x16x16s2split16kappa2	1667524.2913460925	49665.527701745334	380095.77525120589	1667524.2913460925
32x16x16s2split16kappa4	1667524.2913460925	49665.527701745334	380095.77525120589	1667524.2913460925
32x16x16s2split32kappa1	2381193.135328366	44271.833622607221	557658.61983779445	2381193.135328366
32x16x16s2split32kappa2	2381193.135328366	44271.833622607221	557658.61983779445	2381193.135328366
32x16x16s2split32kappa4	2381193.135328366	44271.833622607221	557658.61983779445	2381193.135328366
32x16x32s2split1kappa1	535973.8147466426	134721.46178343543	131894.3564428814	535973.8147466426
32x16x32s2split1kappa2	535973.8147466426	134721.46178343543	131894.3564428814	535973.8147466426
32x16x32s2split1kappa4	535973.8147466426	134721.46178343543	131894.3564428814	535973.8147466426
32x16x32s2split2kappa1	598355.77794824797	86912.900114793199	132747.94159259347	598355.77794824797
32x16x32s2split2kappa2	598355.77794824797	86912.900114793199	132747.94159259347	598355.77794824797
32x16x32s2split2kappa4	598355.77794824797	86912.900114793199	132747.94159259347	598355.77794824797
32x16x32s2split4kappa1	687564.38344364834	62193.74106222127	149326.70896738433	687564.38344364834
32x16x32s2split4kappa2	687564.38344364834	62193.74106222127	149326.70896738433	687564.38344364834
32x16x32s2split4kappa4	687564.38344364834	62193.74106222127	149326.70896738433	687564.38344364834
32x16x32s2split8kappa1	865981.59442948457	49934.415645493784	194552.2384072018	865981.59442948457
32x16x32s2split8kappa2	865981.59442948457	49934.415645493784	194552.2384072018	865981.59442948457
32x16x32s2split8kappa4	865981.59442948457	49934.415645493784	194552.2384072018	865981.59442948457
32x16x32s2split16kappa1	1222816.0163953539	44005.261156247172	285003.29728683678	1222816.0163953539
32x16x32s2split16kappa2	1222816.0163953539	44005.261156247172	285003.29728683678	1222816.0163953539
32x16x32s2split16kappa4	1222816.0163953539	44005.261156247172	285003.29728683678	1222816.0163953539
32x16x32s2split32kappa1	1936484.8603648993	41441.700349858133	463132.1685279751	1936484.8603648993
32x16x32s2split32kappa2	1936484.8603648993	41441.700349858133	463132.1685279751	1936484.8603648993
32x16x32s2split32kappa4	1936484.8603648993	41441.700349858133	463132.1685279751	1936484.8603648993
32x16x64s2split1kappa1	441629.36864008196	115508.33741725884	108838.60720346952	441629.36864008196
32x16x64s2split1kappa2	441629.36864008196	115508.33741725884	108838.60720346952	441629.36864008196
32x16x64s2split1kappa4	441629.36864008196	115508.33741725884	108838.60720346952	441629.36864008196
32x16x64s2split2kappa1	504011.33184220508	77306.337931705013	111613.50478979926	504011.33184220508
32x16x64s2split2kappa2	504011.33184220508	77306.337931705013	111613.50478979926	504011.33184220508
32x16x64s2split2kappa4	504011.33184220508	77306.337931705013	111613.50478979926	504011.33184220508
32x16x64s2split4kappa1	593219.93733788689	57390.459970677133	129152.92838289896	593219.93733788689
32x16x64s2split4kappa2	593219.93733788689	57390.459970677133	129152.92838289896	593219.93733788689
32x16x64s2split4kappa4	593219.93733788689	57390.459970677133	129152.92838289896	593219.93733788689
32x16x64s2split8kappa1	771637.14832850592	47532.775099721715	174378.45782271642	771637.14832850592
32x16x64s2split8kappa2	771637.14832850592	47532.775099721715	174378.45782271642	771637.14832850592
32x16x64s2split8kappa4	771637.14832850592	47532.775099721715	174378.45782271642	771637.14832850592
32x16x64s2split16kappa1	1128471.5703093365	42804.440883361138	264829.51670235139	1128471.5703093365
32x16x64s2split16kappa2	1128471.5703093365	42804.440883361138	264829.51670235139	1128471.5703093365
32x16x64s2split16kappa4	1128471.5703093365	42804.440883361138	264829.51670235139	1128471.5703093365
32x16x64s2split32kappa1	1842140.4142530719	40841.290213415115	443078.46997077833	1842140.4142530719
32x16x64s2split32kappa2	1842140.4142530719	40841.290213415115	443078.46997077833	1842140.4142530719
32x16x64s2split32kappa4	1842140.4142530719	40841.290213415115	443078.46997077833	1842140.4142530719
64x128x16s2split1kappa1	210733.43379020548	366130.89550931827	260280.18198265074	366130.89550931827
64x128x16s2split1kappa2	210733.43379020548	366130.89550931827	260280.18198265074	366130.89550931827
64x128x16s2split1kappa4	210733.43379020548	366130.89550931827	260280.18198265074	366130.89550931827
64x128x16s2split2kappa1	225371.65605654451	208662.29925371186	132390.81216462184	225371.65605654451
64x128x16s2split2kappa2	225371.65605654451	208662.29925371186	132390.81216462184	225371.65605654451
64x128x16s2split2kappa4	225371.65605654451	208662.29925371186	132390.81216462184	225371.65605654451
64x128x16s2split4kappa1	249186.97088474818	129266.13170175617	68446.127255607396	249186.97088474818
64x128x16s2split4kappa2	249186.97088474818	129266.13170175617	68446.127255607396	249186.97088474818
64x128x16s2split4kappa4	249186.97088474818	129266.13170175617	68446.127255607396	249186.97088474818
64x128x16s2split8kappa1	296817.60054133768	90370.080802246841	74967.167761318473	296817.60054133768
64x128x16s2split8kappa2	296817.60054133768	90370.080802246841	74967.167761318473	296817.60054133768
64x128x16s2split8kappa4	296817.60054133768	90370.080802246841	74967.167761318473	296817.60054133768
64x128x16s2split16kappa1	392078.85985379881	72526.121105429265	93477.836687469768	392078.85985379881
64x128x16s2split16kappa2	392078.85985379881	72526.121105429265	93477.836687469768	392078.85985379881
64x128x16s2split16kappa4	392078.85985379881	72526.121105429265	93477.836687469768	392078.85985379881
64x128x16s2split32kappa1	582601.37848026201	66812.272762894616	136493.98874999242	582601.37848026201
64x128x16s2split32kappa2	582601.37848026201	66812.272762894616	136493.98874999242	582601.37848026201
64x128x16s2split32kappa4	582601.37848026201	66812.272762894616	136493.98874999242	582601.37848026201
128x128x16s3split1kappa1	300617.26519751584	507095.64271077258	371549.35849158914	507095.64271077258
128x128x16s3split1kappa2	300617.26519751584	507095.64271077258	371549.35849158914	507095.64271077258
128x128x16s3split1kappa4	300617.26519751584	507095.64271077258	371549.35849158914	507095.64271077258
128x128x16s3split2kappa1	321689.2368793693	281649.04160814738	189277.58479594524	321689.2368793693
128x128x16s3split2kappa2	321689.2368793693	281649.04160814738	189277.58479594524	321689.2368793693
128x128x16s3split2kappa4	321689.2368793693	281649.04160814738	189277.58479594524	321689.2368793693
128x128x16s3split4kappa1	358372.05053832388	168263.87163268236	98141.697948123299	358372.05053832388
128x128x16s3split4kappa2	358372.05053832388	168263.87163268236	98141.697948123299	358372.05053832388
128x128x16s3split4kappa4	358372.05053832388	168263.87163268236	98141.697948123299	358372.05053832388
128x128x16s3split8kappa1	431737.67785693152	112373.31952141834	110386.78173767449	431737.67785693152
128x128x16s3split8kappa2	431737.67785693152	112373.31952141834	110386.78173767449	431737.67785693152
128x128x16s3split8kappa4	431737.67785693152	112373.31952141834	110386.78173767449	431737.67785693152
