slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789821504474077184	1789821504474077184	1789821504474077184	1789821504474080256	1789821504474080256	0	0	0	0	7687494987097	7687494994222
1	0	2	0	0	1789821504474081280	1789821504474081280	1789821504474081280	1789821504474091520	1789821504474092544	0	16	1	1	7687494999380	7687495026714
2	0	5	0	0	1789821504474092544	1789821504474094592	1789821504474094592	1789821504474096640	1789821504474097664	16	1	4	1	7687495035204	7687495039705
3	0	4	128	0	1789821504474097664	1789821504474098688	1789821504474098688	1789821504474099712	1789821504474100736	17	1	3	1	7687495045839	7687495050028
4	0	7	384	0	1789821504474100736	1789821504474101760	1789821504474101760	1789821504474103808	1789821504474104832	18	1	6	1	7687495055388	7687495059777
5	0	8	0	0	1789821504474104832	1789821504474107904	1789821504474107904	1789821504474132480	1789821504474133504	19	3	7	3	7687495070357	7687495138316
6	0	9	0	0	1789821504474133504	1789821504474137600	1789821504474137600	1789821504474149888	1789821504474150912	22	64	10	1	7687495152854	7687495187164
7	0	10	0	0	1789821504474150912	1789821504474151936	1789821504474151936	1789821504474155008	1789821504474156032	86	16	11	1	7687495193615	7687495201562
8	0	11	0	0	1789821504474156032	1789821504474157056	1789821504474157056	1789821504474168320	1789821504474169344	102	16	12	1	7687495207230	7687495236881
9	0	13	0	0	1789821504474169344	1789821504474172416	1789821504474172416	1789821504474175488	1789821504474176512	118	64	14	2	7687495248367	7687495257246
10	0	14	0	0	1789821504474176512	1789821504474176512	1789821504474177536	1789821504474194944	1789821504474195968	182	16	16	2	7687495262419	7687495311510
11	0	15	0	0	1789821504474195968	1789821504474196992	1789821504474196992	1789821504474200064	1789821504474201088	198	16	18	1	7687495317353	7687495324975
12	0	17	0	0	1789821504474201088	1789821504474201088	1789821504474201088	1789821504474211328	1789821504474212352	214	16	20	1	7687495330008	7687495356354
13	0	20	0	0	1789821504474212352	1789821504474214400	1789821504474214400	1789821504474216448	1789821504474217472	230	1	23	1	7687495366543	7687495372415
14	0	19	128	0	1789821504474217472	1789821504474218496	1789821504474218496	1789821504474220544	1789821504474221568	231	1	22	1	7687495378373	7687495383105
15	0	21	0	0	1789821504474221568	1789821504474222592	1789821504474222592	1789821504474224640	1789821504474224640	232	1	24	1	7687495389420	7687495393132
16	0	23	0	0	1789821504474225664	1789821504474229760	1789821504474229760	1789821504474254336	1789821504474255360	233	3	26	3	7687495407798	7687495475526
17	0	24	0	0	1789821504474255360	1789821504474258432	1789821504474258432	1789821504474270720	1789821504474271744	236	64	29	2	7687495488673	7687495522717
18	0	25	0	0	1789821504474271744	1789821504474273792	1789821504474273792	1789821504474276864	1789821504474276864	300	16	31	1	7687495529198	7687495537497
19	0	26	0	0	1789821504474277888	1789821504474277888	1789821504474277888	1789821504474289152	1789821504474291200	316	16	32	1	7687495542668	7687495573749
20	0	28	0	0	1789821504474291200	1789821504474292224	1789821504474292224	1789821504474295296	1789821504474296320	332	64	34	2	7687495580769	7687495590320
21	0	29	0	0	1789821504474296320	1789821504474297344	1789821504474297344	1789821504474315776	1789821504474316800	396	16	36	2	7687495596038	7687495645693
22	0	30	0	0	1789821504474316800	1789821504474317824	1789821504474317824	1789821504474319872	1789821504474320896	412	16	38	1	7687495650909	7687495658715
23	0	32	0	0	1789821504474320896	1789821504474321920	1789821504474321920	1789821504474332160	1789821504474333184	428	16	40	1	7687495663854	7687495692692
24	0	35	0	0	1789821504474333184	1789821504474337280	1789821504474337280	1789821504474339328	1789821504474340352	444	1	43	1	7687495706612	7687495710946
25	0	34	128	0	1789821504474340352	1789821504474341376	1789821504474341376	1789821504474342400	1789821504474343424	445	1	42	1	7687495717238	7687495721195
26	0	37	384	0	1789821504474343424	1789821504474344448	1789821504474344448	1789821504474346496	1789821504474347520	446	1	45	1	7687495726614	7687495730243
27	0	38	0	0	1789821504474347520	1789821504474351616	1789821504474351616	1789821504474375168	1789821504474376192	447	3	46	3	7687495744532	7687495811187
28	0	39	0	0	1789821504474376192	1789821504474380288	1789821504474381312	1789821504474392576	1789821504474393600	450	64	49	2	7687495826068	7687495858007
29	0	40	0	0	1789821504474393600	1789821504474394624	1789821504474394624	1789821504474397696	1789821504474398720	514	16	51	1	7687495864117	7687495872072
30	0	42	0	0	1789821504474398720	1789821504474398720	1789821504474398720	1789821504474409984	1789821504474411008	530	16	53	1	7687495876853	7687495906320
31	0	43	0	0	1789821504474411008	1789821504474415104	1789821504474415104	1789821504474419200	1789821504474419200	546	64	54	2	7687495921506	7687495931135
32	0	44	0	0	1789821504474420224	1789821504474420224	1789821504474420224	1789821504474438656	1789821504474439680	610	16	56	2	7687495935744	7687495984686
