slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789819528208644096	1789819528208644096	1789819528208644096	1789819528208646144	1789819528208647168	0	0	0	0	6719795132862	6719795138111
1	0	2	0	0	1789819528208647168	1789819528208648192	1789819528208648192	1789819528208653312	1789819528208654336	0	3	1	1	6719795142883	6719795157781
2	0	5	0	0	1789819528208654336	1789819528208655360	1789819528208655360	1789819528208657408	1789819528208658432	3	1	4	1	6719795163187	6719795167369
3	0	6	0	0	1789819528208658432	1789819528208658432	1789819528208658432	1789819528208659456	1789819528208660480	4	0	5	1	6719795170885	6719795174045
4	0	8	0	0	1789819528208660480	1789819528208661504	1789819528208661504	1789819528208665600	1789819528208666624	4	3	7	3	6719795179409	6719795190876
5	0	9	0	0	1789819528208666624	1789819528208667648	1789819528208667648	1789819528208673792	1789819528208673792	7	15	10	1	6719795196047	6719795213129
6	0	10	0	0	1789819528208674816	1789819528208674816	1789819528208675840	1789819528208677888	1789819528208678912	22	31	11	1	6719795218416	6719795224873
7	0	11	0	0	1789819528208678912	1789819528208678912	1789819528208678912	1789819528208685056	1789819528208686080	53	3	12	1	6719795229680	6719795244715
8	0	13	0	0	1789819528208686080	1789819528208687104	1789819528208687104	1789819528208690176	1789819528208691200	56	127	14	2	6719795250003	6719795259112
9	0	14	0	0	1789819528208691200	1789819528208692224	1789819528208692224	1789819528208701440	1789819528208702464	183	3	16	2	6719795264234	6719795290519
10	0	15	0	0	1789819528208702464	1789819528208703488	1789819528208703488	1789819528208705536	1789819528208706560	186	31	18	1	6719795296043	6719795302707
11	0	17	0	0	1789819528208706560	1789819528208707584	1789819528208707584	1789819528208712704	1789819528208713728	217	3	20	1	6719795307477	6719795322453
12	0	20	0	0	1789819528208713728	1789819528208714752	1789819528208714752	1789819528208716800	1789819528208717824	220	1	23	1	6719795327823	6719795332036
13	0	21	0	0	1789819528208717824	1789819528208717824	1789819528208717824	1789819528208718848	1789819528208719872	221	0	24	1	6719795335793	6719795339188
14	0	23	0	0	1789819528208719872	1789819528208720896	1789819528208720896	1789819528208724992	1789819528208726016	221	3	26	3	6719795344754	6719795356004
