slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789827565874356224	1789827565874356224	1789827565874356224	1789827565874370560	1789827565874370560	0	0	0	0	10024927239193	10024927275661
1	0	1	0	0	1789827565874370560	1789827565874371584	1789827565874371584	1789827565874505728	1789827565874505728	0	63	0	1	10024927280362	10024927629403
2	0	4	0	0	1789827565874505728	1789827565874513920	1789827565874513920	1789827565874515968	1789827565874516992	63	1	3	1	10024927652331	10024927657293
3	0	4	256	0	1789827565874516992	1789827565874516992	1789827565874516992	1789827565874518016	1789827565874519040	64	0	3	1	10024927660088	10024927664234
4	0	4	512	0	1789827565874519040	1789827565874519040	1789827565874519040	1789827565874521088	1789827565874522112	64	0	3	1	10024927667046	10024927671606
5	0	4	768	0	1789827565874522112	1789827565874522112	1789827565874522112	1789827565874524160	1789827565874525184	64	0	3	1	10024927674488	10024927678950
6	0	4	1024	0	1789827565874525184	1789827565874525184	1789827565874525184	1789827565874527232	1789827565874527232	64	0	3	1	10024927681747	10024927686297
7	0	4	1280	0	1789827565874528256	1789827565874528256	1789827565874528256	1789827565874529280	1789827565874530304	64	0	3	1	10024927689199	10024927693620
8	0	4	1536	0	1789827565874530304	1789827565874530304	1789827565874530304	1789827565874532352	1789827565874533376	64	0	3	1	10024927696255	10024927700815
9	0	4	1792	0	1789827565874533376	1789827565874533376	1789827565874533376	1789827565874535424	1789827565874536448	64	0	3	1	10024927703740	10024927708550
10	0	4	2048	0	1789827565874536448	1789827565874536448	1789827565874536448	1789827565874537472	1789827565874538496	64	0	3	1	10024927711255	10024927715274
11	0	4	2304	0	1789827565874538496	1789827565874538496	1789827565874538496	1789827565874540544	1789827565874541568	64	0	3	1	10024927718170	10024927722764
12	0	4	2560	0	1789827565874541568	1789827565874541568	1789827565874541568	1789827565874543616	1789827565874543616	64	0	3	1	10024927725509	10024927729562
13	0	4	2816	0	1789827565874543616	1789827565874544640	1789827565874544640	1789827565874545664	1789827565874546688	64	0	3	1	10024927732419	10024927737064
14	0	4	3072	0	1789827565874546688	1789827565874546688	1789827565874546688	1789827565874548736	1789827565874549760	64	0	3	1	10024927739808	10024927744304
15	0	4	3328	0	1789827565874549760	1789827565874549760	1789827565874549760	1789827565874551808	1789827565874552832	64	0	3	1	10024927747233	10024927751786
16	0	4	3584	0	1789827565874552832	1789827565874552832	1789827565874552832	1789827565874554880	1789827565874554880	64	0	3	1	10024927754661	10024927759235
17	0	4	3840	0	1789827565874554880	1789827565874555904	1789827565874555904	1789827565874556928	1789827565874557952	64	0	3	1	10024927762144	10024927766102
18	0	5	0	0	1789827565874557952	1789827565874558976	1789827565874558976	1789827565874561024	1789827565874562048	64	1	4	1	10024927771433	10024927776170
19	0	5	256	0	1789827565874562048	1789827565874562048	1789827565874562048	1789827565874563072	1789827565874564096	65	0	4	1	10024927778831	10024927782809
20	0	5	512	0	1789827565874564096	1789827565874564096	1789827565874564096	1789827565874566144	1789827565874567168	65	0	4	1	10024927785651	10024927790288
21	0	5	768	0	1789827565874567168	1789827565874567168	1789827565874567168	1789827565874569216	1789827565874569216	65	0	4	1	10024927793170	10024927797489
22	0	7	0	0	1789827565874570240	1789827565874571264	1789827565874571264	1789827565874572288	1789827565874573312	65	1	6	1	10024927802814	10024927806859
23	0	7	256	0	1789827565874573312	1789827565874573312	1789827565874573312	1789827565874574336	1789827565874575360	66	0	6	1	10024927809781	10024927813101
