stage	logical_stage	combine	task_ns	count
0	0	0	1536	128
1	1	0	3664	128
2	2	0	3920	64
3	3	0	3408	64
4	4	0	1024	512
5	5	0	1024	256
6	6	0	1024	256
7	7	0	1024	256
8	8	0	3520	512
9	9	0	6480	128
10	10	0	2048	128
11	11	0	3408	256
12	12	0	3408	256
13	13	0	3072	128
14	14	0	7288	128
15	15	0	2048	128
16	16	0	3408	128
17	17	0	3408	64
18	18	0	3408	64
19	19	0	1024	512
20	20	0	1024	256
21	21	0	1024	256
22	22	0	1024	256
23	23	0	3712	512
24	24	0	5712	128
25	25	0	2048	128
26	26	0	3408	256
27	27	0	3408	256
28	28	0	3072	128
29	29	0	6816	128
