group	round	sample	l1_ms	l2_ms	status
correct_gqa2_s128_balanced	-	1	0.534752	1.241088	PASS
correct_gqa2_s128_balanced	-	10	0.534048	1.241824	PASS
correct_gqa2_s128_balanced	-	11	0.535040	1.241984	PASS
correct_gqa2_s128_balanced	-	12	0.534400	1.240864	PASS
correct_gqa2_s128_balanced	-	13	0.534560	1.241280	PASS
correct_gqa2_s128_balanced	-	14	0.534080	1.241632	PASS
correct_gqa2_s128_balanced	-	15	0.532672	1.240032	PASS
correct_gqa2_s128_balanced	-	16	0.533280	1.239904	PASS
correct_gqa2_s128_balanced	-	17	0.533632	1.241024	PASS
correct_gqa2_s128_balanced	-	18	0.533792	1.241216	PASS
correct_gqa2_s128_balanced	-	19	0.534656	1.241536	PASS
correct_gqa2_s128_balanced	-	2	0.533600	1.241664	PASS
correct_gqa2_s128_balanced	-	20	0.533248	1.241408	PASS
correct_gqa2_s128_balanced	-	21	0.532832	1.240960	PASS
correct_gqa2_s128_balanced	-	22	0.532928	1.238752	PASS
correct_gqa2_s128_balanced	-	23	0.533760	1.241568	PASS
correct_gqa2_s128_balanced	-	24	0.534240	1.240928	PASS
correct_gqa2_s128_balanced	-	25	0.533280	1.241600	PASS
correct_gqa2_s128_balanced	-	26	0.533728	1.239968	PASS
correct_gqa2_s128_balanced	-	27	0.534816	1.239840	PASS
correct_gqa2_s128_balanced	-	28	0.534400	1.241472	PASS
correct_gqa2_s128_balanced	-	29	0.533472	1.241600	PASS
correct_gqa2_s128_balanced	-	3	0.535520	1.243072	PASS
correct_gqa2_s128_balanced	-	30	0.532704	1.239872	PASS
correct_gqa2_s128_balanced	-	31	0.533728	1.240960	PASS
correct_gqa2_s128_balanced	-	32	0.533280	1.241632	PASS
correct_gqa2_s128_balanced	-	33	0.533248	1.241408	PASS
correct_gqa2_s128_balanced	-	34	0.534240	1.240992	PASS
correct_gqa2_s128_balanced	-	35	0.533504	1.241600	PASS
correct_gqa2_s128_balanced	-	36	0.533312	1.241152	PASS
correct_gqa2_s128_balanced	-	37	0.533248	1.241632	PASS
correct_gqa2_s128_balanced	-	38	0.533472	1.240064	PASS
correct_gqa2_s128_balanced	-	39	0.534656	1.241792	PASS
correct_gqa2_s128_balanced	-	4	0.533408	1.239840	PASS
correct_gqa2_s128_balanced	-	40	0.533280	1.241152	PASS
correct_gqa2_s128_balanced	-	41	0.533056	1.241248	PASS
correct_gqa2_s128_balanced	-	42	0.532992	1.241184	PASS
correct_gqa2_s128_balanced	-	43	0.532864	1.240128	PASS
correct_gqa2_s128_balanced	-	44	0.533856	1.240224	PASS
correct_gqa2_s128_balanced	-	45	0.536256	1.240736	PASS
correct_gqa2_s128_balanced	-	46	0.534048	1.241248	PASS
correct_gqa2_s128_balanced	-	47	0.533568	1.241504	PASS
correct_gqa2_s128_balanced	-	48	0.533184	1.241376	PASS
correct_gqa2_s128_balanced	-	49	0.533504	1.240448	PASS
correct_gqa2_s128_balanced	-	5	0.533312	1.241248	PASS
correct_gqa2_s128_balanced	-	50	0.533760	1.242112	PASS
correct_gqa2_s128_balanced	-	6	0.533696	1.241056	PASS
correct_gqa2_s128_balanced	-	7	0.533792	1.241312	PASS
correct_gqa2_s128_balanced	-	8	0.533888	1.241888	PASS
correct_gqa2_s128_balanced	-	9	0.533536	1.241216	PASS
correct_gqa2_s128_band	-	1	0.536544	0.579136	PASS
correct_gqa2_s128_band	-	10	0.534944	0.575936	PASS
correct_gqa2_s128_band	-	11	0.533504	0.574912	PASS
correct_gqa2_s128_band	-	12	0.533824	0.575744	PASS
correct_gqa2_s128_band	-	13	0.534880	0.575712	PASS
correct_gqa2_s128_band	-	14	0.535648	0.574464	PASS
correct_gqa2_s128_band	-	15	0.533312	0.575680	PASS
correct_gqa2_s128_band	-	16	0.535328	0.575072	PASS
correct_gqa2_s128_band	-	17	0.535136	0.576384	PASS
correct_gqa2_s128_band	-	18	0.535264	0.575648	PASS
correct_gqa2_s128_band	-	19	0.534880	0.576000	PASS
correct_gqa2_s128_band	-	2	0.534528	0.575584	PASS
correct_gqa2_s128_band	-	20	0.534368	0.575872	PASS
correct_gqa2_s128_band	-	21	0.534720	0.576064	PASS
correct_gqa2_s128_band	-	22	0.534880	0.576096	PASS
correct_gqa2_s128_band	-	23	0.534240	0.576128	PASS
correct_gqa2_s128_band	-	24	0.534688	0.576992	PASS
correct_gqa2_s128_band	-	25	0.533344	0.574464	PASS
correct_gqa2_s128_band	-	26	0.534272	0.575776	PASS
correct_gqa2_s128_band	-	27	0.534496	0.575744	PASS
correct_gqa2_s128_band	-	28	0.533600	0.576224	PASS
correct_gqa2_s128_band	-	29	0.534848	0.575040	PASS
correct_gqa2_s128_band	-	3	0.539328	0.575328	PASS
correct_gqa2_s128_band	-	30	0.534976	0.575040	PASS
correct_gqa2_s128_band	-	31	0.533856	0.575968	PASS
correct_gqa2_s128_band	-	32	0.534944	0.575264	PASS
correct_gqa2_s128_band	-	33	0.534752	0.575296	PASS
correct_gqa2_s128_band	-	34	0.534976	0.575456	PASS
correct_gqa2_s128_band	-	35	0.534784	0.575648	PASS
correct_gqa2_s128_band	-	36	0.535264	0.577536	PASS
correct_gqa2_s128_band	-	37	0.534912	0.574368	PASS
correct_gqa2_s128_band	-	38	0.534944	0.574432	PASS
correct_gqa2_s128_band	-	39	0.534752	0.576192	PASS
correct_gqa2_s128_band	-	4	0.534848	0.576096	PASS
correct_gqa2_s128_band	-	40	0.535200	0.575840	PASS
correct_gqa2_s128_band	-	41	0.535808	0.575680	PASS
correct_gqa2_s128_band	-	42	0.534432	0.575488	PASS
correct_gqa2_s128_band	-	43	0.534208	0.574208	PASS
correct_gqa2_s128_band	-	44	0.534624	0.575904	PASS
correct_gqa2_s128_band	-	45	0.534016	0.575360	PASS
correct_gqa2_s128_band	-	46	0.535648	0.575808	PASS
correct_gqa2_s128_band	-	47	0.535072	0.575680	PASS
correct_gqa2_s128_band	-	48	0.534304	0.575296	PASS
correct_gqa2_s128_band	-	49	0.535104	0.576256	PASS
correct_gqa2_s128_band	-	5	0.537984	0.576032	PASS
correct_gqa2_s128_band	-	50	0.534912	0.575456	PASS
correct_gqa2_s128_band	-	6	0.534304	0.576992	PASS
correct_gqa2_s128_band	-	7	0.533344	0.574272	PASS
correct_gqa2_s128_band	-	8	0.533696	0.575776	PASS
correct_gqa2_s128_band	-	9	0.535328	0.576256	PASS
correct_gqa2_s128_eft	-	1	0.533728	0.440896	PASS
correct_gqa2_s128_eft	-	10	0.533664	0.440992	PASS
correct_gqa2_s128_eft	-	11	0.535264	0.442336	PASS
correct_gqa2_s128_eft	-	12	0.533376	0.440576	PASS
correct_gqa2_s128_eft	-	13	0.534784	0.441056	PASS
correct_gqa2_s128_eft	-	14	0.534976	0.441152	PASS
correct_gqa2_s128_eft	-	15	0.534656	0.440896	PASS
correct_gqa2_s128_eft	-	16	0.532992	0.441984	PASS
correct_gqa2_s128_eft	-	17	0.533312	0.440064	PASS
correct_gqa2_s128_eft	-	18	0.534720	0.440928	PASS
correct_gqa2_s128_eft	-	19	0.533280	0.441120	PASS
correct_gqa2_s128_eft	-	2	0.534624	0.441472	PASS
correct_gqa2_s128_eft	-	20	0.533824	0.442112	PASS
correct_gqa2_s128_eft	-	21	0.533824	0.440672	PASS
correct_gqa2_s128_eft	-	22	0.536640	0.441184	PASS
correct_gqa2_s128_eft	-	23	0.534944	0.441056	PASS
correct_gqa2_s128_eft	-	24	0.532544	0.440768	PASS
correct_gqa2_s128_eft	-	25	0.535648	0.442048	PASS
correct_gqa2_s128_eft	-	26	0.534912	0.440800	PASS
correct_gqa2_s128_eft	-	27	0.534304	0.440640	PASS
correct_gqa2_s128_eft	-	28	0.533824	0.440608	PASS
correct_gqa2_s128_eft	-	29	0.534688	0.440672	PASS
correct_gqa2_s128_eft	-	3	0.534880	0.440864	PASS
correct_gqa2_s128_eft	-	30	0.533696	0.440512	PASS
correct_gqa2_s128_eft	-	31	0.533248	0.440608	PASS
correct_gqa2_s128_eft	-	32	0.534464	0.440608	PASS
correct_gqa2_s128_eft	-	33	0.533568	0.440608	PASS
correct_gqa2_s128_eft	-	34	0.533792	0.440928	PASS
correct_gqa2_s128_eft	-	35	0.533344	0.440544	PASS
correct_gqa2_s128_eft	-	36	0.534112	0.440928	PASS
correct_gqa2_s128_eft	-	37	0.533856	0.441280	PASS
correct_gqa2_s128_eft	-	38	0.534912	0.440704	PASS
correct_gqa2_s128_eft	-	39	0.533536	0.441120	PASS
correct_gqa2_s128_eft	-	4	0.533824	0.440064	PASS
correct_gqa2_s128_eft	-	40	0.536960	0.439744	PASS
correct_gqa2_s128_eft	-	41	0.534208	0.441024	PASS
correct_gqa2_s128_eft	-	42	0.534240	0.440000	PASS
correct_gqa2_s128_eft	-	43	0.534976	0.442208	PASS
correct_gqa2_s128_eft	-	44	0.534816	0.440864	PASS
correct_gqa2_s128_eft	-	45	0.534240	0.440640	PASS
correct_gqa2_s128_eft	-	46	0.533056	0.440352	PASS
correct_gqa2_s128_eft	-	47	0.534176	0.440608	PASS
correct_gqa2_s128_eft	-	48	0.533056	0.440736	PASS
correct_gqa2_s128_eft	-	49	0.533792	0.440736	PASS
correct_gqa2_s128_eft	-	5	0.535744	0.442048	PASS
correct_gqa2_s128_eft	-	50	0.535008	0.441216	PASS
correct_gqa2_s128_eft	-	6	0.532864	0.440864	PASS
correct_gqa2_s128_eft	-	7	0.533536	0.440576	PASS
correct_gqa2_s128_eft	-	8	0.534912	0.440544	PASS
correct_gqa2_s128_eft	-	9	0.534528	0.441184	PASS
correct_gqa2_s128_legacy_grid_stride	-	1	0.535680	0.571808	PASS
correct_gqa2_s128_legacy_grid_stride	-	10	0.534496	0.569600	PASS
correct_gqa2_s128_legacy_grid_stride	-	11	0.534496	0.569920	PASS
correct_gqa2_s128_legacy_grid_stride	-	12	0.534464	0.569568	PASS
correct_gqa2_s128_legacy_grid_stride	-	13	0.534912	0.569440	PASS
correct_gqa2_s128_legacy_grid_stride	-	14	0.534016	0.569472	PASS
correct_gqa2_s128_legacy_grid_stride	-	15	0.533632	0.569792	PASS
correct_gqa2_s128_legacy_grid_stride	-	16	0.534720	0.567872	PASS
correct_gqa2_s128_legacy_grid_stride	-	17	0.534880	0.569632	PASS
correct_gqa2_s128_legacy_grid_stride	-	18	0.533728	0.567264	PASS
correct_gqa2_s128_legacy_grid_stride	-	19	0.535200	0.573088	PASS
correct_gqa2_s128_legacy_grid_stride	-	2	0.533536	0.569792	PASS
correct_gqa2_s128_legacy_grid_stride	-	20	0.535264	0.571392	PASS
correct_gqa2_s128_legacy_grid_stride	-	21	0.532768	0.569376	PASS
correct_gqa2_s128_legacy_grid_stride	-	22	0.535360	0.571104	PASS
correct_gqa2_s128_legacy_grid_stride	-	23	0.534304	0.570944	PASS
correct_gqa2_s128_legacy_grid_stride	-	24	0.533728	0.569568	PASS
correct_gqa2_s128_legacy_grid_stride	-	25	0.534496	0.569664	PASS
correct_gqa2_s128_legacy_grid_stride	-	26	0.534336	0.569024	PASS
correct_gqa2_s128_legacy_grid_stride	-	27	0.533760	0.570752	PASS
correct_gqa2_s128_legacy_grid_stride	-	28	0.536352	0.571424	PASS
correct_gqa2_s128_legacy_grid_stride	-	29	0.533824	0.569216	PASS
correct_gqa2_s128_legacy_grid_stride	-	3	0.535136	0.570400	PASS
correct_gqa2_s128_legacy_grid_stride	-	30	0.534016	0.568832	PASS
correct_gqa2_s128_legacy_grid_stride	-	31	0.533792	0.568800	PASS
correct_gqa2_s128_legacy_grid_stride	-	32	0.532288	0.568896	PASS
correct_gqa2_s128_legacy_grid_stride	-	33	0.533216	0.568960	PASS
correct_gqa2_s128_legacy_grid_stride	-	34	0.532960	0.569088	PASS
correct_gqa2_s128_legacy_grid_stride	-	35	0.534560	0.568288	PASS
correct_gqa2_s128_legacy_grid_stride	-	36	0.534112	0.569600	PASS
correct_gqa2_s128_legacy_grid_stride	-	37	0.533952	0.569216	PASS
correct_gqa2_s128_legacy_grid_stride	-	38	0.538688	0.573600	PASS
correct_gqa2_s128_legacy_grid_stride	-	39	0.533984	0.568576	PASS
correct_gqa2_s128_legacy_grid_stride	-	4	0.533376	0.570112	PASS
correct_gqa2_s128_legacy_grid_stride	-	40	0.533984	0.569440	PASS
correct_gqa2_s128_legacy_grid_stride	-	41	0.533344	0.568672	PASS
correct_gqa2_s128_legacy_grid_stride	-	42	0.534304	0.569536	PASS
correct_gqa2_s128_legacy_grid_stride	-	43	0.534592	0.569344	PASS
correct_gqa2_s128_legacy_grid_stride	-	44	0.535712	0.568672	PASS
correct_gqa2_s128_legacy_grid_stride	-	45	0.534560	0.573024	PASS
correct_gqa2_s128_legacy_grid_stride	-	46	0.534432	0.567744	PASS
correct_gqa2_s128_legacy_grid_stride	-	47	0.534944	0.569792	PASS
correct_gqa2_s128_legacy_grid_stride	-	48	0.533824	0.569472	PASS
correct_gqa2_s128_legacy_grid_stride	-	49	0.534080	0.568608	PASS
correct_gqa2_s128_legacy_grid_stride	-	5	0.533312	0.570496	PASS
correct_gqa2_s128_legacy_grid_stride	-	50	0.532576	0.569376	PASS
correct_gqa2_s128_legacy_grid_stride	-	6	0.534112	0.571232	PASS
correct_gqa2_s128_legacy_grid_stride	-	7	0.534624	0.569984	PASS
correct_gqa2_s128_legacy_grid_stride	-	8	0.535040	0.571488	PASS
correct_gqa2_s128_legacy_grid_stride	-	9	0.533600	0.571008	PASS
correct_gqa2_s128_rotate	-	1	0.535712	0.419296	PASS
correct_gqa2_s128_rotate	-	10	0.533504	0.417824	PASS
correct_gqa2_s128_rotate	-	11	0.533728	0.419200	PASS
correct_gqa2_s128_rotate	-	12	0.534944	0.418112	PASS
correct_gqa2_s128_rotate	-	13	0.534240	0.418592	PASS
correct_gqa2_s128_rotate	-	14	0.534464	0.418752	PASS
correct_gqa2_s128_rotate	-	15	0.533728	0.417984	PASS
correct_gqa2_s128_rotate	-	16	0.534464	0.418208	PASS
correct_gqa2_s128_rotate	-	17	0.533408	0.418336	PASS
correct_gqa2_s128_rotate	-	18	0.534336	0.418016	PASS
correct_gqa2_s128_rotate	-	19	0.533632	0.418848	PASS
correct_gqa2_s128_rotate	-	2	0.534816	0.418176	PASS
correct_gqa2_s128_rotate	-	20	0.534912	0.418432	PASS
correct_gqa2_s128_rotate	-	21	0.538016	0.419424	PASS
correct_gqa2_s128_rotate	-	22	0.534624	0.418368	PASS
correct_gqa2_s128_rotate	-	23	0.535488	0.418944	PASS
correct_gqa2_s128_rotate	-	24	0.534688	0.418368	PASS
correct_gqa2_s128_rotate	-	25	0.533728	0.418304	PASS
correct_gqa2_s128_rotate	-	26	0.534336	0.420608	PASS
correct_gqa2_s128_rotate	-	27	0.534976	0.418816	PASS
correct_gqa2_s128_rotate	-	28	0.534720	0.418144	PASS
correct_gqa2_s128_rotate	-	29	0.534784	0.418816	PASS
correct_gqa2_s128_rotate	-	3	0.534272	0.418336	PASS
