cell	kernel_span_ns	kernel_span_ms	measured_l2_ms	hop_samples	hop_p50_ns	hop_p90_ns	hop_max_ns	hop_negative_count	hop_negative_slots	workers_used	grid	busy_total_ns	busy_max_worker_ns	busy_mean_worker_ns	idle_total_ns	idle_fraction_of_worker_time	wait_total_ns	publish_total_ns	hol_reclaimable_ns	hol_fraction_of_kernel	hol_worker_p50_ns	hol_worker_p90_ns	hol_worker_max_ns	hol_workers_nonzero	dag_same_worker_edges	dag_cross_worker_edges	dag_cross_worker_fraction	cp_reconstructed_ns	cp_reconstructed_ms	cp_nodes	cp_error_vs_l2_ms	cp_chain_span_ns	cp_split_task_ns	cp_split_wait_ns	cp_split_prerun_barrier_ns	cp_split_publish_ns	cp_split_gap_ns	cp_with_publish_ns	cp_with_publish_ms	cp_with_publish_error	work_lb_ns	work_lb_ms	queue_lb_ns	queue_lb_ms	cp_lb_nosync_ns	cp_lb_nosync_ms	cp_lb_sync_ns	cp_lb_sync_ms	hop_p50_used_ns	run_clk_p50_cycles	run_clk_max_cycles	run_globaltimer_zero_slots	run_globaltimer_zero_fraction	model	fixture	seq	past	placement	schedule_policy	stage_count	slot_count	event_count	traced_launch	globaltimer_resolution_ns	commit	l1_ms
trace_a_gqa2_s128_chain	516096	0.516096	0.523264	2454	1024	10240	40960	0	none	256	256	27526144	342016	107524.0	104594432	0.7916589161706349	65525760	6153216	48391168	0.3662651909722222	221184	228352	324608	222	1040	252830	0.9959034151337298	382976	0.382976	23	0.26810176125244617	516096	365568	122880	0	35840	-8192	421888	0.421888	0.1937377690802348	107524.0	0.107524	342016	0.342016	175104	0.175104	184320	0.18432	1024	2569	134729	291	0.06589673913043478	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	0	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.565248
trace_a_gqa2_s128_rotate	455680	0.45568	0.461824	2752	1024	11264	12288	0	none	256	256	27515904	154624	107484.0	89138176	0.7641239466292135	64183296	6603776	49565696	0.4248946629213483	197632	202752	205824	256	1040	282084	0.9963266978426414	199680	0.19968	20	0.5676274944567629	454656	195584	269312	0	25600	-35840	230400	0.2304	0.5011086474501109	107484.0	0.107484	154624	0.154624	89088	0.089088	94208	0.094208	1024	2523	134021	349	0.07903079710144928	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	5	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.624800
trace_a_gqa2_s4_chain	292864	0.292864	0.299904	180	1024	1024	2048	0	none	84	256	1801216	241664	21443.04761904762	22799360	0.9267815517815517	9186304	284672	1247232	0.050699300699300696	0	28672	175104	14	36	1164	0.97	260096	0.260096	20	0.13273580879214686	291840	242688	18432	0	29696	1024	295936	0.295936	0.013230900554844306	7036.0	0.007036	241664	0.241664	122880	0.12288	132096	0.132096	1024	7396	106667	4	0.02	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s4_p3	4	3	0	critical_path	30	200	188	l2_forward_last_timed_sample	unset	unset	0.405504
trace_a_gqa2_s4_rotate	287744	0.287744	0.293888	196	1024	1024	1024	0	none	200	256	1818624	41984	9093.12	55730176	0.9683985765124555	22544384	252928	0	0.0	0	0	0	0	0	1292	1.0	262144	0.262144	20	0.10801393728222995	286720	242688	2379776	0	27648	-2363392	293888	0.293888	0.0	7104.0	0.007104	41984	0.041984	242688	0.242688	262144	0.262144	1024	6880	106396	0	0.0	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s4_p3	4	3	5	critical_path	30	200	188	l2_forward_last_timed_sample	unset	unset	0.405504
trace_a_mha4_s128_chain	1083392	1.083392	1.204224	5440	1024	23552	49152	0	none	256	256	53782528	603136	210088.0	223565824	0.8060831167296786	178924544	14431232	163379200	0.5890757915879017	643072	688128	696320	256	4032	1047000	0.9961637704655996	689152	0.689152	44	0.42772108843537415	1083392	652288	100352	2048	51200	277504	747520	0.74752	0.37925170068027214	210088.0	0.210088	603136	0.603136	442368	0.442368	468992	0.468992	1024	2396	134774	1388	0.11644295302013423	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s128_p3	128	3	0	critical_path	60	11920	7852	l2_forward_last_timed_sample	unset	unset	1.135456
trace_a_mha4_s128_rotate	948224	0.948224	0.956416	5648	1024	14336	15360	0	none	256	256	57731072	296960	225512.0	185014272	0.7621743385529157	147429376	17601536	132736000	0.5468117238120951	522240	537600	547840	256	4144	1093052	0.9962230996102793	320512	0.320512	49	0.6648822269807281	948224	314368	599040	1024	67584	-33792	400384	0.400384	0.5813704496788009	225512.0	0.225512	296960	0.29696	91136	0.091136	95232	0.095232	1024	2446	134647	1605	0.13464765100671142	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s128_p3	128	3	5	critical_path	60	11920	7852	l2_forward_last_timed_sample	unset	unset	1.138656
trace_a_mha4_s4_chain	588800	0.5888	0.596992	444	1024	1024	2048	0	none	228	256	4027392	485376	17664.0	130219008	0.97	57584640	694272	12096512	0.0901067887109077	0	323584	471040	52	96	3796	0.9753340184994861	524288	0.524288	40	0.12178387650085762	587776	488448	35840	1024	57344	5120	592896	0.592896	0.0068610634648370306	15732.0	0.015732	485376	0.485376	122880	0.12288	132096	0.132096	1024	4876	105856	21	0.041015625	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s4_p3	4	3	0	critical_path	60	512	412	l2_forward_last_timed_sample	unset	unset	0.809984
trace_a_mha4_s4_rotate	572416	0.572416	0.57856	508	1024	1024	1024	0	none	256	256	4062208	84992	15868.0	142476288	0.9722789020572451	99068928	612352	0	0.0	0	0	0	0	0	4108	1.0	306176	0.306176	21	0.4707964601769911	571392	286720	2606080	0	21504	-2342912	333824	0.333824	0.42300884955752205	15868.0	0.015868	84992	0.084992	244736	0.244736	264192	0.264192	1024	4700	107358	0	0.0	mha4	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/mha4_s4_p3	4	3	5	critical_path	60	512	412	l2_forward_last_timed_sample	unset	unset	0.811232
trace_b_gqa2_s128_chain	555360	0.55536	0.56272	2454	736	9536	42688	0	none	256	256	30428512	380960	118861.375	111743648	0.7859741879141457	71265408	5105248	52817920	0.37150677038317487	241440	248288	349280	222	1040	252830	0.9959034151337298	419200	0.4192	23	0.25504691498436166	555296	406688	267040	2240	27680	-148352	447360	0.44736	0.20500426499857838	118861.375	0.118861375	380960	0.38096	193792	0.193792	200416	0.200416	736	2462	133904	0	0.0	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	0	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.625184
trace_b_gqa2_s128_rotate	441344	0.441344	0.448512	2752	1024	9216	10240	0	none	256	256	27680768	157696	108128.0	85303296	0.7550029002320185	62981120	4970496	48710656	0.43112855278422274	193536	198656	201728	256	1040	282084	0.9963266978426414	204800	0.2048	20	0.54337899543379	441344	200704	262144	0	21504	-43008	227328	0.227328	0.4931506849315069	108128.0	0.108128	157696	0.157696	90112	0.090112	95232	0.095232	1024	2515	134076	387	0.08763586956521739	gqa2	/root/TileMega/docs/experiments/SEQSCAN/raw/fixture/gqa2_s128_p3	128	3	5	critical_path	30	4416	3412	l2_forward_last_timed_sample	unset	unset	0.557056
