slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789438932694176768	1789438932694176768	1789438932694176768	1789438932694178816	1789438932694179840	0	0	0	0	42948287768257	42948287773459
1	0	2	0	0	1789438932694179840	1789438932694180864	1789438932694180864	1789438932694201344	1789438932694203392	0	3	1	1	42948287779799	42948287831588
2	0	5	0	0	1789438932694203392	1789438932694204416	1789438932694204416	1789438932694205440	1789438932694207488	3	1	4	1	42948287837841	42948287840529
3	0	6	0	0	1789438932694207488	1789438932694207488	1789438932694207488	1789438932694208512	1789438932694209536	4	0	5	1	42948287845555	42948287847641
4	0	8	0	0	1789438932694209536	1789438932694210560	1789438932694210560	1789438932694214656	1789438932694216704	4	3	7	3	42948287854006	42948287864715
5	0	9	0	0	1789438932694216704	1789438932694217728	1789438932694217728	1789438932694241280	1789438932694243328	7	15	10	1	42948287871895	42948287930757
6	0	10	0	0	1789438932694243328	1789438932694244352	1789438932694244352	1789438932694246400	1789438932694247424	22	3	11	1	42948287938215	42948287943443
7	0	11	0	0	1789438932694247424	1789438932694248448	1789438932694248448	1789438932694269952	1789438932694272000	25	3	12	1	42948287950189	42948288003123
8	0	13	0	0	1789438932694272000	1789438932694273024	1789438932694273024	1789438932694276096	1789438932694277120	28	15	14	2	42948288010505	42948288018059
9	0	14	0	0	1789438932694277120	1789438932694278144	1789438932694278144	1789438932694320128	1789438932694322176	43	3	16	2	42948288025104	42948288129656
10	0	15	0	0	1789438932694322176	1789438932694323200	1789438932694323200	1789438932694325248	1789438932694327296	46	3	18	1	42948288137728	42948288142978
11	0	17	0	0	1789438932694327296	1789438932694328320	1789438932694328320	1789438932694348800	1789438932694350848	49	3	20	1	42948288149805	42948288201981
12	0	20	0	0	1789438932694350848	1789438932694351872	1789438932694351872	1789438932694352896	1789438932694354944	52	1	23	1	42948288210114	42948288212707
13	0	21	0	0	1789438932694354944	1789438932694354944	1789438932694354944	1789438932694355968	1789438932694356992	53	0	24	1	42948288217764	42948288219812
14	0	23	0	0	1789438932694356992	1789438932694359040	1789438932694359040	1789438932694363136	1789438932694365184	53	3	26	3	42948288228005	42948288238632
15	0	24	0	0	1789438932694365184	1789438932694366208	1789438932694366208	1789438932694389760	1789438932694391808	56	15	29	2	42948288245758	42948288305134
16	0	25	0	0	1789438932694391808	1789438932694392832	1789438932694392832	1789438932694394880	1789438932694395904	71	3	31	1	42948288312482	42948288317706
17	0	26	0	0	1789438932694395904	1789438932694396928	1789438932694396928	1789438932694418432	1789438932694419456	74	3	32	1	42948288324467	42948288376721
18	0	28	0	0	1789438932694419456	1789438932694420480	1789438932694420480	1789438932694423552	1789438932694425600	77	15	34	2	42948288383758	42948288391246
19	0	29	0	0	1789438932694425600	1789438932694426624	1789438932694426624	1789438932694468608	1789438932694469632	92	3	36	2	42948288398465	42948288502951
20	0	30	0	0	1789438932694470656	1789438932694470656	1789438932694471680	1789438932694473728	1789438932694474752	95	3	38	1	42948288510428	42948288515778
21	0	32	0	0	1789438932694474752	1789438932694475776	1789438932694475776	1789438932694497280	1789438932694498304	98	3	40	1	42948288522626	42948288575379
22	0	35	0	0	1789438932694498304	1789438932694500352	1789438932694500352	1789438932694501376	1789438932694503424	101	1	43	1	42948288584145	42948288586738
23	0	36	0	0	1789438932694503424	1789438932694503424	1789438932694503424	1789438932694504448	1789438932694505472	102	0	44	1	42948288591729	42948288593653
24	0	38	0	0	1789438932694506496	1789438932694506496	1789438932694507520	1789438932694511616	1789438932694512640	102	3	46	3	42948288600663	42948288610986
25	0	39	0	0	1789438932694512640	1789438932694513664	1789438932694513664	1789438932694537216	1789438932694539264	105	15	49	2	42948288618062	42948288676842
26	0	40	0	0	1789438932694539264	1789438932694540288	1789438932694540288	1789438932694542336	1789438932694543360	120	3	51	1	42948288684320	42948288689490
27	0	41	0	0	1789438932694544384	1789438932694544384	1789438932694545408	1789438932694565888	1789438932694567936	123	3	52	1	42948288696216	42948288749074
28	0	43	0	0	1789438932694567936	1789438932694568960	1789438932694568960	1789438932694572032	1789438932694573056	126	15	54	2	42948288756422	42948288764052
29	0	44	0	0	1789438932694574080	1789438932694575104	1789438932694575104	1789438932694616064	1789438932694618112	141	3	56	2	42948288771101	42948288875184
30	0	45	0	0	1789438932694618112	1789438932694619136	1789438932694619136	1789438932694621184	1789438932694622208	144	3	58	1	42948288882516	42948288887766
31	0	47	0	0	1789438932694622208	1789438932694623232	1789438932694623232	1789438932694644736	1789438932694645760	147	3	60	1	42948288894524	42948288946829
32	0	50	0	0	1789438932694645760	1789438932694647808	1789438932694647808	1789438932694648832	1789438932694650880	150	1	63	1	42948288955699	42948288958317
33	0	51	0	0	1789438932694650880	1789438932694650880	1789438932694650880	1789438932694651904	1789438932694652928	151	0	64	1	42948288963480	42948288965521
34	0	53	0	0	1789438932694652928	1789438932694654976	1789438932694654976	1789438932694659072	1789438932694661120	151	3	66	3	42948288973792	42948288984582
35	0	54	0	0	1789438932694661120	1789438932694662144	1789438932694662144	1789438932694685696	1789438932694687744	154	15	69	2	42948288991818	42948289050568
36	0	55	0	0	1789438932694687744	1789438932694688768	1789438932694688768	1789438932694690816	1789438932694691840	169	3	71	1	42948289057961	42948289063195
37	0	56	0	0	1789438932694691840	1789438932694692864	1789438932694692864	1789438932694714368	1789438932694716416	172	3	72	1	42948289070025	42948289122774
38	0	58	0	0	1789438932694716416	1789438932694717440	1789438932694717440	1789438932694720512	1789438932694721536	175	15	74	2	42948289130238	42948289137759
39	0	59	0	0	1789438932694721536	1789438932694722560	1789438932694722560	1789438932694764544	1789438932694764544	190	3	76	2	42948289144782	42948289249103
40	1	0	1	2	1789438932694176768	1789438932694176768	1789438932694176768	1789438932694178816	1789438932694179840	193	0	0	0	42966630900583	42966630905913
41	1	2	1	2	1789438932694179840	1789438932694180864	1789438932694180864	1789438932694202368	1789438932694203392	193	3	1	1	42966630912144	42966630964341
42	1	5	1	2	1789438932694203392	1789438932694204416	1789438932694204416	1789438932694205440	1789438932694207488	196	1	4	1	42966630971227	42966630973852
43	1	6	1	2	1789438932694207488	1789438932694207488	1789438932694207488	1789438932694208512	1789438932694209536	197	0	5	1	42966630978883	42966630980991
44	1	8	1	2	1789438932694210560	1789438932694211584	1789438932694211584	1789438932694215680	1789438932694216704	197	3	7	3	42966630987573	42966630997982
45	1	9	1	2	1789438932694216704	1789438932694217728	1789438932694217728	1789438932694242304	1789438932694243328	200	15	10	1	42966631005115	42966631064673
46	1	10	1	2	1789438932694243328	1789438932694244352	1789438932694244352	1789438932694246400	1789438932694248448	215	3	11	1	42966631072072	42966631077301
47	1	11	1	2	1789438932694248448	1789438932694249472	1789438932694249472	1789438932694270976	1789438932694272000	218	3	12	1	42966631084017	42966631136887
48	1	13	1	2	1789438932694272000	1789438932694273024	1789438932694273024	1789438932694276096	1789438932694278144	221	15	14	2	42966631144290	42966631151876
49	1	14	1	2	1789438932694278144	1789438932694279168	1789438932694279168	1789438932694321152	1789438932694323200	236	3	16	2	42966631158902	42966631264743
50	1	15	1	2	1789438932694323200	1789438932694324224	1789438932694324224	1789438932694326272	1789438932694327296	239	3	18	1	42966631272069	42966631277290
51	1	17	1	2	1789438932694328320	1789438932694328320	1789438932694329344	1789438932694349824	1789438932694351872	242	3	20	1	42966631284053	42966631336961
52	1	20	1	2	1789438932694351872	1789438932694352896	1789438932694352896	1789438932694353920	1789438932694355968	245	1	23	1	42966631344459	42966631347044
