slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789439123467557504	1789439123467557632	1789439123467557696	1789439123467560032	1789439123467561344	0	0	0	0	43016899590503	43016899595730
1	0	2	0	0	1789439123467561408	1789439123467562240	1789439123467562336	1789439123467590208	1789439123467591520	0	127	1	1	43016899600862	43016899663133
2	0	5	0	0	1789439123467591616	1789439123467592672	1789439123467592768	1789439123467593952	1789439123467595040	127	1	4	1	43016899668840	43016899671509
3	0	6	0	0	1789439123467595104	1789439123467595168	1789439123467595264	1789439123467596064	1789439123467597376	128	0	5	1	43016899674474	43016899676238
4	0	8	0	0	1789439123467597568	1789439123467662400	1789439123467662464	1789439123467686304	1789439123467687616	128	3	7	3	43016899824663	43016899877909
5	0	9	0	0	1789439123467687680	1789439123467690112	1789439123467690208	1789439123467728192	1789439123467729536	131	511	10	1	43016899886699	43016899971531
6	0	10	0	0	1789439123467729600	1789439123467730688	1789439123467730752	1789439123467732672	1789439123467733952	642	3	11	1	43016899977280	43016899981593
7	0	11	0	0	1789439123467734016	1789439123467734848	1789439123467734944	1789439123467762720	1789439123467764096	645	127	12	1	43016899986673	43016900048717
8	0	13	0	0	1789439123467764160	1789439123467765344	1789439123467765440	1789439123467768544	1789439123467769984	772	15	14	2	43016900054817	43016900061753
9	0	14	0	0	1789439123467770048	1789439123467770912	1789439123467771008	1789439123467830944	1789439123467832256	787	127	16	2	43016900067257	43016900201161
10	0	15	0	0	1789439123467832320	1789439123467833568	1789439123467833632	1789439123467835456	1789439123467836416	914	3	18	1	43016900207226	43016900211304
11	0	17	0	0	1789439123467836480	1789439123467837312	1789439123467837408	1789439123467864992	1789439123467866304	917	127	20	1	43016900215641	43016900277298
12	0	20	0	0	1789439123467866400	1789439123467867520	1789439123467867616	1789439123467868800	1789439123467869952	1044	1	23	1	43016900283186	43016900285786
13	0	21	0	0	1789439123467870048	1789439123467870112	1789439123467870208	1789439123467870976	1789439123467872416	1045	0	24	1	43016900288940	43016900290674
14	0	23	0	0	1789439123467872576	1789439123467937216	1789439123467937312	1789439123467961280	1789439123467962368	1045	3	26	3	43016900438950	43016900492468
15	0	24	0	0	1789439123467962432	1789439123467968256	1789439123467968352	1789439123468005696	1789439123468007040	1048	511	29	2	43016900508289	43016900591760
16	0	25	0	0	1789439123468007136	1789439123468008160	1789439123468008256	1789439123468010528	1789439123468011808	1559	3	31	1	43016900597485	43016900602568
17	0	26	0	0	1789439123468011872	1789439123468014624	1789439123468014688	1789439123468041952	1789439123468043296	1562	127	32	1	43016900611907	43016900672780
18	0	28	0	0	1789439123468043360	1789439123468044544	1789439123468044640	1789439123468047936	1789439123468049216	1689	15	34	2	43016900678795	43016900686169
19	0	29	0	0	1789439123468049312	1789439123468053248	1789439123468053344	1789439123468112384	1789439123468112736	1704	127	36	2	43016900698262	43016900830243
20	1	0	1	2	1789439123467557536	1789439123467557632	1789439123467557728	1789439123467560096	1789439123467561408	1831	0	0	0	43035254386357	43035254391676
21	1	2	1	2	1789439123467561472	1789439123467562304	1789439123467562400	1789439123467590400	1789439123467591744	1831	127	1	1	43035254396797	43035254459400
22	1	5	1	2	1789439123467591936	1789439123467593216	1789439123467593408	1789439123467594496	1789439123467595680	1958	1	4	1	43035254466166	43035254468551
23	1	6	1	2	1789439123467595872	1789439123467595936	1789439123467596032	1789439123467596608	1789439123467597504	1959	0	5	1	43035254472021	43035254473257
24	1	8	1	2	1789439123467597600	1789439123467660704	1789439123467660800	1789439123467684544	1789439123467685856	1959	3	7	3	43035254616721	43035254669839
25	1	9	1	2	1789439123467685952	1789439123467689984	1789439123467690080	1789439123467728032	1789439123467729344	1962	511	10	1	43035254682235	43035254767038
26	1	10	1	2	1789439123467729440	1789439123467730528	1789439123467730592	1789439123467732672	1789439123467733952	2473	3	11	1	43035254772761	43035254777399
27	1	11	1	2	1789439123467734016	1789439123467734880	1789439123467734944	1789439123467762560	1789439123467763936	2476	127	12	1	43035254782495	43035254844164
28	1	13	1	2	1789439123467764000	1789439123467765184	1789439123467765280	1789439123467768224	1789439123467769344	2603	15	14	2	43035254850274	43035254856849
29	1	14	1	2	1789439123467769408	1789439123467770496	1789439123467770592	1789439123467830368	1789439123467831680	2618	127	16	2	43035254862156	43035254995724
