slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789439235607555072	1789439235607555072	1789439235607555072	1789439235607557120	1789439235607558144	0	0	0	0	43019873502806	43019873507953
1	0	2	0	0	1789439235607558144	1789439235607559168	1789439235607559168	1789439235607583744	1789439235607584768	0	127	1	1	43019873512915	43019873575402
2	0	5	0	0	1789439235607584768	1789439235607585792	1789439235607585792	1789439235607586816	1789439235607587840	127	1	4	1	43019873581140	43019873583669
3	0	6	0	0	1789439235607587840	1789439235607587840	1789439235607587840	1789439235607588864	1789439235607589888	128	0	5	1	43019873586613	43019873588353
4	0	8	0	0	1789439235607589888	1789439235607681024	1789439235607681024	1789439235607702528	1789439235607703552	128	3	7	3	43019873820029	43019873873484
5	0	9	0	0	1789439235607703552	1789439235607705600	1789439235607705600	1789439235607739392	1789439235607740416	131	511	10	1	43019873882377	43019873967608
6	0	10	0	0	1789439235607741440	1789439235607741440	1789439235607742464	1789439235607744512	1789439235607745536	642	3	11	1	43019873973565	43019873978775
7	0	11	0	0	1789439235607745536	1789439235607746560	1789439235607746560	1789439235607770112	1789439235607771136	645	127	12	1	43019873984072	43019874044907
8	0	13	0	0	1789439235607771136	1789439235607773184	1789439235607773184	1789439235607776256	1789439235607777280	772	15	14	2	43019874051033	43019874058605
9	0	14	0	0	1789439235607777280	1789439235607778304	1789439235607778304	1789439235607831552	1789439235607832576	787	127	16	2	43019874063928	43019874198816
10	0	15	0	0	1789439235607832576	1789439235607833600	1789439235607833600	1789439235607835648	1789439235607836672	914	3	18	1	43019874204636	43019874209905
11	0	17	0	0	1789439235607836672	1789439235607837696	1789439235607837696	1789439235607862272	1789439235607863296	917	127	20	1	43019874215082	43019874277361
12	0	20	0	0	1789439235607864320	1789439235607864320	1789439235607865344	1789439235607866368	1789439235607867392	1044	1	23	1	43019874283047	43019874285682
13	0	21	0	0	1789439235607867392	1789439235607867392	1789439235607867392	1789439235607868416	1789439235607869440	1045	0	24	1	43019874289417	43019874290909
14	0	23	0	0	1789439235607869440	1789439235607957504	1789439235607957504	1789439235607979008	1789439235607980032	1045	3	26	3	43019874516196	43019874569446
15	0	24	0	0	1789439235607980032	1789439235607982080	1789439235607982080	1789439235608015872	1789439235608016896	1048	511	29	2	43019874578470	43019874663718
16	0	25	0	0	1789439235608017920	1789439235608017920	1789439235608018944	1789439235608019968	1789439235608020992	1559	3	31	1	43019874669668	43019874673918
17	0	26	0	0	1789439235608020992	1789439235608022016	1789439235608022016	1789439235608046592	1789439235608047616	1562	127	32	1	43019874679369	43019874740740
18	0	28	0	0	1789439235608047616	1789439235608048640	1789439235608048640	1789439235608051712	1789439235608052736	1689	15	34	2	43019874746684	43019874754129
19	0	29	0	0	1789439235608052736	1789439235608053760	1789439235608053760	1789439235608108032	1789439235608109056	1704	127	36	2	43019874759368	43019874894030
20	0	30	0	0	1789439235608109056	1789439235608110080	1789439235608110080	1789439235608112128	1789439235608113152	1831	3	38	1	43019874899991	43019874905396
21	0	32	0	0	1789439235608113152	1789439235608114176	1789439235608114176	1789439235608138752	1789439235608139776	1834	127	40	1	43019874910771	43019874973160
22	0	35	0	0	1789439235608139776	1789439235608140800	1789439235608140800	1789439235608141824	1789439235608142848	1961	1	43	1	43019874978779	43019874981244
23	0	36	0	0	1789439235608142848	1789439235608142848	1789439235608142848	1789439235608143872	1789439235608144896	1962	0	44	1	43019874984134	43019874985891
24	0	38	0	0	1789439235608144896	1789439235608228864	1789439235608228864	1789439235608250368	1789439235608251392	1962	3	46	3	43019875199672	43019875252780
25	0	39	0	0	1789439235608251392	1789439235608259584	1789439235608259584	1789439235608293376	1789439235608295424	1965	511	49	2	43019875278058	43019875363032
26	0	40	0	0	1789439235608295424	1789439235608296448	1789439235608296448	1789439235608298496	1789439235608299520	2476	3	51	1	43019875368900	43019875374051
27	0	41	0	0	1789439235608299520	1789439235608300544	1789439235608300544	1789439235608325120	1789439235608326144	2479	127	52	1	43019875379337	43019875441013
28	0	43	0	0	1789439235608326144	1789439235608327168	1789439235608327168	1789439235608330240	1789439235608331264	2606	15	54	2	43019875447203	43019875454977
29	0	44	0	0	1789439235608331264	1789439235608332288	1789439235608332288	1789439235608385536	1789439235608386560	2621	127	56	2	43019875459970	43019875593843
30	0	45	0	0	1789439235608386560	1789439235608387584	1789439235608387584	1789439235608389632	1789439235608390656	2748	3	58	1	43019875599937	43019875605155
31	0	47	0	0	1789439235608390656	1789439235608391680	1789439235608391680	1789439235608416256	1789439235608417280	2751	127	60	1	43019875610508	43019875672565
32	0	50	0	0	1789439235608418304	1789439235608418304	1789439235608419328	1789439235608420352	1789439235608421376	2878	1	63	1	43019875678318	43019875681209
33	0	51	0	0	1789439235608421376	1789439235608421376	1789439235608421376	1789439235608422400	1789439235608423424	2879	0	64	1	43019875684713	43019875686473
34	0	53	0	0	1789439235608423424	1789439235608502272	1789439235608502272	1789439235608523776	1789439235608524800	2879	3	66	3	43019875888225	43019875941368
35	0	54	0	0	1789439235608524800	1789439235608579072	1789439235608579072	1789439235608612864	1789439235608613888	2882	511	69	2	43019876080903	43019876165703
36	0	55	0	0	1789439235608613888	1789439235608614912	1789439235608614912	1789439235608616960	1789439235608617984	3393	3	71	1	43019876171434	43019876176673
37	0	56	0	0	1789439235608617984	1789439235608619008	1789439235608619008	1789439235608643584	1789439235608644608	3396	127	72	1	43019876181905	43019876243104
38	0	58	0	0	1789439235608644608	1789439235608645632	1789439235608645632	1789439235608648704	1789439235608649728	3523	15	74	2	43019876249768	43019876257317
39	0	59	0	0	1789439235608649728	1789439235608650752	1789439235608650752	1789439235608704000	1789439235608705024	3538	127	76	2	43019876262582	43019876396924
40	1	0	1	2	1789439235607555072	1789439235607555072	1789439235607555072	1789439235607557120	1789439235607558144	3665	0	0	0	43038228525191	43038228530399
41	1	2	1	2	1789439235607558144	1789439235607559168	1789439235607559168	1789439235607583744	1789439235607584768	3665	127	1	1	43038228535433	43038228598080
42	1	5	1	2	1789439235607584768	1789439235607585792	1789439235607585792	1789439235607586816	1789439235607587840	3792	1	4	1	43038228603780	43038228606278
43	1	6	1	2	1789439235607587840	1789439235607587840	1789439235607587840	1789439235607588864	1789439235607589888	3793	0	5	1	43038228609170	43038228610928
44	1	8	1	2	1789439235607589888	1789439235607680000	1789439235607680000	1789439235607701504	1789439235607702528	3793	3	7	3	43038228839942	43038228892868
45	1	9	1	2	1789439235607702528	1789439235607704576	1789439235607705600	1789439235607739392	1789439235607740416	3796	511	10	1	43038228903097	43038228988172
46	1	10	1	2	1789439235607740416	1789439235607741440	1789439235607741440	1789439235607743488	1789439235607744512	4307	3	11	1	43038228994439	43038228999684
47	1	11	1	2	1789439235607744512	1789439235607745536	1789439235607745536	1789439235607770112	1789439235607771136	4310	127	12	1	43038229005512	43038229066004
48	1	13	1	2	1789439235607771136	1789439235607772160	1789439235607772160	1789439235607775232	1789439235607776256	4437	15	14	2	43038229072062	43038229079579
49	1	14	1	2	1789439235607776256	1789439235607777280	1789439235607777280	1789439235607830528	1789439235607831552	4452	127	16	2	43038229085370	43038229219968
50	1	15	1	2	1789439235607832576	1789439235607832576	1789439235607833600	1789439235607835648	1789439235607836672	4579	3	18	1	43038229225674	43038229230932
51	1	17	1	2	1789439235607836672	1789439235607837696	1789439235607837696	1789439235607862272	1789439235607863296	4582	127	20	1	43038229236367	43038229298570
52	1	20	1	2	1789439235607863296	1789439235607864320	1789439235607864320	1789439235607865344	1789439235607866368	4709	1	23	1	43038229304668	43038229307278
53	1	21	1	2	1789439235607866368	1789439235607866368	1789439235607866368	1789439235607867392	1789439235607868416	4710	0	24	1	43038229310239	43038229311787
54	1	23	1	2	1789439235607868416	1789439235607956480	1789439235607956480	1789439235607977984	1789439235607979008	4710	3	26	3	43038229536242	43038229589144
55	1	24	1	2	1789439235607979008	1789439235607982080	1789439235607982080	1789439235608015872	1789439235608016896	4713	511	29	2	43038229600775	43038229685720
56	1	25	1	2	1789439235608016896	1789439235608017920	1789439235608017920	1789439235608019968	1789439235608020992	5224	3	31	1	43038229691307	43038229696619
57	1	26	1	2	1789439235608020992	1789439235608022016	1789439235608022016	1789439235608046592	1789439235608047616	5227	127	32	1	43038229701688	43038229762626
58	1	28	1	2	1789439235608047616	1789439235608048640	1789439235608048640	1789439235608051712	1789439235608052736	5354	15	34	2	43038229768891	43038229776350
59	1	29	1	2	1789439235608052736	1789439235608053760	1789439235608053760	1789439235608107008	1789439235608108032	5369	127	36	2	43038229781598	43038229916047
60	1	30	1	2	1789439235608109056	1789439235608109056	1789439235608110080	1789439235608112128	1789439235608113152	5496	3	38	1	43038229921913	43038229927209
61	1	32	1	2	1789439235608113152	1789439235608114176	1789439235608114176	1789439235608138752	1789439235608139776	5499	127	40	1	43038229932715	43038229995672
62	1	35	1	2	1789439235608139776	1789439235608140800	1789439235608140800	1789439235608141824	1789439235608142848	5626	1	43	1	43038230001319	43038230003785
63	1	36	1	2	1789439235608142848	1789439235608142848	1789439235608142848	1789439235608143872	1789439235608144896	5627	0	44	1	43038230006726	43038230008459
64	1	38	1	2	1789439235608144896	1789439235608228864	1789439235608228864	1789439235608250368	1789439235608251392	5627	3	46	3	43038230222438	43038230275460
65	1	39	1	2	1789439235608251392	1789439235608259584	1789439235608259584	1789439235608293376	1789439235608294400	5630	511	49	2	43038230300410	43038230385234
66	1	40	1	2	1789439235608294400	1789439235608295424	1789439235608295424	1789439235608297472	1789439235608299520	6141	3	51	1	43038230391068	43038230396254
67	1	41	1	2	1789439235608299520	1789439235608299520	1789439235608300544	1789439235608325120	1789439235608326144	6144	127	52	1	43038230401676	43038230464181
68	1	43	1	2	1789439235608326144	1789439235608327168	1789439235608327168	1789439235608330240	1789439235608331264	6271	15	54	2	43038230470198	43038230477766
69	1	44	1	2	1789439235608331264	1789439235608332288	1789439235608332288	1789439235608385536	1789439235608386560	6286	127	56	2	43038230483071	43038230617096
70	1	45	1	2	1789439235608386560	1789439235608387584	1789439235608387584	1789439235608389632	1789439235608390656	6413	3	58	1	43038230622741	43038230627963
71	1	47	1	2	1789439235608390656	1789439235608391680	1789439235608391680	1789439235608416256	1789439235608417280	6416	127	60	1	43038230633262	43038230695365
72	1	50	1	2	1789439235608418304	1789439235608418304	1789439235608419328	1789439235608420352	1789439235608421376	6543	1	63	1	43038230701105	43038230703952
73	1	51	1	2	1789439235608421376	1789439235608421376	1789439235608421376	1789439235608422400	1789439235608423424	6544	0	64	1	43038230707391	43038230709102
74	1	53	1	2	1789439235608423424	1789439235608501248	1789439235608501248	1789439235608522752	1789439235608523776	6544	3	66	3	43038230908547	43038230961448
75	1	54	1	2	1789439235608523776	1789439235608579072	1789439235608579072	1789439235608612864	1789439235608613888	6547	511	69	2	43038231103791	43038231188368
76	1	55	1	2	1789439235608613888	1789439235608614912	1789439235608614912	1789439235608616960	1789439235608617984	7058	3	71	1	43038231194069	43038231199359
77	1	56	1	2	1789439235608617984	1789439235608619008	1789439235608619008	1789439235608643584	1789439235608644608	7061	127	72	1	43038231204565	43038231265883
78	1	58	1	2	1789439235608644608	1789439235608645632	1789439235608645632	1789439235608648704	1789439235608649728	7188	15	74	2	43038231272084	43038231279704
79	1	59	1	2	1789439235608649728	1789439235608650752	1789439235608650752	1789439235608704000	1789439235608704000	7203	127	76	2	43038231284952	43038231418688
80	2	0	2	4	1789439235607555072	1789439235607555072	1789439235607555072	1789439235607557120	1789439235607558144	7330	0	0	0	43022823883904	43022823888982
81	2	2	2	4	1789439235607558144	1789439235607559168	1789439235607559168	1789439235607583744	1789439235607584768	7330	127	1	1	43022823893964	43022823956413
82	2	5	2	4	1789439235607584768	1789439235607585792	1789439235607585792	1789439235607586816	1789439235607587840	7457	1	4	1	43022823961932	43022823964456
83	2	6	2	4	1789439235607587840	1789439235607587840	1789439235607587840	1789439235607588864	1789439235607589888	7458	0	5	1	43022823967493	43022823969183
