slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
0	0	0	0	0	1789439505011937280	1789439505011937280	1789439505011937280	1789439505011939328	1789439505011941376	0	0	0	0	43060678289661	43060678294894
1	1	0	1	2	1789439505011937280	1789439505011937280	1789439505011937280	1789439505011939328	1789439505011941376	0	0	0	0	43079039919922	43079039925184
2	2	0	2	4	1789439505011937280	1789439505011937280	1789439505011937280	1789439505011939328	1789439505011941376	0	0	0	0	43063632758034	43063632763108
3	3	0	3	6	1789439505011937280	1789439505011937280	1789439505011937280	1789439505011939328	1789439505011940352	0	0	0	0	43070611788126	43070611793074
4	4	2	0	8	1789439505011937280	1789439505011941376	1789439505011941376	1789439505011962880	1789439505011963904	0	4	1	1	43076377356863	43076377410361
5	5	2	1	10	1789439505011937280	1789439505011941376	1789439505011941376	1789439505011962880	1789439505011963904	4	4	1	1	43036532293626	43036532346814
6	6	1	0	12	1789439505011937280	1789439505011941376	1789439505011941376	1789439505011962880	1789439505011963904	8	4	0	1	43058110071563	43058110123989
7	7	1	1	14	1789439505011937280	1789439505011941376	1789439505011941376	1789439505011962880	1789439505011963904	12	4	0	1	43067855626713	43067855679633
8	8	1	2	16	1789439505011937280	1789439505011941376	1789439505011941376	1789439505011962880	1789439505011963904	16	4	0	1	43025579602829	43025579656004
9	9	1	3	18	1789439505011937280	1789439505011941376	1789439505011941376	1789439505011962880	1789439505011963904	20	4	0	1	43059010458656	43059010512032
10	10	3	0	20	1789439505011937280	1789439505011941376	1789439505011941376	1789439505011962880	1789439505011963904	24	4	2	1	43066941015347	43066941068513
11	11	3	1	22	1789439505011937280	1789439505011941376	1789439505011941376	1789439505011962880	1789439505011963904	28	4	2	1	43060678299638	43060678352556
12	12	5	0	24	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011968000	32	1	4	1	43079039989164	43079039991750
13	13	5	1	26	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	33	1	4	1	43063632827353	43063632829851
14	14	5	2	28	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	34	1	4	1	43070611857507	43070611859932
15	15	5	3	30	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	35	1	4	1	43076377416087	43076377418613
16	16	5	4	32	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011968000	36	1	4	1	43036532352846	43036532355434
17	17	5	5	34	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011968000	37	1	4	1	43058110130785	43058110133395
18	18	5	6	36	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	38	1	4	1	43067855685934	43067855688484
19	19	5	7	38	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	39	1	4	1	43025579662073	43025579664524
20	20	4	0	40	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	40	1	3	1	43059010517826	43059010520166
21	21	4	1	42	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	41	1	3	1	43066941074494	43066941076930
22	22	4	2	44	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	42	1	3	1	43060678358896	43060678361382
23	23	4	3	46	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	43	1	3	1	43079039989133	43079039991607
24	24	4	4	48	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	44	1	3	1	43063632827320	43063632829723
25	25	4	5	50	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	45	1	3	1	43070611857481	43070611859832
26	26	4	6	52	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	46	1	3	1	43076377416054	43076377418497
27	27	4	7	54	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	47	1	3	1	43036532352826	43036532355335
28	28	4	8	56	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011968000	48	1	3	1	43058110130764	43058110133302
29	29	4	9	58	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	49	1	3	1	43067855685918	43067855688365
30	30	4	10	60	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	50	1	3	1	43025579662062	43025579664442
31	31	4	11	62	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	51	1	3	1	43059010517884	43059010520365
32	32	4	12	64	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011968000	52	1	3	1	43066941074554	43066941077130
33	33	4	13	66	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011968000	53	1	3	1	43060678358959	43060678361602
34	34	4	14	68	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011968000	54	1	3	1	43079039989185	43079039991801
35	35	4	15	70	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011968000	55	1	3	1	43063632827374	43063632829912
36	36	7	0	72	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	56	1	6	1	43070611857576	43070611859561
37	37	7	1	74	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	57	1	6	1	43076377416154	43076377418209
38	38	7	2	76	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	58	1	6	1	43036532352930	43036532355044
39	39	7	3	78	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	59	1	6	1	43058110130833	43058110132963
40	40	7	4	80	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	60	1	6	1	43067855686077	43067855688199
41	41	7	5	82	1789439505011937280	1789439505011964928	1789439505011964928	1789439505011965952	1789439505011966976	61	1	6	1	43025579662231	43025579664305
